index	input_data_loc	output_data_loc
34032	Figures 1, S4 and Table S2	['figure 1', 'figure s4', 'table s2']
34292	Figures 11 and S3 and Tables 1 and S4	['figure 11', 'figure s3', 'table 1', 'table s4']
34370	Figures 1-3, Table 2	['figure 1', 'figure 3', 'table 2']
35541	Figures 1E, 3, 4D and 4F	['figure 5e', 'figure 18', 'figure 233d', 'figure 233f']
36444	Figures 2, 10, Supplementary Figure 1	['figure 2', 'figure 10', 'supplementary figure 1']
36743	Figures 2, 3 Table S1	['figure 2', 'table 3 table', 'table s1']
37790	Figures 2, 3, 4, 5, S2, S3, S4, Tables S3, S4 and PDB 7KFH	['figure 2', 'figure 3', 'figure 4', 'figure 5', 'figure s2', 'figure s3', 'figure s4', 'table s3', 'table s4', 'pdb 7kfh']
38219	Figures 2, 3, 4, and 5 and Tables 2, 3, 4, and 5	['figure 2', 'figure 3', 'figure 4', 'figure 5', 'bleta 2', 'bleta 3', 'bleta 4', 'bleta 5']
38447	Figures 2, 3, 4, S2, S3, S4, S5, S6, S7, S8, Table S3 and PDB 2QAD	['figure 2', 'figure 3', 'figure 4', 'figure s2', 'figure s3', 'figure s4', 'figure s5', 'figure s6', 'figure s7', 'figure s8', 'table s3', 'pdb 2qad']
40990	Figures 2, 3, Supporting Figures 2, 3, Supporting Table 2 and PDB 6Q0L	['figure 2', 'figure 3', 'supporting figure 2', 'supporting figure 3', 'supporting table 2', 'pdb 6q0l']
41931	Figures 2, 4, and 5 and Supplementary Figures 2 and 4	['figure 2', 'figure 4', 'figure 5', 'supplementary figure 2', 'supplementary figure 4']
42190	Figures 2, 4, S6 and S7	['figure 9', 'figure 12', 'figure s150', 'figure s50']
42285	Figures 2, 4, Supplementary Figures 1 and 2 and Supplementary Table 1	['figure 2', 'figure 4', 'supplementary figure 1', 'supplementary figure 2', 'supplementary table 1']
42513	Figures 2, 5 and 9	['figure 2', 'figure 5', 'figure 9']
43555	Figures 2, S1, Tables S1, S2, S3, and PDB 6PLK	['efigur 2', 'efigur s1', 'table s1', 'table s2', 'table s3', 'pdb 6plk']
44210	Figures 2, S4, Table S3 and PDB 5MEV	['figure 2', 'figure s4', 'table s3', 'pdb 5mev']
44355	Figures 2, S7, S8, S9, Table S5 and PDB 7Y7J	['figure 2', 'figure s7', 'figure s8', 'figure s9', 'table s5', 'pdb 7y7j']
44536	Figures 2-5, Table 2	['figure 2', 'figure 5', 'table 2']
47528	Figures 3, 4, 6, Supplementary Figure 4, Supplementary Tables 1, 2 and PDB 8GV6	['figure 3', 'figure 4', 'figure 6', 'supplementary figure 4', 'supplementary table 1', 'supplementary table 2', 'pdb 8gv6']
47561	Figures 3, 4, 6, Tables 1, S2 and PDB 6OCA	['figure 3', 'figure 4', 'figure 6', 'table 1', 'table s2', 'pdb 6oca']
47847	Figures 3, 4, and S1, Table S1	['figure 3', 'figure 4', 'figure s1', 'table s1']
47981	Figures 3, 4, S2, and S3	['figure 3', 'figure 4', 'figure s2', 'figure s3']
48131	Figures 3, 4, S3, Table S2, Data S1 and PDB 7UZ5	['figure 3', 'figure 4', 'figure s3', 'table s2', 'data s1', 'pdb 7uz5']
48757	Figures 3, 4, Tables 1, 2 and PDB 4NNP	['figure 3', 'figure 4', 'table 1', 'table 2', 'pdb 4nnp']
49375	Figures 3, 5, Supporting Figure 2, Supporting Table 2 and PDB 6Q18	['figure 3', 'figure 5', 'supporting figure 2', 'supporting table 2', 'pdb 6q18']
49647	Figures 3, 6, S5	['figure 3', 'figure 6', 'figure s5']
50027	Figures 3, S2 and PDB 6O9I	['figure 3', 'figure s2', 'pdb 6o9i']
50204	Figures 3, S3 and Table S2	['figure 3', 'figure s3', 'table s2']
50339	Figures 3, S4, S5, S6, Table S3 and PDB 6UDA	['figure 3', 'figure s4', 'figure s5', 'figure s6', 'table s3', 'pdb 6uda']
52324	Figures 4, 5, 7, Supplementary Figures S1, Table 1, Supplementary Tables S1, S4 and PDB 4JFD	['figure 4', 'figure 5', 'figure 7', 'supplementary figure s1', 'bleta 1', 'supplementary bleta s1', 'supplementary bleta s4', 'pdb 4jfd']
54027	Figures 4, S5, S9 and Table S9	['figure 4', 'figure s5', 'figure s9', 'table s9']
54277	Figures 4a and 5a&b	['figure 4a', 'figure 5a', 'figure 5b']
55082	Figures 5, 6, 8 and Table 3	['figure 5', 'figure 6', 'figure 8', 'table 3']
56302	Figures 5A and 6	['figure 5a', 'figure 6']
56533	Figures 6 and S5, Table S1, and PDB 8E6J	['figure 6', 'figure s5', 'table s1', 'pdb 8e6j']
56819	Figures 6, 7, S4, S5, Supplemental Tables 3, 4, 5, 6 and PDB 6WZJ	['figure 6', 'figure 7', 'figure s4', 'figure s5', 'supplemental table 3', 'supplemental table 4', 'supplemental table 5', 'supplemental table 6', 'pdb 6wzj']
57082	Figures 6, S2, S3	['figure 6', 'figure s2', 'figure s3']
57338	Figures 6, S7, Table S2 and PDB 7NAB	['figure 6', 'figure s7', 'table s2', 'pdb 7nab']
281594	Page 161	['page 161']
281769	Page 524	['page 524']
281801	Page 62	['page 62']
282211	PDB 3QFJ	['pdb 3qfj']
282225	PDB 3T0W and 3T0X	['pdb 3t0w', 'pdb 3t0x']
282593	PDB 5CD5	['pdb 5cd5']
282629	PDB 5DUM	['pdb 5dum']
282683	PDB 5HI3, 5HI4, 5HI5	['pdb 5hi3', 'pdb 5hi4', 'pdb 5hi5']
282708	PDB 5JQH	['pdb 5jqh']
282732	PDB 5KWL	['pdb 5kwl']
282759	PDB 5MP2	['pdb 5mp2']
283007	PDB 6CH7, 6CH8 and 6CHB and Supplementary Data 1	['pdb 6ch7', 'pdb 6ch8', 'pdb 6chb', 'supplementary data 1']
283066	PDB 6EDU	['pdb 6edu']
283276	PDB 6MUF, 6MUG	['pdb 6muf', 'pdb 6mug']
283401	PDB 6P8N	['pdb 6p8n']
283496	PDB 6TYL	['pdb 6tyl']
283575	PDB 6VY5	['pdb 6vy5']
283600	PDB 6W9G	['pdb 6w9g']
283681	PDB 6XKQ and Table S5	['pdb 6xkq', 'table s5']
283920	PDB 7E23	['pdb 7e23']
284128	PDB 7LR3	['pdb 7lr3']
284230	PDB 7N4L	['pdb 7n4l']
284326	PDB 7R6W	['pdb 7r6w']
285226	Results page 2120	['page 2120']
285324	Results page 647	['page 647']
286309	Supplemental Figure 2	['supplemental figure 2']
286355	Supplemental Figure S5	['supplemental figure s5']
286944	Supplementary Figure 3	['supplementary figure 3']
287955	Supplementary Table 3.5, Supplementary Table 3.6	['supplementary table 3', 'supplementary table 5', 'supplementary table 3', 'supplementary table 6']
288342	Supplementary Tables 1, 2 and PDB 2NXY	['supplementary table 1', 'supplementary table 2', 'pdb 2nxy']
288860	Table 1 and  2	['table 1', 'table 2']
