mhc_elution_id	h_age
3955552	adult
3955773	adult
3955781	adult
3955782	adult
3956008	adult
3956013	adult
3956016	adult
3956021	adult
3956251	adult
3956253	adult
3956255	adult
3956264	adult
3956265	adult
3956516	adult
3957001	adult
3957002	adult
3957009	adult
3957010	adult
3957011	adult
3957012	adult
3957013	adult
3957156	adult
3957155	adult
3957361	adult
3957373	adult
3957376	adult
3957735	adult
3957739	adult
3957742	adult
3957982	adult
3957988	adult
3957990	adult
3958228	adult
3958232	adult
3955323	adult
3955325	adult
3955326	adult
3955327	adult
3955328	adult
3955329	adult
3955330	adult
3955331	adult
3955335	adult
3955557	adult
3955560	adult
3955563	adult
3955564	adult
3955565	adult
3955568	adult
3955787	adult
3955788	adult
3955790	adult
3955795	adult
3955797	adult
3955799	adult
3956023	adult
3956029	adult
3956030	adult
3956031	adult
3956033	adult
3956267	adult
3956271	adult
3956275	adult
3957014	adult
3957015	adult
3957016	adult
3957017	adult
3957018	adult
3957019	adult
3957020	adult
3957021	adult
3957023	adult
3957024	adult
3957025	adult
3957377	adult
3957378	adult
3957379	adult
3957383	adult
3957385	adult
3957750	adult
3957752	adult
3957754	adult
3957760	adult
3957763	adult
3958243	adult
3958245	adult
3958247	adult
3958252	adult
3958256	adult
3955343	adult
3955345	adult
3955346	adult
3955571	adult
3955574	adult
3955575	adult
3955576	adult
3955578	adult
3955579	adult
3955583	adult
3955801	adult
3955804	adult
3955806	adult
3955808	adult
3955810	adult
3955813	adult
3956036	adult
3956038	adult
3956039	adult
3956048	adult
3956290	adult
3956294	adult
3956810	adult
3956824	adult
3957026	adult
3957027	adult
3957028	adult
3957029	adult
3957030	adult
3957031	adult
3957032	adult
3957033	adult
3957034	adult
3957035	adult
3957036	adult
3957392	adult
3957393	adult
3957394	adult
3957402	adult
3957404	adult
3957769	adult
3957774	adult
3957776	adult
3958014	adult
3958017	adult
3958018	adult
3958259	adult
3958262	adult
3958264	adult
3955353	adult
3955356	adult
3955362	adult
3955365	adult
3955586	adult
3955587	adult
3955591	adult
3955593	adult
3955595	adult
3955598	adult
3955815	adult
3955818	adult
3955819	adult
3955822	adult
3955824	adult
3955826	adult
3955827	adult
3955828	adult
3956057	adult
3956060	adult
3956061	adult
3956297	adult
3956298	adult
3956299	adult
3956308	adult
3956310	adult
3956825	adult
3956826	adult
3956827	adult
3956829	adult
3956831	adult
3956832	adult
3956835	adult
3956837	adult
3957038	adult
3957039	adult
3957040	adult
3957041	adult
3957042	adult
3957043	adult
3957044	adult
3957045	adult
3957046	adult
3957047	adult
3957048	adult
3957049	adult
3957158	adult
3957157	adult
3957168	adult
3957167	adult
3957179	adult
3957180	adult
3957181	adult
3957182	adult
3957183	adult
3957412	adult
3957782	adult
3957783	adult
3957786	adult
3957788	adult
3957791	adult
3957793	adult
3958032	adult
3958039	adult
3958272	adult
3958275	adult
3958277	adult
3958278	adult
3958282	adult
3955367	adult
3955369	adult
3955370	adult
3955371	adult
3955372	adult
3955375	adult
3955376	adult
3955599	adult
3955603	adult
3955604	adult
3955606	adult
3955608	adult
3955610	adult
3955612	adult
3955831	adult
3955832	adult
3955838	adult
3955840	adult
3955841	adult
3956069	adult
3956071	adult
3956074	adult
3956077	adult
3956313	adult
3956315	adult
3956317	adult
3956326	adult
3956838	adult
3956840	adult
3956841	adult
3956845	adult
3956847	adult
3956848	adult
3956850	adult
3957051	adult
3957052	adult
3957053	adult
3957054	adult
3957055	adult
3957056	adult
3957057	adult
3957058	adult
3957059	adult
3957060	adult
3957061	adult
3957184	adult
3957185	adult
3957186	adult
3957187	adult
3957188	adult
3957192	adult
3957193	adult
3957194	adult
3957195	adult
3957196	adult
3957433	adult
3957438	adult
3957551	adult
3957553	adult
3957555	adult
3957557	adult
3957560	adult
3957797	adult
3957799	adult
3957802	adult
3957809	adult
3958048	adult
3958291	adult
3958293	adult
3958298	adult
3958300	adult
3955382	adult
3955387	adult
3955388	adult
3955619	adult
3955620	adult
3955621	adult
3955623	adult
3955625	adult
3955626	adult
3955843	adult
3955844	adult
3955848	adult
3955853	adult
3955855	adult
3956081	adult
3956082	adult
3956084	adult
3956088	adult
3956089	adult
3956090	adult
3956093	adult
3956332	adult
3956334	adult
3956591	adult
3956857	adult
3956859	adult
3956865	adult
3957062	adult
3957063	adult
3957064	adult
3957065	adult
3957066	adult
3957067	adult
3957068	adult
3957069	adult
3957070	adult
3957071	adult
3957072	adult
3957073	adult
3957170	adult
3957169	adult
3957200	adult
3957204	adult
3957210	adult
3957444	adult
3957446	adult
3957563	adult
3957568	adult
3957570	adult
3957576	adult
3957819	adult
3957821	adult
3958061	adult
3958066	adult
3958304	adult
3958308	adult
3955396	adult
3955410	adult
3955629	adult
3955632	adult
3955635	adult
3955639	adult
3955866	adult
3955873	adult
3956096	adult
3956098	adult
3956099	adult
3956101	adult
3956102	adult
3956103	adult
3956105	adult
3956343	adult
3956345	adult
3956348	adult
3956350	adult
3956352	adult
3956356	adult
3956606	adult
3956867	adult
3956869	adult
3956877	adult
3956878	adult
3956879	adult
3956880	adult
3957074	adult
3957075	adult
3957076	adult
3957077	adult
3957078	adult
3957079	adult
3957080	adult
3957081	adult
3957082	adult
3957083	adult
3957084	adult
3957085	adult
3957212	adult
3957214	adult
3957215	adult
3957218	adult
3957221	adult
3957584	adult
3957589	adult
3957827	adult
3957833	adult
3957841	adult
3958076	adult
3958078	adult
3958084	adult
3958089	adult
3958321	adult
3958323	adult
3958325	adult
3958331	adult
3955422	adult
3955424	adult
3955644	adult
3955646	adult
3955649	adult
3955652	adult
3955877	adult
3955882	adult
3955883	adult
3955888	adult
3956112	adult
3956114	adult
3956116	adult
3956118	adult
3956120	adult
3956122	adult
