bcell_id	h_age
1408933	6 month
1409033	6 month
1409030	6 month
1408998	6 month
1409020	6 month
1347184	8-16 week
1408967	6 month
1409027	6 month
1408982	6 month
1409036	6 month
1409012	6 month
1408969	6 month
1466042	1 year
1409004	6 month
1347183	8-16 week
1347180	8-16 week
1408979	6 month
1347216	8-16 week
1466008	1 year
1347213	8-16 week
1408997	6 month
1408938	6 month
1409000	6 month
1786219	adult
1790895	adult
1786221	adult
1786222	adult
1815244	adult
1815307	adult
1815221	adult
1815237	adult
1812072	adult
1812075	adult
1812076	adult
1812077	adult
1811398	adult
1803236	4 week
1803234	4 week
1812086	child
1812085	adult
1800707	adult
1786200	adult
1786201	adult
1786226	adult
1786224	adult
1786205	adult
1786220	adult
1786223	adult
1785961	adult
1786225	adult
1786228	adult
1803228	4 week
1801450	newborn
1799191	newborn
1802310	adult
1799172	newborn
1790899	adult
1811443	adult
1807367	adult
1803213	4 week
1800742	adult
1789603	adult
1790900	adult
1789612	adult
1790898	adult
1789616	adult
1789617	adult
1793555	newborn
1793268	adult
1857709	6-10 week
1857707	6-10 week
1789819	1.5 month
1789821	1.5 month
1789822	1.5 month
1789823	1.5 month
1791642	adult
1789874	1.5 month
1790905	adult
1789894	1.5 month
1789891	1.5 month
1789892	1.5 month
1800743	adult
1807365	adult
1807366	adult
1815212	adult
1807368	adult
1807369	adult
1807370	adult
1807371	adult
1807372	adult
1807379	adult
1807373	adult
1807374	adult
1807375	adult
1807380	adult
1807376	adult
1807377	adult
1807378	adult
1807386	adult
1807403	adult
1807397	adult
1807398	adult
1807399	adult
1807400	adult
1807401	adult
1807402	adult
1782061	adult
1782058	adult
1781734	adult
1782065	adult
1782066	adult
1782062	adult
1782063	adult
1782064	adult
1494073	adult
1494101	adult
1494102	adult
1494103	adult
1494104	adult
1497442	adult
1494098	adult
1494099	adult
1494100	adult
1494081	adult
1494097	adult
1494114	adult
1494115	adult
1494116	adult
1494117	adult
1494118	adult
1494119	adult
1494120	adult
1510939	adult
1510947	adult
1494106	adult
1494107	adult
1494089	adult
1510928	adult
1510936	adult
1494108	adult
1494109	adult
1494110	adult
1494111	adult
1494112	adult
1494082	adult
1494083	adult
1494084	adult
1494085	adult
1510937	adult
1510938	adult
1510949	adult
1510922	adult
1494086	adult
1494087	adult
1494088	adult
1510929	adult
1510934	adult
1494074	adult
1494075	adult
1494076	adult
1494077	adult
1494078	adult
1494079	adult
1494080	adult
1494124	adult
1494113	adult
1494121	adult
1510935	adult
1494072	adult
1494055	adult
1494067	adult
1494068	adult
1494069	adult
1494070	adult
1494071	adult
1494105	adult
1494122	adult
1494123	adult
1494125	adult
1494126	adult
1494127	adult
1494128	adult
1494129	adult
1494091	adult
1494092	adult
1494093	adult
1494094	adult
1494095	adult
1494096	adult
1494090	adult
1606620	adult
1607258	adult
1681995	adult
1691745	adult
1704095	child
1711157	adult
1711132	adult
1711143	adult
1711150	adult
1710261	adult
1711208	adult
1711187	adult
1711189	adult
1711193	adult
1710340	adult
1711190	adult
1711209	adult
1711191	adult
1711194	adult
1710282	adult
1710286	adult
1710259	adult
1710280	adult
1710367	adult
1710378	adult
1713845	adult
1713883	adult
1713884	adult
1768700	adult
1768060	mature
1768856	adult
1774850	young
1768689	adult
1768717	adult
1768731	adult
1770710	adult
1770730	adult
1774586	neonate
1769209	adult
1769210	adult
