bcell_id	h_age
1336844	average age 29.8
1336846	average age 29.8
1349535	Neonates (infected mothers or PM)
1279913	14 and younger
1279914	14 and younger
1279915	14 and younger
1279919	14 and younger
1279530	14 and younger
1417762	children
1279533	14 and younger
1280067	14 and younger
1280068	14 and younger
1280070	14 and younger
1280071	14 and younger
1279521	14 and younger
1279523	14 and younger
1279526	14 and younger
1279527	14 and younger
1280043	14 and younger
1280045	14 and younger
1338213	Children and Adults
1280046	14 and younger
1280049	14 and younger
1280052	14 and younger
1338217	Children and Adults
1338220	Children and Adults
1330748	infants
1330756	infants
1279517	14 and younger
1279520	14 and younger
1280054	14 and younger
1280055	14 and younger
1280056	14 and younger
1336753	More than 15 years
1336712	More than 15 years
1336713	More than 15 years
1336717	More than 15 years
1279542	14 and younger
1279543	14 and younger
1279545	14 and younger
1279546	14 and younger
1336718	More than 15 years
1336710	More than 15 years
1279927	14 and younger
1279931	14 and younger
1279585	14 and younger
1279894	14 and younger
1279908	14 and younger
1279733	14 and younger
1275775	14 and younger
1279963	14 and younger
1279401	14 and younger
1330939	Children and adults
1343266	Adults and children
1279534	14 and younger
1279535	14 and younger
1279538	14 and younger
1330940	Children and adults
1279864	14 and younger
1279868	14 and younger
1279904	14 and younger
1279905	14 and younger
1343309	Adults and children
1343310	Adults and children
1343140	Adults and children
1279363	14 and younger
1279364	14 and younger
1279539	14 and younger
1279862	14 and younger
1279896	14 and younger
1279907	14 and younger
1339351	Adults and children
1279968	14 and younger
1279971	14 and younger
1279972	14 and younger
1279973	14 and younger
1279977	14 and younger
1279981	14 and younger
1279982	14 and younger
1279964	14 and younger
1279967	14 and younger
1279978	14 and younger
1279507	14 and younger
1279508	14 and younger
1279515	14 and younger
1279516	14 and younger
1341121	Adults and children
1279510	14 and younger
1279512	14 and younger
1279863	14 and younger
1279892	14 and younger
1279893	14 and younger
1279945	14 and younger
1279949	14 and younger
1279362	14 and younger
1341149	Adults and children
1341151	Adults and children
1339471	Adults and children
1279687	14 and younger
1279689	14 and younger
1343268	Adults and children
1343294	Adults and children
1279944	14 and younger
1279950	14 and younger
1279951	14 and younger
1279956	14 and younger
1279941	14 and younger
1279942	14 and younger
1279384	14 and younger
1279386	14 and younger
1279388	14 and younger
1279391	14 and younger
1279392	14 and younger
