h_age	occurrences
15 weeks old	3
0.9 to 3.7 years	4
5 to 6 weeks	540
22–59 years	2
> 18 years old	1
7 to 11 years	5274
median 4 years	24
8-15 weeks old	13
3-15 years old	830
40 to 50 days	18
48.6 +/- 13.5 years	6
18 month old	13
4 to 6 weeks old	111
18 to 65 years	114
6 to 8 week	26
26-67 yrs	1
4 weeks old	206
8 to 10 weeks old	25
39-59 years old	2
8 to 12 weeks old	10
12-week-old	37
6 to 8 months	379
Calves	541
1 to 3 years	7
7–8 weeks	4
8 to 24 weeks	18
4 to 8 weeks	97
26 to 52 weeks	10
14 to 41 years	11
12 to 14 weeks	180
33-66 years old	24
17 to 58 years	52
27 to 45 years	9
30-89 years old	3
18-47 years old	3
24 to 60 years	114
2-54 years-old	63
4 to 5 weeks	78
28 to 57 years	18
4.5 - 6 months	13
6.5 to 11 years	62
mean age 45 years	1
mean age 59.8 years	1
7 to 12 weeks	25
21-77 years old	6
15 to 71 years	1
16 to 72 years	12
7-month-old	7
12 - 20 weeks	11
32 to 66 years	1
4 to 8 months	17
18 to 30 years	29
23-66 years old	1
6-62 years-old	62
7 months old	9
68 to 77 years	1
16 to 65 years	5
40.6 +/- 11.4 years	8
under 7 years	6
66 to 70 years	1
Newborn	9
8 to 13 weeks	22
7 to 9 weeks	294
24 to 37 years	11
24 to 35 years	8
calves	2
33 to 53 years	57
26 to 37 years	9
28–36 years	6
30 to 77 years	6
17 to 82 years	19
59-84 years old	2
6 to 14 weeks	29
75.9 +/- 7.5 years	1
5 to 7 years	1
10 to 13 weeks	30
31and 73 years	1
32 to 97 years	2
average age = 54.7 years	4
29 to 75 years	3
6 to 7 weeks	514
17 to 84 years	1
30-82 years old	6
15 to 78 years	3
22 to 54 years	5
20-95 years old	7
40 to 66 years	1
43 to 83 years	7
21-90 years old	8
8 to 18 weeks	32
19 to 79 years	11
22 to 55 years	11
Median age 33 years	2
54 to 70 years	117
4 to 21 years	38
34-61 years old	6
37 to 78 years	1
average age = 12.32 years	17
7 month	3
mean age = 30.4 years	13
52.7 +/- 10 years	88
48 +/- 12 years	6
22 to 31 years	1
66.6 +/- 7.4 years	6
> 12 weeks	81
9 to 12 weeks	56
