h_age	occurrences
58.5 +/- 18.2 years	44
1 to 12 years	4
25-55 years-old	4
21-53 years-old	21
31-59 years-old	5
32-56 years-old	1
31-55 years-old	9
21-56 years-old	2
32-35 years-old	1
19-54 years-old	2
25-58 years-old	1
21-54 years-old	22
30-55 years old	4
25-59 years-old	1
22-49 years-old	2
25-43 years-old	1
30-55 years-old	3
33-53 years old	6
32-53 years old	6
35-53 years-old	1
33-41 years old	1
33-55 years-old	5
31-53 years old	1
33-55 years old	1
40-53 years-old	2
32-53 years-old	3
32-40 years old	1
32-47 years-old	1
31-56 years-old	2
33-48 years-old	2
22-51 years-old	1
30-48 years-old	2
30-53 years-old	1
33-53 years-old	1
33-40 years old	1
32-44 years-old	1
31-48 years-old	2
31-55 years old	1
43-55 years-old	1
32-55 years old	1
32-59 years-old	1
33-34 years-old	1
32-48 years old	1
39-53 years old	1
32-47 years old	1
22-47 years-old	13
21-45 years-old	2
22-53 years-old	38
21-47 years-old	2
22-54 years-old	13
32-49 years-old	1
31-54 years-old	1
12 to 15 weeks	2
22-44 years-old	1
23-45 years-old	3
35-55 years-old	1
21-32 years-old	1
21-52 years-old	1
27-53 years-old	1
22-43 years-old	3
23-44 years-old	2
21-49 years-old	1
34 years old	1
25 to 82 years	7
25 to 81 years	7
39 to 57 years	69
23-48 years-old	1
25-54 years-old	1
27-55 years-old	1
44-45 years old	1
31-45 years-old	1
17 to 59 years	76
18 to 56 years	2
9 to 56 years	11
16 to 18 months	2
18 to 77 years	3
27 to 52 years	4
13 to 21 years	10
9 to 38 years	2
22 to 68 years	71
13 to 28 years	1
6 to 20 weeks	3
13 to 38 years	1
15 to 41 years	1
20 to 25 years	14
53-63 yeras	3
average age = 4.38 years	2
22 to 63 years	6
33-59 years-old	1
10 to 27 years	3
21 to 74 years	121
25 to 73 years	6
20 to 55 years	38
> 14 weeks	23
64 yeras	3
average age = 48 years	7
42 to 61 years	10
7 -11 years	1
7 - 11 years	8
30-48 years old	1
32-44 years old	1
19-65 years-old	28
10 to 21 years	3
19 to 61 years	25
30 to 49 years	42
20 to 80 years	147
15 to 72 years	2
median 41.7 years	2
27 to 64 years	21
18 to 51 years	21
9 to 65 years	21
23 to 60 years	6
21 to 44 years	1
12 +/- 2 weeks	586
22 to 60 yeras	22
25–87 years	1
24–88 years	2
24–87 years	1
25–88 years	9
27 to 59 years	3
< 6 weeks	1
19 to 65 years	1201
53 to 83 years	7
32 to 78 years	7
41 to 75 years	376
40 to 73 years	376
6 to 59 years	182
36 to 59 years	3
38 to 52 years	1
23.3 to 45.9 years	2
31.2 to 63.0 years	3
14 to 19 years	6
23 to 74 years	24
7.3 to 60.0 years	1
7.4 to 22.9 years	1
21 to 61 years	15
12 to 68 years	8
30.9 to 42.1 years	18
36 to 88 years	1
12 to 36 years	42
12 to 18 years	135
5 to 25 years	18
10 to 15 years	1
11 to 27 years	2
8 to 24 years	9
9 to 23 years	1
13 to 35 years	2
17 to 40 years	6
12 to 62 years	6
24 to 42 years	7
6 to 53 years	37
46 to 64 years	2
55 to 70 years	6
21.6 to 60.6 years	27
45 to 72 years	32
18 to 43 years	6
19 to 59 years	20
2.5 to 17 years	1
28 to 69 years	1
5–10 weeks old	4
10 to 41 years	20
9 to 64 years	6
8 to 62 years	6
24 to 34 years	1
8 to 64 years	2
6 to 9 months	5
10 to 56 years	62
8 to 47 years	1
12 to 61 years	1
29 to 56 years	21
32 to 56 years	21
4 to 15 weeks	5
3 to 67 years	2
10 to 63 years	2
19 to 68 years	192
8 to 50 years	50
3.8 to 18.7 years	1
2 to 14 years	4
6 to 34 years	8
20 to 74 years	2
15 to 27 years	38
21 to 53 years	271
19 to 27 years	8
37 to 61 years old	45
14 to 38 years	11
20 to 41 years	21
5 to 20 weeks	12
20 to 58 years	4
30.1 to 59.1 years	51
40 to 62.1 years	23
35-73 Years	80
> 50 years	1071
mean 34.59 years	9
46 to 84 years	10
7 to 62 years	1185
22 to 45 years	52
over 5 weeks	2
36 to 68.2 years	23
19.9 to 22.1 years	2
7 to 48 years	3
< 10 weeks	2
47 to 57 years	115
47 to 63 years	115
15 to 37 years	6
21-66  years	5
< 5 weeks	2
> 9 weeks	2
56 to 79 years	1
59 to 79 years	1
68 to 75 years	1
59 to 82 years	2
median 66.5 years	4
24 to 38 years	6
18 to 61 years	21
12 to 13 weeks	6
22 to 71 years	11
54 to 89 years	6
12.5 to 25.6 years	14
14.2 to 24.2 years	14
12.4 to 50.8 years	2
24 to 78 years	139
22.8 to 58.9 years	2
11 to 71 years	2
21 to 70 years	399
24 to 27 years	1
18 to 71 years	1
46.6 to 63.4 years	1
21.9 to 29.3 years	27
24.6 to 44.2 years	27
21.1 to 43 years	27
34 to 70 years	20
60 to 70 years	4
34 to 56 years	4
5 to 19 years	27
7 to 35 years	27
11 to 72 years	1
> 3 years	8
27 to 49 years	3
27 to 39 years	6
26 to 47 years	3
mean 55 years	3
30 to 61 years	1
Mean age = 68 years	24
5 to 72 years	4
42.9 to 73.7 years	3
66.6 to 84.6 years	3
7 to 11 weeks	11
8 to 68 years	90
31 to 53 years	46
48.5 to 68.9 years	3
68 years old	19
44 to 59 years	13
10 -17 years	3
10 to 18 weeks	22
78 to 84 years	4
9 - 12 weeks	2
3.3 -54 years	2
29 to 82 years	9
23- 51 years	140
24 -49 years	140
19- 53 years	1
< 45 years	10
37 to 90 years	43
8 - 12 weeks	43
over 12 weeks	11
51 to 83 years	3
20- 54 years	34
25- 49 years	5
25- 54 years	17
25- 27 years	3
14 to 72 years	1
6 to 74 years	1
28 to 65 years	1
18 to 62 years	1
6-12 Weeks	86
2 days old	1
6 to 10 week-old	3
21- 75 years	12
five week old	6
22- 66 years	93
18 to 75 years	24
23- 70 years	3
22- 67 years	3
mean 58 years	4
mean 39.7 years	6
44 to 81 years	32
40–74 years	48
2 day old	1
4-5  weeks	14
1 day old	3
33 to 55 years	5
40 to 55 years	2
7 -8 weeks	1
24 to 65 years	12
18-40 years old	24877
43- 79 years	8
66 to 77 years	30
58 to 67 years	26
56 to 81 years	30
42 to 58 years	10
48- 74 years	1
23 to 39 years	30
23 to 26 years	4
19- 95 years	1173
31 to 59 years	88
35- 70 years	4
29 to 65 years	2
30 to 67 years	13
mean 56 years	169
24 - 46 years	32
59 to 64 years	2
30 to 79 years	10
13 to 20 weeks	11
49 to 71 years	3
36 to 78 years	36
21 to 35 years	107
35- 75 years	7
51 to 84 years	7
55 to 87 years	2
31 to 83 years	2
27 - 62 years	24
37- 88 years	2
42 to 100 days	3
42 to 116 days	6
30 to 40 days	3
< 42 days	4
67 to 76 years	20
9 to 87 years	20
40 to 72 years	267
12 to 51 years	2164
37 to 70 years	606
25 to 87 years	31715
80 years old	7850
64 years old	3561
60 years old	2510
Fetus	8069
37-91 years old	4370
35-87 years old	456
31-88 years old	81
