bcell_id	h_age
1600759	6 months - 9 years
1600765	6 months - 9 years
1600766	6 months - 9 years
1600767	6 months - 9 years
1600861	6 months - 9 years
1600862	6 months - 9 years
1600863	6 months - 9 years
1600864	6 months - 9 years
1600865	6 months - 9 years
1600768	6 months - 9 years
1600769	6 months - 9 years
1600860	6 months - 9 years
1660355	19.8 to 38.8
1660354	19.8 to 38.8
1600770	6 months - 9 years
1600771	6 months - 9 years
1600764	6 months - 9 years
1650923	3 months to 64 years
1650927	3 months to 64 years
1650928	3 months to 64 years
1600772	6 months - 9 years
1600773	6 months - 9 years
1600774	6 months - 9 years
1600775	6 months - 9 years
1600779	6 months - 9 years
1600780	6 months - 9 years
1600776	6 months - 9 years
1600777	6 months - 9 years
1600778	6 months - 9 years
1600781	6 months - 9 years
1600787	6 months - 9 years
1650932	3 months to 64 years
1650933	3 months to 64 years
1650954	3 months to 64 years
1650955	3 months to 64 years
1650962	3 months to 64 years
1650963	3 months to 64 years
1600782	6 months - 9 years
1600783	6 months - 9 years
1600784	6 months - 9 years
1600785	6 months - 9 years
1600786	6 months - 9 years
1600789	6 months - 9 years
1600790	6 months - 9 years
1600791	6 months - 9 years
1600792	6 months - 9 years
1600793	6 months - 9 years
1600788	6 months - 9 years
1600798	6 months - 9 years
1600799	6 months - 9 years
1600794	6 months - 9 years
1600795	6 months - 9 years
1600796	6 months - 9 years
1600797	6 months - 9 years
1600800	6 months - 9 years
1600801	6 months - 9 years
1600802	6 months - 9 years
1600803	6 months - 9 years
1600804	6 months - 9 years
1600805	6 months - 9 years
1600808	6 months - 9 years
1600734	6 months - 9 years
1600735	6 months - 9 years
1600741	6 months - 9 years
1600742	6 months - 9 years
1600809	6 months - 9 years
1600810	6 months - 9 years
1600811	6 months - 9 years
1600814	6 months - 9 years
1600743	6 months - 9 years
1600744	6 months - 9 years
1600745	6 months - 9 years
1600836	6 months - 9 years
1600751	6 months - 9 years
1600842	6 months - 9 years
1600806	6 months - 9 years
1600807	6 months - 9 years
1600815	6 months - 9 years
1600816	7 months - 9 years
1600817	7 months - 9 years
1654844	3 months to 2 years
1655084	19-49
1655089	18-53
1655091	17-81
1656850	23-80
1657107	20-82
1657113	20-82
1657114	20-82
1650929	3 months to 64 years
1657103	20-82
1657104	20-82
1657105	20-82
1657106	20-82
1650930	3 months to 64 years
1650925	3 months to 64 years
1650956	3 months to 64 years
1650957	3 months to 64 years
1650961	3 months to 64 years
1657108	20-82
1657109	20-82
1657110	20-82
1657111	20-82
1657112	20-82
1650959	3 months to 64 years
1650960	3 months to 64 years
1656570	19-43
1656569	19-43
1656848	23-80
1656849	23-80
1656851	23-80
1656852	23-80
1656853	23-80
1656858	23-80
1656846	23-80
1656847	23-80
1655090	17-81
1656854	23-80
1656855	23-80
1656856	23-80
1656857	23-80
1677614	4 months-30 years
1660877	19.8 to 38.8
1660876	19.8 to 38.8
1676509	4 months-15 years
1677635	4 months-30 years
1677636	4 months-30 years
1677637	4 months-30 years
1677634	4 months-30 years
1664321	32-60
1662184	25
1663037	32-60
1661332	25
1661335	25
1661336	25
1662183	25
1661337	25
1661338	25
1661339	25
1661340	25
1683212	38
1683213	38
1683214	38
1683215	38
1683211	38
1683216	38
1695692	50 to 68
1695702	50 to 68
1695694	50 to 68
1695696	50 to 68
1695698	50 to 68
1695700	50 to 68
1695708	50 to 68
1695710	50 to 68
1695704	50 to 68
1695726	50 to 68
1695706	50 to 68
1695712	50 to 68
1695714	50 to 68
1695716	50 to 68
1695730	50 to 68
1695718	50 to 68
1695728	50 to 68
1696504	48-51
1696505	48-51
1696506	48-51
1696507	48-51
1696508	48-51
1696509	48-51
1696510	48-51
1692974	13-68
1692975	13-68
1692970	13-68
1692976	13-68
1692977	13-68
1692978	13-68
1692979	13-68
1692958	13-68
1692968	13-68
1695720	50 to 68
1695207	50 to 68
1695242	23.6-53.8
1695247	23.6-53.8
1676506	4 months-15 years
1676507	4 months-15 years
1676508	4 months-15 years
1677644	4 months-30 years
1677617	4 months-30 years
1677621	4 months-30 years
1677618	4 months-30 years
1677622	4 months-30 years
1677619	4 months-30 years
1677620	4 months-30 years
1677638	4 months-30 years
1677639	4 months-30 years
1677643	4 months-30 years
1677641	4 months-30 years
1677642	4 months-30 years
1677645	4 months-30 years
1677646	4 months-30 years
1677647	4 months-30 years
1701617	14 to 45
1701624	14 to 45
1700761	14 to 45
1700796	14 to 45
1700797	14 to 45
1700800	14 to 45
1700798	14 to 45
1700799	14 to 45
1763156	11 to 82
1763176	11 to 82
1763184	11 to 82
1763194	11 to 82
1763214	11 to 82
1763216	11 to 82
1763218	11 to 82
1763220	11 to 82
1763222	11 to 82
1763235	11 to 82
1763178	11 to 82
1763186	11 to 82
1763188	11 to 82
1763196	11 to 82
1763198	11 to 82
1763204	11 to 82
1763224	11 to 82
1763226	11 to 82
1763228	11 to 82
1763230	11 to 82
1763234	11 to 82
1763236	11 to 82
1763237	11 to 82
1763238	11 to 82
1763239	11 to 82
1763956	17 to 84
1763971	17 to 84
1763995	20 to 75
1763997	17 to 84
1763999	17 to 84
1763992	20 to 75
1763994	20 to 75
1771638	77
1771640	77
1771641	77
1771642	77
1771643	77
1771644	77
1771645	77
1763180	11 to 82
1763182	11 to 82
1763190	11 to 82
1763192	11 to 82
1763200	11 to 82
1763202	11 to 82
1763206	11 to 82
1763208	11 to 82
1763210	11 to 82
1763212	11 to 82
1771636	77
1771637	77
1768943	18–73
1771519	38-73
1771520	38-73
1771676	77
1771522	38-73
1771523	38-73
1771524	38-73
1771526	38-73
1771527	38-73
1771689	77
1771690	77
1771691	77
1771692	77
1771693	77
1771694	77
1771695	77
1771538	38-73
1771539	38-73
1771701	77
1771702	77
1771703	77
1768940	18–73
1768946	18–73
1771528	38-73
1771529	38-73
1771531	38-73
1771533	38-73
1771540	38-73
1771541	38-73
1771696	77
1771697	77
1771698	77
1771699	77
1771550	38-73
1771551	38-73
1771705	77
1771534	38-73
1771535	38-73
1771536	38-73
1771544	38-73
1771545	38-73
1771546	38-73
1771552	38-73
1771557	38-73
1771559	38-73
1771547	38-73
1771549	38-73
1771554	38-73
1771560	38-73
1771561	38-73
1771562	38-73
1771555	38-73
1771556	38-73
1771569	38-73
1771571	38-73
1771572	38-73
1771573	38-73
1771574	38-73
1771566	38-73
1771567	38-73
1771568	38-73
1771578	38-73
1771579	38-73
1771580	38-73
1771582	38-73
1771583	38-73
1771584	38-73
1771585	38-73
1771577	38-73
1771588	38-73
1771589	38-73
1771590	38-73
1771591	38-73
1771593	38-73
1771594	38-73
1771595	38-73
1771596	38-73
1771602	38-73
1771604	38-73
1771605	38-73
1771606	38-73
1771607	38-73
1771599	38-73
1771600	38-73
1771601	38-73
1771609	38-73
1771610	38-73
1771611	77
1771614	77
1771615	77
1771624	77
1771564	38-73
1771616	77
1771617	77
1771618	77
1771625	77
1771628	77
1771629	77
1771619	77
1771621	77
1771622	77
1771623	77
1771630	77
1771631	77
1771633	77
1771634	77
1771635	77
1768860	21 months-45 years
1768861	21 months-45 years
1768862	21 months-45 years
1768863	21 months-45 years
1771626	77
1771627	77
1768597	21 months-45 years
1768598	21 months-45 years
1768601	21 months-45 years
1771647	77
1771648	77
1771649	77
1771650	77
1771651	77
1771662	77
1771663	77
1768602	21 months-45 years
1768603	21 months-45 years
1768604	21 months-45 years
1768864	21 months-45 years
1768931	18–73
1771646	77
1771653	77
1771654	77
1771655	77
1771656	77
1771664	77
1771665	77
1771672	77
1771673	77
1768928	18–73
1768937	18–73
1771657	77
1771658	77
1771660	77
1771661	77
1771666	77
1771667	77
1771674	77
1771677	77
1771679	77
1768934	18–73
1771668	77
1771669	77
1771670	77
1771671	77
1771680	77
1771681	77
1771682	77
1771683	77
1771684	77
1771685	77
