h_age	occurrences
63-79 days	26
91 days	4
41-59 years	3
24-74 years	1
27-53 years	3
61-81 years	8
59-71 years	8
49-61 years	58
29 and 53 years	1
26-39 years	451
26-62 years	450
8-18 weeks	16
53-71 years	20
27-82 years	6
3-65 years	110
65-78 years	1
14-16 weeks	6
65-72 years	2
>40 years	11
9-64 years	5
7-14 weeks	4
35-51 years	1
38-51 years	1
39-41 years	1
7-62 years	6
27-60 years	22
42 and 43 years	1
31-63 years	132
15-53 years	76
27-71 years	42
36-75 years	16
7-13 months	4
35-47 years	11
21-38 years	3
52-71 years	2
59-84 years	3
14-18 years	4
29-74 years	2
32 or 34 years	12
14-28 years	2
12-24 years	2
45-71 years	12
28-54 years	12
46-86 years	12
39-75 years	12
9-52 years	46
19-63 years	12
16-74 years	3
14-45 years	6
36-84 years	14
18-73 years	27
12-24 months	33
7-53 years	11
5-15 years	60
8-17 years	69
47-58 years	182
24-81 years	164
0-2 years	18
15-44 years	166
21-81 years	4
27-65 years	161
2-56 years	42
2-43 years	42
44-60 years	3
32-74 years	287
57-79 years	115
22-58 years	68
6 ± 2 weeks	21
25-41 years	19
25-82 years	5
48-79 years	5
41-78 years	8
29-45 years	45
12-48 years	34
51-53 years	1
38-73 years	5
12-62 years	1
21 and 44 years	2
16 and 44 years	1
38 and 48 years	1
38 and 44 years	2
47-83 years	16
16-71 years	26
40-76 years	8
32-47 years	2
52-78 years	138
13-77 years	2
6-33 years	2
42-65 years	2
35-48 years	1
35-59 years	3
35-49 years	7
25-45 years	44
35-37 years	1
32-87 years	38
46-48 months	1
28-67 years	3
1-54 years	1
57-60 years	1
21-90 years	12
21-64 years	6
38-65 years	8
43-68 years	6
62-65 years	10
43-52 years	1
1-33 years	3
1.8-3.3 years	7
32-39 years	5
51-58 years	5
10-11 weeks	43
32-59 years	3
63-67 years	10
18-80 years	39
35-57 years	6
59-62 years	1
85 years	16
3-16 years	70
30-37 years	38
50-79 years	4
40-42 years	1
59-78 years	1
28-72 years	15
63-92 years	85
31-77 years	25
38-75 years	29
31-70 years	784
30-79 years	2
12-81 years	95
13-88 years	95
40-80 years	4
6-16 years	67
22-91 years	21
25-81 years	4
82 years	6049
83 years	1
84 years	13
88 years	1
51-77 years	15
19-40 years	99
79 years	84
29-76 years	11
38-48 years	1
24-31 years	5
55-77 years	36
27-69 years	3
44-50 years	1
40-54 years	4
42-70 years	27
43-50 years	1
37-54 years	6
8.4-27.3 years	22
40-50 years	4
20-90 years	2
30-90 years	3
70-80 years	1
24-27 years	2
20.6-50.1 years	22
2-32 years	140
26-40 years	4
20-48 years	2
52-75 years	27
24-59 years	2
21-50 years	54
41-70 years	24
19-67 years	6
5.5 weeks	1
58-84 years	3
50-76 years	3
41-56 years	8
6-13 years	4
51-80 years	13
19-28 years	1
7-8 months	398
57-74 years	10
15-23 years	17
49-77 years	2
27-68 years	45
63-68 years	9
54-57 years	6
18-26 years	46
23-53 years	1
37-47 years	7
27-48 years	10
58-90 years	1
33-68 years	6
46-84 years	16
41-75 years	2
67-75 years	1
58-81 years	3
30-57 years	5
14 months	1
20-51 years	61
37-65 years	48
>50 years	20
21-82 years	578
23-95 years	578
46-72 years	12
60-75 years	1
50-96 years	1
33-74 years	4
24-70 years	7
5 days	30
40-81 years	21
54-79 years	135
32-66 years	12
49-88 years	1
30-39 years	6
65-70 years	52
27-75 years	6
37-90 years	24
41-86 years	2
52-74 years	14
16-21 years	4
45-82 years	2
27 days	5
51-85 years	3
57-70 years	45
72-76 years	2
12-43 years	164
37-70 years	181
26-41 years	151
25-73 years	78
60-64 years	40
0 years	851
55-85 years	2
22-49 years	1230
