h_age	occurrences
43 years	2565
3-5 months	51
22-79 years	38
8 days	1
19 weeks	4
>24 weeks	4
>22 weeks	4
8-20 weeks	2131
16 months	5
59-76 years	2
40 years	1356
12-15 weeks	9
27-55 years	4
20-77 years	71
21-78 years	3
23-79 years	1
29-56 years	26
18-46 years	18
70 days	13
12-80 years	16
22 years	41
5-59 years	5
26-55 years	36
17-132 days	13
5-6 years	19
40-60 years	19
22-70 years	21
4-15 years	101
4-115 months	67
46-79 years	34
18-30 years	66
1-35 years	3
16 weeks	73
10-20 weeks	4
8-13 years	1
11-72 years	1
50-85 years	48
0.1-11 years	3
8.9-13.8 years	9
40-75 years	15
20 years	71
9-81 years	1
1-40 years	1
37-43 years	13
44-86 years	2
38 weeks	1
10-39 years	3
20-30 years	47
34-70 years	68
66-86 years	5
63-82 years	5
26-30 weeks	1
1-31 years	1
49 years	250
3-34 years	9
7-14 months	1
30 days	10
55-89 years	2
0-84 years	1
9-10 months	4
23-48 years	60
24-33 years	1
7-58 years	4
12-16 months	6
4-35 years	1
12-13 months	13
9.4 months	7
20-60 years	353
5-8 years	2
31-88 years	28
6-11 months	2
6 years	2398
6-22.8 years	1
2-50 years	8
9 years	15
>69 years	3
33-88 years	1
8.6-22.8 years	2
18 months	86
49.3-69.9 years	6
4.5-26 years	1
11 years	21689
15-77 years	1
32-76 years	52
27-74 years	30
14 days	7
16-72 years	1
11-71 years	35
18-78 years	1
56.3 years	1
6-57 years	7
3-6 months	37
14-80 years	19
16-54 years	14
3-14 years	8
8-24 weeks	19
10-75 years	116
8-12 months	46
72 years	139
6-35 weeks	19
2.5-16 years	178
21-54 years	58
16-44 years	7
19-48 years	13
23-45 years	370
21-86 years	2
24-82 years	9
21-47 years	52
36-43 days	2
11 months	3
4-18 years	629
5-11 years	40
5-49 years	2
2.5-6 months	24
5.5-7.5 months	13
46-70 years	1
49-56 years	1
13-72 years	9
12-16 weeks	790
54-74 years	5
3.5 months	1
11-15 months	3
0.3-56 years	1
0.5-36 years	3
46-66 years	5
0.3-45 years	1
18-87 years	1
2-12 years	1
14-53 years	94
21-74 years	2
48-60 years	11
29 years	78
32-46 years	10
70 years	785
24-44 years	2
6-16 weeks	1487
18-37 years	1
15-83 years	1
10-98 years	1
19-56 years	135
14-42 years	2
13-59 years	3
36-38 weeks	10
52-84 years	12
22-72 years	16
17 months	7
12-20 weeks	22
14-22 weeks	2
17-58 years	1
49-71 years	1
47-62 years	1
14-67 years	14
39 years	126
50-74 years	3
0.3-5.7 years	3
14-64 years	6
16-17 years	1
16-52 years	24
15-73 years	11
26-47 years	12
40.8-69.4 years	6
40-49 years	30
12-18 months	2
23-38 years	102
28-57 years	24
21-57 years	609
22-73 years	6
21-58 years	10
21-66 years	15
38-71 years	10
37-66 years	34
22-80 years	3
21-49 years	11
>10 weeks	7
28-70 years	15
23-69 years	28
12-18 weeks	35
24 weeks	15
7-13 years	4
53-75 years	4
59-100 years	3
27-72 years	10
49-57 years	8
5-13 years	6
17-57 years	27
16-24 years	4
19-65 years	134
12-64 years	11
14 years	30
23-65 years	37
28-71 years	155
5-6 months	50
21-59 years	116
37-69 years	1
7 months	14
26-61 years	3
23-62 years	18
5-17 years	7
3.1-18 years	37
19-55 years	37
14-79 years	8
26-84 years	1
1-38 years	1
56.6 ± 19.3 years	5
38-68 years	9
27-47 years	1
49-66 years	10
39-55 years	11
7-30 years	2
54-71 years	6
16-56 years	11
mature	1
38-72 years	5
2.5-25.4 years	270
17-74 years	5
2-14 years	6
2 and 6 years	4
23-47 years	1
22-55 years	89
22-75 years	1113
young	16
7-11 weeks	177
neonate	90
16-66 years	1
49-76 years	23
26-60 years	54
24-85 years	29
32-79 years	76
36 ± 13 years	3
37 ± 12 years	6
25-75 years	2
40-84 years	2
19-75 years	5
30-63 years	1
29-71 years	345
25-69 years	18
35-70 years	6
6-14 years	1
2-19 years	2
8-31 weeks	2
1-15 years	14
20-53 years	28
19-83 years	69106
11-12 weeks	8
0.8-18.7 years	25
21-79 years	19
32-72 years	2
24-54 years	8
2-11 years	27
2.5-22 years	4
18-51 years	456
23-71 years	8
18-63 years	5
18-71 years	146
14-68 years	2
15-86 years	2
19-81 years	16
57 years	3803
20-59 years	4
55 ± 27 years	18
24-76 years	24
<6 months	11
16-43 years	12
24-75 years	3
26 weeks	24
24 years	45
30-52 years	10
22-40 years	13
33-73 years	25
16-77 years	9
32-64 years	11
48 ± 8 years	14
2-49 years	25
78 years	48
7.5 months	10
10-15 years	11
>55 years	2
23-55 years	65
34 years	231
2 weeks	179
10-62 years	130
21-85 years	6548
16-22 years	14
17-50 years	5
4-8 years	110
11-78 years	16
3-25 years	15
17-73 years	18
6-40 years	62
60-80 years	1
15 months	11
66 weeks	2
22-42 years	34
11-77 years	1
26-75 years	5
28-74 years	4
0.9-78 years	2
20-64 months	12
30-58 years	2
