index	invalid_character	context	occurrences	replace_with	remove	invalidate	allow
0	–	'18–64 years)', '20–67 years', '8–12 weeks', '2–25 years', '37–62 years', '41–64 years', '23–52 years', '19–67 years', '23–63 years', '24–62 years', '25–87 years', '24–88 years', '24–87 years', '25–88 years', '5–10 weeks old', '50–81', '54–77', '40–74 years', '26–71 years', '31–83 years', '22–59 years'	31	-			
1		'58.4 +/- 14.3 years'	1		x		
