index	invalid_character	context	replace_with	remove	invalidate	allow
0	:	'mean: 29 years', 'mean: 30 years', 'mean age: 32.56 years', 'mean age: 34 years', 'median age: 7.5 years'				
1	–	'18–64 years)', '20–67 years', '8–12 weeks', '2–25 years', '37–62 years', '41–64 years', '23–52 years', '19–67 years', '23–63 years', '24–62 years', '25–87 years', '24–88 years', '24–87 years', '25–88 years', '5–10 weeks old', '50–81', '54–77', '40–74 years', '26–71 years', '31–83 years', '22–59 years', '7–8 weeks', '28–36 years', '18–73', '18–55 years', '6–8weeks old', '10–14-week old', '1.1–69 years', '18–48 years'				
2	=	'mean age = 30.7 years', 'mean=28.5 ± 15.0', 'average age = 19.2 years', 'adult (avg. age = 30.8 years)', 'children (avg. age = 9.5 years)', 'mean age = 30 years', 'mean age = 27 years', 'mean age = 49.2 years', 'average age = 60.5 years', 'average age = 36.9 years', 'average age = 54.7 years', 'average age = 59.4', 'mean = 32.17±13.32 years', 'mean = 73±8.53 years', 'mean age = 13.8 years', 'mean age = 34.8 years', 'mean age = 37.7 years', '32-66 years (mean = 50.3 year)', 'mean age = 45.2 years', 'mean age = 58 years', 'median age = 27 years', 'average age = 4.38 years', 'average age=36.5 years', 'average age = 48 years', 'average age=32 years', 'mean age = 68 years', 'mean = 45 years', '>/= 18 years', 'mean = 34 years', 'mean = 71.2 years', 'mean = 65.04 years', 'mean = 72.4 years', 'mean age = 41.7 ± 15.1 years', 'mean age = 39.8 ± 13.3 years', 'mean age = 38.7 years', 'mean age = 48.94 years', 'mean age = 58±12 years', 'average= 34.6 years', 'average= 53.4 years', 'average= 56.4 years', 'mean=8.4 ± 4.3', 'average age = 12.32 years', 'mean age = 30.4 years', 'mean age = 46 years', 'mean age = 38.6 years', 'mean age=53.7 years', 'mean age = 65.6 years', 'mean age = 40.3 years', 'mean age = 63 years', 'mean age = 57 years', '0.7 to 20.9 years (median = 11.0)', 'mean age = 4.4 years', 'mean age = 9.3 years', 'mean age = 38 years', 'mean age = 33.6 years', 'average age = 50 years', 'mean age = 71.3 years', 'mean age = 68.3 years', 'mean age = 66.3 years', 'mean age = 60.1 years', 'mean = 48 years', 'mean age = 47.1 years', 'average age = 43.6 years', 'average age = 44.8 years', '>/= 15 years', 'mean=28.5 +/- 15.0', 'mean = 32.17+/-13.32 years', 'mean = 73+/-8.53 years', 'mean age = 41.7 +/- 15.1 years', 'mean age = 39.8 +/- 13.3 years', 'mean age = 58+/-12 years', 'mean=8.4 +/- 4.3'				
3	~	'~ 33 to 55 years', '~ 31 to 55 years'				
5	≥	'≥ 18 years'				
6		'58.4 +/- 14.3 years'				
