h_age,occurrences
"3-4 weeks old",3
"5 weeks-old",3
"3.4-86 years",3
"29-65 years",3
"3 months to 25 years",3
"12 to 192 weeks",3
"11 months",3
"15.8 to 51.8 years",3
8-12-week-old,3
"10 years and older",3
"29-87 years",3
"11 to 66 months",3
63-64,3
"59-100 years",3
"2 to 73 years",3
"28 to 49.6 years",3
"17-95 years",3
"21-63 years",3
"21 to 85 years",3
"median age 21 years",3
"6 weeks and 18 months",3
"22-80 years",3
"12-15 weeks",3
"7-9 weeks old",3
"20-57 years",3
"20-77 years",3
"14.4±3.8  years",3
"17-31 years",3
"2-3 month old",3
"20-66 years",3
"Infants and adults",3
"69 ± 15 years",3
"30-56 years",3
"9.4 months",3
"25-40 years",3
"39 to 51 years",3
"20-46 years",3
"6-7 months",3
"16-94 years",3
"21-78 years",3
"0.3-5.7 years",3
"24 to 82 years",3
"16 years",3
"26-58 years",3
"60 ± 15 years",3
"58-70 years",3
"39-67 years",3
"37.9 +/- 6.5 years",3
"19 weeks",3
"10-67 years",3
">9 years",3
"37 ± 14 years",3
"11-15 months",3
"13 to 79 years",3
"28-57 years",3
"68.5 +/- 16.4 years",3
"37.6 +/- 11.0 years",3
"21 to 66 years",3
">69 years",3
"51-74 years",3
"> 1.5 years",3
"40 to 78 years",3
"1-10 years",3
"7 month",3
Child,3
"55 ± 12 years",3
"18-82 years",3
"8 wo",3
"21-57 years",3
"9 to 36 months",3
"0.5-36 years",3
"2.8 to 4.2",3
"60-90 days",3
"> 4 years",3
"0.1-11 years",3
"2 month old",3
"20-22 weeks",3
"22-73 years",3
"5 to 80 years",3
"30 weeks",3
"26-96 years",3
"6-13 weeks",3
"mean = 34 years",3
"17-72 years",3
"27 to 37 years",3
"21-66 years",3
"average age 29.8",3
"20-84 years",3
"6 to 12 months",3
"29 to 75 years",3
"1-35 years",3
"65 and 74 years old",3
"28 to 39 years",3
"6-7 wks",3
26-48,3
"30 to 55 years",3
"14-54 years",3
"41.5 +/- 9.8 years",3
"10-39 years",3
"Adult (6 weeks)",3
"4 to 6 week",3
"22 to 78 years",3
"birth - 5 years",3
"50-74 years",3
"24-75 years",3
"6 mos",3
"34-79 years",3
"32-43 years",3
"25 to 77",3
"16-86 years",3
"15 to 78 years",3
"8 wk",3
"15 to 76 years",3
"21-54 years",3
"21-59 years",3
"10-14 years",3
"30-45 years",3
"16-56 years",3
"70 +/- 9 years",3
"6 to 10 months",3
"7 to 65 years",3
"26-61 years",3
"15 weeks old",3
"2-week old",3
18-35,3
"39-77 years",3
"29 to 81 years",3
"5-12 months",3
"19-45 years",3
"23-57 years",3
40,3
"17-80 years",3
"14-60 years",3
"Over 50 years",3
"2 months-12 years",3
"< 30 years",3
Newborn,2
"18-67 years",2
32-60,2
"8 -10 weeks",2
"2-19 years",2
"1 month-old",2
"5-62 years",2
"18 to 41 years",2
"59-84 years old",2
"5-32 years",2
"28 years-old",2
"12-55 years",2
">55 years",2
"13-96 years",2
"21 -54 years",2
"1 to 18 years",2
"6 to 69 years",2
"23-37.5 years",2
"4 days",2
"0-77 years",2
"19-87 years",2
"20-70 years",2
"17-53 years",2
"5-64 years",2
"9.5 months",2
6-week-old,2
"29-50 years",2
"18-35 years",2
"4-78 years",2
"49 to 73 years",2
"Average age of 37 years",2
"16-46 years",2
"80-84 years",2
"7-20 weeks",2
"19.9 to 60.5 years",2
"13 to 68 years",2
"18-19 years-old",2
"32 to 69 years",2
"1.25-19 years",2
"Median age 33 years",2
35,2
"19-58 years",2
"40 days",2
"14-55 years",2
"16 weeks-40 years",2
"5-7 months-old",2
"14 weeks old",2
"mean 61.2 years",2
"38 to 66 years",2
"71-87 years",2
"28-75 years",2
"18 to 88 years",2
"38 to 50 years",2
"9-44 years",2
17-81,2
"22-34.5 years",2
"1 day",2
"23.9 to 53.9 years",2
"6 months to 53 years",2
"48 hours",2
"46-49 years",2
"8- to 10-week-old",2
"5-14 years",2
"18 to 60 years",2
"3-11 years",2
"25-88 years",2
"8.6-22.8 years",2
"16 to 18 years",2
"mean 30 years",2
"16-40 years",2
"10-20 weeks",2
"22–59 years",2
"100 day fetus",2
"24 days",2
"> 20 weeks",2
"Child (5-11)",2
"28-85 years",2
"Within 1 week after birth",2
"3-14 years",2
36-55,2
"34-48 years",2
"29 years old",2
"17 to 96 years",2
"mean 55.4 years",2
"4 to 9 years",2
"29-68 years",2
"39-59 years old",2
"1 months",2
"7.5 to 16.5 years",2
"7 months - 9 years",2
"25-75 years",2
"12-14 weeks old",2
"7 - 79 years",2
"0.9-78 years",2
"35 years mean age",2
"23-65 years",2
32-70,2
"20-67 years",2
"21 to 38 years",2
"5-8 years",2
"32-72 years",2
"mean 53.4 years",2
"3 to 56 years",2
"16-25 years",2
"72-75 years",2
"26 to 34 years",2
"20-42 years",2
"30-80 years",2
"40-84 years",2
"8-24 weeks old",2
"6 to 8 weeks old",2
"60 to 77 years",2
"2 and 64 years",2
"6 to 15 weeks",2
"32 to 97 years",2
"23-37 years",2
"6-11 months",2
"10-71 years",2
"24 to 87 years",2
"56.6 ± 19.3 years",2
"40-48 years",2
"38-79 years",2
"mean 59 years",2
"2 to 47 years",2
"66 weeks",2
"2 to 100 years",2
"12-74 years",2
"less than 24 hours",2
"mean age=53.7 years",2
"mean 53.8 years",2
"Mean age = 58±12 years",2
"23 to 27 weeks",2
"20-55 years",2
"43.62 +/- 1.07 years",2
"12 to 13 years",2
"64 to 76 years",2
"2 to 39 years",2
"3-5 weeks old",2
"6-18 years",2
"14-22 weeks",2
"Mean age = 39.8 ± 13.3 years",2
"21 to 43 years",2
"5 to 26",2
"7 to 78 years",2
"average age = 54.7 years",2
"25-30 grams",2
"21-74 years",2
juvenile,2
"22-85 years",2
"44-86 years",2
"4 years old",2
"19-40 years old",2
"36-43 days",2
"11-58 years",2
"49-80.3 years",2
"25-58 years old",2
19-43,2
"40-70 years",2
"12 to 78 years",2
"mean age = 4.4 years",2
"55-79 years",2
"4-36 month-old",2
"66-86 years",2
"5 to 8 week",2
Four-week-old,2
"55-89 years",2
"12-18 months",2
"16 to 68 years",2
"8-31 weeks",2
"12 to 69 years",2
"36 to 70 years",2
"30-58 years",2
"5-49 years",2
"23-41 years",2
"62 to 87 years",2
"34 to 37 years",2
"21-86 years",2
"7 to 19 weeks",2
"9.9-17 years",2
"mean = 71.2 years",2
6-36-month-old,2
"newborns - 29 years",2
"8-59 years",2
"24-79 years",2
"63-82 years",2
"Younger than 35 years",2
23-66,2
"24 to 75 years",2
"4-5 years",2
"12 weeks old",2
"26-49 years",2
"4-15 months",2
"19-39 years",2
"16-30 years",2
"40 to 44 years",2
"10 to 801 days",2
"18-47 years",2
"mean = 65.04 years",2
"Mean age of 54. 04",2
"6-10 years",2
"3-4 days",2
"28-53 years",2
"18 to 90 years",2
"9-20 weeks",2
"5 to 64 years",2
child,2
"1.1-20 years",2
"2 month",2
"14-42 years",2
"14-65 years old",2
"13-75 years",2
"17-56 years",2
"23-66 years",2
"18 to 67 years",2
"28 weeks",2
"1 year 8 months to 68 years",2
"59 to 65 years",2
"21-46 years",2
"12-15 years",2
"11-60 years",2
"16 to 80 years",2
"mean = 72.4 years",2
"4 Weeks",2
"12-66 years",2
"36 ± 13 years",2
"12 years",2
"31-60 years",2
"4-7 weeks",2
"18-46 years",2
"8-20 weeks",2
"21-33 years",2
"24-35 years",2
"31 to 49 years",2
"34-71 years",2
"18-62 years",2
"5-6 months",2
"17 months - 4 years",2
"16 to 87 years",2
"2 to 58 years",2
"24 to 61 years",2
"3 to 8 weeks",2
"14-68 years",2
calves,2
"43-70 years",2
"16-58 years",2
"42 years old",2
"8 weeks or 12 months",2
"1-90 years",2
"13 week",2
"15-82 years",2
"15-71 years",2
"17 to 45 years",2
"47-82 years",2
7-9weeks,2
"7-30 years",2
"44 to 66 years",2
"36-66 years",2
23-53,2
"15-86 years",2
"45-85 years",2
Steer,2
23.6-53.8,2
"0-96 years",2
"2-80 years",2
"20-74 years",2
"21 to 91 years",2
"> 18 years old",1
"16-17 years",1
"5 to 9 months",1
"13 weeks",1
"28-69 years",1
"16-66 years",1
"17-49 years",1
"18-78 years",1
"1-13 years",1
"7-14 months",1
"3 months to 2 years",1
"3 years old",1
44-47,1
"9-81 years",1
19-49,1
"8-24 weeks",1
"22 to 76 years",1
"7 months to 10 years",1
"0.8-78 years",1
"68 to 77 years",1
"1-31 years",1
"22-61 years",1
"38 weeks",1
"0-84 years",1
"23-80 years",1
"19-68 years",1
"23-78 years",1
"Mean=8.4 ± 4.3",1
"40 to 66 years",1
embryo,1
"15-83 years",1
"32 to 66 years",1
"18-19 weeks",1
18-53,1
"14.3 +/- 5.7 years",1
"24-44 years",1
"67-95 years",1
69,1
"9-12 weeks old",1
"20-43 years",1
"7 to 9 weeks",1
"23-55 years",1
"18-49 years",1
"9 to 10 weeks",1
"19-35 years",1
"27-77 years",1
"6 to 66 years",1
"38-55  years",1
"46-70 years",1
"8 to 13 weeks",1
"26-43 years",1
"10-98 years",1
"3.5 months",1
"23.8 +/- 2.3 years",1
6-weeks,1
"12-53 years",1
"22-24 years",1
"4 to 6 week old",1
"<20 years",1
"24-33 years",1
"23-40 years",1
">56 years",1
"60-80 years",1
"1-7 years",1
"49-56 years",1
"14-71 years",1
"6 days to 7  months",1
"26-30 weeks",1
"4-35 years",1
"0.7 to 20.9 years (median = 11.0)",1
"35.3 to 54.3 years",1
"9-86 years",1
"College age",1
"21-65 years",1
"15-26 years",1
"38-54 weeks",1
"0.3-56 years",1
"5 to 14 years",1
"6-16 wk",1
"mean age = 65.6 years",1
"Mean age: 32.56 years",1
8-week-old,1
"56-64 years",1
"19-66 years",1
"22 to 54 years",1
"mean age 45 years",1
"29 to 47 years",1
"48.5 to 61.2 years",1
"24-50 years",1
"6 to 84",1
"26-48 years",1
15-71,1
"22-63 years",1
adults,1
"14-88 years",1
"<42-79 years",1
"17 to 71 years",1
"4-70 years",1
"43 to 71 years",1
"42 +/- 8.1 years",1
"17-58 years",1
"17-65 years",1
"2-17 years",1
"38-69 years",1
"15-95 years old",1
"mean 18.75 years",1
"25 years mean age",1
"mean age 59.8 years",1
"20-35 years",1
"6 days",1
"7 - 8 weeks",1
"32 to 78",1
"23-47 years",1
18-21,1
"23-66 years old",1
"adults, >32 years",1
"51-81 years",1
"49-71 years",1
"9-90 years",1
"24 to 65 yesrs",1
"6- week-old",1
"2-12 years",1
"47 +/- 4.5 years",1
"28-71 years",1
"21 to 77 years",1
"45 to 74 years",1
mature,1
"21 to 60 years",1
"mean 29.7 years",1
"40.7-59.3 years",1
"62-68 years",1
"13-34 years",1
"18 to 40 years",1
"8-10 week",1
"3 - 4 weeks",1
"22-55 years",1
"23-77 years",1
"47-62 years",1
"5 weeks old",1
24-49,1
"1-64 years",1
"15-33 years",1
"median 58 years",1
"23-79 years",1
"13 to 82 years",1
"mean age of 39.9 years",1
"22 to 31 years",1
"30-33 years",1
"16-45 years",1
"Mean age = 30 years",1
"56.3 years",1
"4.5-12.1 years",1
"38-71 years",1
"22-40 years",1
"9-22 months old",1
"42-71 years",1
"10-15 weeks",1
"9.6 +/- 3.1 years",1
"18-28 years old",1
"18-37 years",1
"median 50 years",1
"Mean age: 34 years",1
"22 to 73 years",1
"17-61 years",1
"35 to 75 years",1
"15 to 71 years",1
"7-15 years",1
"62 ± 12 years",1
"19-62 years",1
"56 to 72 years",1
"0.3-45 years",1
52,1
"22 to 69 years",1
"27-47 years",1
"46-73 years",1
"31and 73 years",1
"16-24 years",1
"36.2 +/- 8.9 years",1
"43-46 years",1
"3-15 years",1
"4 months old",1
"26-78 years",1
"2-4 years-old",1
"3 to 4 weeks",1
"2-15 years",1
"18-41 years old",1
"median 48 years",1
"3 to 5 years",1
"18-87 years",1
"1 to 268 days",1
"average= 53.4  years",1
"35-75 years old",1
"75.9 +/- 7.5 years",1
"61 to 70 years",1
"43 to 88 years",1
22–59,1
"11-68 years",1
"6-22.8 years",1
62,1
"23-76 years",1
"16-72 years",1
"11-77 years",1
"8-13 years",1
"33-88 years",1
"average= 56.4  years",1
"49 to 62 years",1
"56-73 years",1
"1-38 years",1
"7 wk",1
"27-56 years",1
"mean age = 38.6 years",1
"18-21 years-old",1
"3-4 weeks-old",1
"10-19 years",1
"20-64 years",1
"20-68 years",1
"10-29 years",1
28-82,1
"72.5±5.2 years",1
"26-67 yrs",1
60-90-days-old,1
"15-77 years",1
6-22.8,1
"average= 34.6 years",1
"12-15 months",1
"39 to 54 years",1
"37 to 79 years",1
"55.7 +/- 5.7",1
"6-14 years",1
"5 to 7 years",1
"62-74 years",1
"8-79 years",1
"14-62 years",1
"37 to 78 years",1
"23 to 82 years",1
"8 days",1
24,1
"35-43 years",1
"30-63 years",1
"27 to 71 years",1
"34-82 years",1
"72.3±6.7 years",1
"19 to 56 years",1
"12-68 years",1
"31-47 years",1
19-66,1
"30-60 years old",1
"2-7 months",1
"36.47 +/- 12.46 years",1
"26-75 years",1
"49.5 +/- 7.5",1
"52 years old on average",1
"6-35 weeks",1
"10-77 years",1
"36-56 years",1
"3 weeks - 6 months",1
"47-71 years",1
"21-27 years",1
"32-82 years",1
"6-8 wks",1
"37.4-47 years",1
"34-68 years",1
"16-38 years",1
"Adult (18-49)",1
"45-62 years",1
"59-76 years",1
"40.15 +/- 8.8 years",1
"17-62 years",1
"60-87 years",1
"20-81 years",1
"14 to 65 years",1
"4.5-26 years",1
12-30,1
"17 to 84 years",1
"66 to 70 years",1
"1-40 years",1
"11-72 years",1
"2-5 months old",1
"9 weeks old",1
"2-8 months",1
"13 to 83 years",1
"2-4 yrs",1
"22-60 years",1
"4-26 weeks",1
20-85,1
"37-69 years",1
"14 days",1
"5 weeks.",1
"32-58 years",1
"29 to 59 years",1
"> 12 years old",1
"3 months to 15 years",1
"28-58 years old",1
"2-3 months old",1
"13.6 +/- 6.8 years",1
"1 year 5 months to 15 years 8 months",1
"20 to 57 years",1
"68 years",1
"3-34 years",1
"1 to 11 months",1
"19 to 62 years",1
"32-68 years old",1
"26-84 years",1
"30-85 years",1
"29 to 71 years",1
