"h_age"	"frequency"
"15-70 years"	15
"15-71"	1
"15-71 years"	2
"15-72"	4
"15-73 years"	11
"15-77 years"	1
"15-82 years"	2
"15-83 years"	1
"15-86 years"	2
"15-95 years old"	1
"15.8 to 51.8 years"	3
"157 days"	3
"16 months"	5
"16 to 18 years"	2
"16 to 20 weeks"	11
"16 to 41 years"	34
"16 to 55 years"	4
"16 to 60 years"	9
"16 to 65 years"	5
"16 to 68 years"	2
"16 to 72 years"	12
"16 to 76 years"	7
"16 to 80 years"	2
"16 to 84 years"	10
"16 to 87 years"	2
"16 weeks"	45
"16 weeks-40 years"	2
"16 years"	3
"16-17 years"	1
"16-20 weeks"	3
"16-20 years"	140
"16-20years"	7
"16-22 years"	14
"16-24 years"	1
"16-25 years"	2
"16-30 years"	2
"16-38 years"	1
"16-40 years"	2
"16-43 years"	4
"16-44 years"	7
"16-45 years"	1
"16-46 years"	2
"16-52 years"	4
"16-54 years"	14
"16-56 years"	3
"16-58 years"	2
"16-66 years"	1
"16-70 years"	52
"16-72 years"	1
"16-76 years"	43
"16-77 years"	9
"16-79 years"	14
"16-83 years"	101
"16-84 years"	30
"16-85 years"	7
"16-86 years"	3
"16-87 years"	17
"16-94 years"	4
"16-Feb"	12
"17 months"	7
"17 months - 4 years"	2
"17 to 24 years"	90
"17 to 30 years"	4
"17 to 39 years"	56
"17 to 42 years"	8
"17 to 45 years"	2
"17 to 56 years"	11
"17 to 58 years"	9
"17 to 70 years"	14
"17 to 71 years"	1
"17 to 82 years"	19
"17 to 84"	4
"17 to 84 years"	1
"17 to 96 years"	2
"17 years"	11
"17-132 days"	13
"17-19 years"	7
"17-31 years"	3
"17-42 years-old"	13
"17-49 years"	1
"17-50 years"	5
"17-53 years"	2
"17-56 years"	2
"17-57 years"	27
"17-58 years"	1
"17-59 years"	6526
"17-61 years"	1
"17-62 years"	1
"17-65 years"	1
"17-66 years"	53
"17-67 years"	23
"17-68 years"	154
"17-69 years"	8
"17-71 years"	36
"17-72 years"	3
"17-73 years"	18
"17-74 years"	5
"17-80 years"	3
"17-81"	2
"17-81 years"	10
"17-84 years"	18
"17-95 years"	3
"18 +/- 11 years"	8
"18 month old"	13
"18 months"	83
"18 to 30 years"	18
"18 to 39 years"	9
"18 to 40 years"	1
"18 to 41 years"	2
"18 to 45 years"	4
"18 to 47 years"	14
"18 to 50 years"	7
"18 to 54 years"	28
"18 to 55 years"	27
"18 to 60 years"	2
"18 to 65 years"	24
"18 to 66 years"	254
"18 to 67 years"	2
"18 to 68 years"	27
"18 to 70 years"	21
"18 to 73 years"	15
"18 to 78 years"	29
"18 to 85 years"	12
"18 to 88 years"	2
"18 to 90 years"	2
"18 years"	39
"18-19 weeks"	1
"18-19 years-old"	2
"18-20 years-old"	6
"18-21"	1
"18-21 years-old"	1
"18-27 years"	166
"18-28 years old"	1
