correct_term	variants_to_replace
table	tabel|tabe|tabl|tbl
figure	figur|figgure|fig|fig.|figs
data	dataset|datta|dat|dta
title	titel|tittle|titl
abstract	abstarct|absract|abst|abs
reference	refence|referce|refernce|referenc|ref|refs
supplemental	supplementary|supplimentary|supplimentry|supplem|supp
