as_location,occurrences
"Supplementary Table 3.7, Supplementary Table 3.8",113
"Supplementary Table 3.7",113
"Supplementary Table 3.5, Supplementary Table 5.2",113
"Figure 1, Table 1",112
"Supplementary Table S1, Supplementary Table S3",112
"Supplemental Data 2, 3",112
"Table S2 A",111
"Supplementary Tables 2, 4, 6",109
"Supplementary Data 1 and 2 and Figure 3",108
"Supplementary Tables 1 and 4",107
"Figure S2",107
"Supplementary Tables 3, 4, 5, 6",107
"Table S2 B",102
"Supplementary Table 3.3, Supplementary Table 5.3",101
"Table S10",100
"Supplementary Table 3.5",100
"Table 4",99
"Table 6.1",98
"Table S2, Table S1",97
"Supplementary Table 3.1, Supplementary Table 5.1",95
"Supplemental Tables S1 and S9",93
"Supplementary Table 3.4",93
"Supplementary Data 1, 2",91
"Text p. 873",90
"Supplementary Table S3, Supplementary Table S5, Supplementary Table S6",89
"Supplementary file 1",89
"Supplementary Table S1, Supplementary Table S3, Supplementary Table S4",81
"Figure 2, Supplemental Data 1",79
"Supplementary Table SII",76
"Tables S2 and S3",76
"Table 6",75
"Supplementary Table S1, Supplementary Table S3, Supplementary Table S6",75
"Tables 1,2,3,4",74
"Supplementary Table S1, Supplementary Table S4, Supplementary Table S6",74
"Supplementary Table S1, Supplementary Table S2, Supplementary Table S3",73
"Supporting Information Table S3",72
"Supplementary Table 1 and Figure",71
"Table IV",71
"Table I and Supplemental data S2",70
"Table 2, Figure 4, and Supplementary Tables S2 and S4",69
"Figure 4 and Supplementary Figure 1",67
"Table 2, Supplementary Table 2",66
"Supplementary Data 1, 3",64
"Supplementary Tables 4, 6",64
"Figures 1, S1 and Table 1",63
"Supplementary Tables S1, S2, S3, S4, and S6",63
"Table S3, Supplementary Figure 2B",63
"Figure 3, Table I",63
"Table S1, Table 4",62
"Supplementary Tables 2 and 4",62
"Tables S1 and S6 and Figure S8",58
"Table 3 and Supplementary data Figure 3, Table 1",58
"Table 1 and Supplementary Table 1",56
"Tables 3 and S4",55
"Supplemental Table S4",53
"Supplementary Tables S2, S3, S4, S5, and S6",53
"Supplementary Table S1, Supplementary Table S4, Supplementary Table S5",52
"Supplementary File 1 and author provided data",52
"Tables S1, S2, and S3",51
"Supplementary Tables 3, 5",51
"Table 5, Figures 1, 2",49
"Table I and Figure 1",49
"Figure 6",48
"Table 1 and supplementary table 2",48
"Supplementary Table S2, Supplementary Table S3",47
"Supplementary Table S4, Supplementary Table S6",47
"Table 6.2",46
"Supplementary Data S1, Data S2",46
"Table 1 and Figure S1",46
"Figures 3, S3",44
"Additional file 2",44
"Tables 1 and S2",42
"Supplementary Table S2, Supplementary Table S3, Supplementary Table S6",42
"Data S4",41
"Supporting Information Table 3 and figure 4",41
"Supplementary Tables S1 and S5",40
"Tables S2 and S7",40
"Supplemental data S1 and S5",40
"Supplementary Table S2, Supplementary Table S5, Supplementary Table S6",39
"Supplementary Tables S1, S2, S3, S5, and S6",39
"Table 1, Figure 3, Supplemental Figure S2",39
"Supplementary Table 15",39
"Table 3, Figures 1 and 2",38
"Supplementary Table 3.7, Supplementary Table 5.4",38
"Table 1 and Figure 2",38
"Supplementary Table S4, Supplementary Table S5, Supplementary Table S6",37
"Figure 2 and Table 1",36
"Figure S3 and Table S3",36
"Tables 1, S1",36
"Table 1 and  Figure 3",35
"Figure 1 and Table 2",34
"Figures 2 and 4",34
"Supplementary Tables 2, 3",34
"Table I, Figures 4, 5, 6 and 8",34
"Figure 4B",33
"Supplementary Table S1B",33
"Supplementary Tables S1, S2, S4, S5, and S6",33
"Table 5",32
"Supplementary Table S1A",32
"Supplementary Table 3.3, Supplementary Table 3.4",31
"Supplemental Data 3, Table 1",30
"Supplementary Table 3.5, Supplementary Table 3.6",30
"Supplementary Table 10",30
"Table S4, Supplemental data 4, 5, 6",29
"Supplementary Tables 1, 2, 3, 4, 5, 6",29
"Supplemental Tables 2, 3",29
"Table S1, Table 1",29
"Tables S4, S2 and Figure 3",29
"Supplementary Table S5, Supplementary Table S6",29
"Data S1, S2",28
"Supplementary table S7",28
"Table 1 and Supplemental Tables S3 and S4 and Figure S4",28
"Table 1 and Additional file 2",28
"Supplementary Table S1, Supplementary Table S2",28
"Figure 1 and Table 4",28
"Table 4, Figures 1 and 2",27
"Extended Data Figure 1",27
"Supplementary Table 11",27
"Table 3 and Supplementary Table 1",27
"Supplementary Table I, II",26
"Table 1 and Figure 3",26
"Supplemental Table 1, Table 2",26
"Supplementary Table S4, Supplementary Table S5",26
"Table S1, S4",25
"Figure 6 and Supplementary Table 2",25
"Table 2, Figures 1 and 2",25
"Figure 3, Table E1",25
"Data S3, S4",24
"Supplementary Table S3, Supplementary Table S4, Supplementary Table S5, Supplementary Table S6",24
"Figure 1, Table S4, Figs. S10, S11",23
"Supplementary Data 1, 2, 3",23
"Table S1 and Figure 3",23
"Figure 1 and Table I",22
"Figure 1 and Table 3",22
"Supplementary Table 1.2",22
"Tables S1 and S3",21
"Figure 4 and Supplemetary Table 5",21
"Tables II, S2, S4, S5",21
"Table 2 and Supplementary Table II",21
"Supplementary Table S2, Supplementary Table S3, Supplementary Table S5",21
"Supplementary Tables S1, S2, S3, S4, and S5",21
"Supplementary Table S1 and Table 1",20
"Table 1, Figure 1",20
"Tables I and II",20
"Figure 1 and Table 8",20
"Supplementary Table S1, Supplementary Table S2, Supplementary Table S4",20
"Supplementary Tables 1, 3, 5",20
"Supporting Table S2, Figure 7",20
"Figure 1 and Table II",19
"Supplementary Table 2 and Figure S3",19
"Supplementary Table S2, Supplementary Table S4, Supplementary Table S5",18
"Figure 7",18
"Figures 2 and 4 and Table II",18
"Supplementary Table 2 and Supplementary Figure 6",18
"Table 1, Figure S1",18
"Table 2 and Supplementary data Figure 3, Table 1",18
"Table S1, Table 3",18
"Table III and Figure 1",17
"Table 2 and Online Supplementary Table S1 and S2",17
"Figure 1 and  File S2",17
"Supplementary Data 2 and Figure 2",17
"Table S1 and Figures 5 and 6",17
"Supplementary Table 9",16
"Tables 1 and 2",16
"Figures 4, 5, 6 and 8",16
"Tables 1, S2",16
"Table 3 and Supplementary Table S5",16
"Table 1, Supplementary Table 1 and Figure 4",16
"Data S3",16
"Figure 1, Table I",16
"Table 1, Figures 1A, 2A",16
"Table  I",16
"Table I and Figure 2",15
"Tables I, S2, S4",15
"Supplementary Material Figure S7",15
"Supplementary Table S1, Supplementary Table S2, Supplementary Table S3, Supplementary Table S4",15
"Figures 1,2,3, Table I",15
"Supplementary Table 1.2, Supplementary Table 1.3",14
"Supplementary Table S1 and Table 2",14
"Table 2 and Online Supplementary Table S1 and S3",14
"Table II and Figure 1",14
"Table S2, Figures 2 and 3",14
"Tables S2 and S6",13
"Figures 1 and 2",13
"Supplementary Tables 2 and 4 and Figure S6",13
"Table VII",13
"Suplementary Figure S1",13
"Figure 5, Supplementary Tables S1 and S3",13
"Tables 2, S1",12
"Figure S3 and Table S5",12
"Table 1, Supplementary Data S3",12
"Supplementary Table S1, Supplementary Table S2, Supplementary Table S5",12
"Figure 3, Supplementary Figures 6, 7",12
"Tables I and II and Figure 1",12
"Table S2 and Figure S4",12
"Table IV and Figure 1",12
"Figure 1, Table 5",11
"Figures 8, S2 and Table S6",11
"Table 1, Supplemental Data 1, and 2",11
"Supplementary Information Table 1",11
"Figure S6",11
"Supplementary Table S1, Supplementary Table S4, Supplementary Table S5, Supplementary Table S6",11
"Figures 2 and 3",11
"Text page 4738 and Table 1",11
"Table 1, Supplementary Figure 1",11
"Table 1, Figures 1, 2",11
"Figure 1, Table II",11
"Supplementary Table 3 and Figure 5",10
"Figure 2 and table 1",10
"Tables III, S I, II, III",10
"Figure 2 and File S2",10
"Text in p.10",10
"Figures 4 and 5",10
"Tables 4 and 5",9
"Figure 2B",9
"Figure 5 and S5",9
"Figure 1, Supplemental information",9
"Table 1 and Figure 4",9
"Supplementary Table S2, Supplementary Table S4, Supplementary Table S5, Supplementary Table S6",8
"Supplementary Table S3, Supplementary Table S4",8
"Figure 2 and Table 2",8
"Supplementary Table S1, Supplementary Table S2, Supplementary Table S3, Supplementary Table S6",8
"Table 1, Figures 2, 3, and 4 and Supplemental Figures S1 and S2",8
"Tables S2 and S9",8
"Figure S3 and Table S4",8
"Table 1, Supplementary Data S1",8
"Figure 4 and Supplementary Table 2",7
"Supplementary List 3, Supplementary Figure 2",7
"Supplemental Table 1, Figure 6",7
"Supplementary Table S3, Supplementary Table S5",7
"Table 1, Figure S2",7
"Figure 2 and Table S3",7
"Figure S1",7
"Supplementary Tables 1 and 4 and Figure S6",7
"Supplementary Tables 1, 2, 5, 6",6
"Figure 3 and Supplementary Table 4",6
"Supplementary Table S1, Supplementary Table S2, Supplementary Table S3, Supplementary Table S5",6
"Figure 2 and Table II",6
"Figure S3",6
"Figures 1, 2 and Table 1",6
"Figure 3 and Supplementary Figure 2",6
"Supplementary Figure 3",6
"Figure 3, Table 1",6
"Figure 5, Table II",6
"Supplemental Table 1, Figure S2",6
"Figure 2 and Table 3",6
"Table 2 and text page 3,979",6
"Figure 1, Table III",6
"Table 2 and Supplementary Data 1",6
"Figure 1 and table 2",6
"Supplementary List 3, Figure 8",6
"Table 2 and Figure 2",6
"Figure 3 and Supplementary Table 2",6
"Extended Data Figure 2 and Table S3",6
"Figures 1, 5, 6, and Table 1",5
"Figure 2, Supplemental Table 1",5
"Figure 2, Table 1 (D)",5
"Tables 1, 2",5
"Supplementary Table S1, Supplementary Table S5",5
"Table II and Figure 2",5
"Supplemental data S1, Supplemental data S5",5
"Supplementary Tables 3 and 6",5
"Figure 2, Table 2B",5
"Table S1 and Figure 2",5
"Figure 2 ans Table S3",5
"Table S4, Figure 4",5
"Table S1 and Supplemental Figures 1, 2",5
