as_location,occurrences
"Figures 1, 2, and S1",147
"Figures 2, 4",147
"Tables 3 and 4",145
"Figures 1, 2 and Table S2",145
"Figure 2, S2, Table S1",144
"Figure 4 and Table I",143
"Figures 3, 5, and 6",142
"Figures 2, 3 and 4",142
"Figure 4D",141
"Supplementary Table 9",140
"Table 3 and Figure 1",139
"Figures 1, 2, 3 and 4",139
"Supporting Information Figure S1",138
"Figure 1D",137
"Figure 1 and Table 3",136
"Supplementary table 2, figures 1, 3, 4, supplementary figure 4",135
"Figures 1, 4",133
"Figure 4 and Supplementary Tables S1 and S2",132
"Data S4 and Figures 5, S10, S11",131
"Figure 3 and Table 3",131
"Figure 1 and Table 4",129
"Supporting Information Table S1",129
"Supplemental Table 2",129
"Table 2 and Supplementary Table 1",128
"Figure 1, Figure 2",128
"Data set S1 and S11",127
"Supplemental Table I",127
"Figure 1 and Author provided",127
"Figure 1A,B",126
"Results page 2041",126
"Supplementary table 2, figure 4, supplementary figure 4",126
"Figure 2, 3",125
"Tables 2, 3, and 5 and Figure 3",124
"Figure 3 and Extended Data Figure 5",122
"Figures 5 and 7",121
"Figure 4 and Supporting information Table S1",121
"Figures 3 and S1",120
"Table S4 and Figure 2",120
"Extended Data Figure 4",120
"Chart 2",119
"Figure 6 and S5",119
"Supplementary Figure 2, Figure 2",119
"Table S1 and Results page 2",118
"Table 11",118
"Figures 7 and 8",118
"Supplementary Figure 6",117
"Tables 1, S2, and S3",116
"Figure 7A",116
"Table 1, Figure 2",115
"Figures 2 and 3, Tables 2 and 4",115
"Supplementary file 3",114
"Figure 2D",113
"Figure 4a, Table 1, Supplementary Figures S1, S2",112
"Supplementary Figure  1",111
"Figure 4d",111
"Supplemental Tables I and IV",110
"Figures 7 and S4",110
"Figure S10",109
"Figures 4, 5",109
"Table 2 and Figure 4",108
"Table S II",108
"Figures 5, 6 and 7",107
"Figures 1, 2, 3",106
"Figures 4, S7",106
"Supplementary table 2, figures 1, 2, 4, supplementary figure 4",106
"Figure 1, Data File S1",103
"Tables 2 and 3, Figure 2",103
"Supplemental Table 4",101
"Figure 5C",100
"Figures 5, 6",100
"Table 2 and Figure 6",99
"Results page 5",97
"Tables 3 and 5",97
"Figure 6 and Table S5",97
"Table 1 and S4",96
"Authors provided",96
"Figure 3 and Supplementary Figure 1",96
"Figure 2b",95
"Figure 2, Table 1",94
"Figure 3 and Tables S1, S3, and S4",93
"Figures 1, 2, 3, and 4",92
"Figure 3 and Tables 3 and 5",90
"Table 1, Figures 2 and S3",90
"Text p 360",90
"Figure 1 and Table 2, 4",90
"Table III, Supplementary Table III",90
"Figure 3, Table 1",89
"Figure  1",89
"Supplemental Figure 3",89
"Supplementary Figure 1 and Supplementary Table 1",89
"Extended Data Figure 12",88
"Figure 7B",88
"Table 2, Figure 2",88
"Tables 4 and 6",88
"Text, Table 1",86
"Figures 3, E2",86
"Figure S8",86
"Figures 2, 3 and Table 4",86
"Figure 1 and Supplementary Figure 1",85
"Figures 1, 2, S1, and S5",85
"Tables 2 and SIV and Figure 8",85
"Supplementary Table 8",84
"Text page 163",84
"Figure 1, Supplementary Figures 4, 9, 12",84
"Supporting Table S1",84
"Figures 2, 3, Supplementaary Figures 2 and 3",84
"Table 3 and Figure 2",84
"Table E1",83
"Supplementary Figure 4",83
"Figure 3, Supplementary Table 5",82
"Figures 1, 3, 5 and Table 3",82
"Tables 1 and 3",82
"Figures 3, 4 and 5",82
"Figure 2E",81
"Supplementary Table 7",81
"Figure 1, Table 2",81
"Text p 1826",81
"Figure 5D",81
"Figure 3 and Supplemental Figure 1",80
"Figure 2, Table 2",80
"Table 1 and Figure S2",80
"Table VII",80
"Supplementary Figure 12",79
"Figure S2 and Supplementary File 1",79
"Figures 4 and 5 and Supporting Informatin Table S1",78
"Supplementary Table 10",78
"Figure 2 and S1",78
"Figures 1, 2, 4, 5, and Supplemental Figure S2",78
"Figure 1 and 2",78
"Figures 3 and 4 and Table 1",77
"Figure 5 and Table 2",76
"Figure 1, Table 1 and Supp. Figure 2",76
"Table 9",76
"Figure 2 and table 1",76
"Figure S9",76
"Figure 1C,D",76
"Figure 5, Table II",76
"Figure S1 and Table S3",75
"Figure 4 and Table S2",75
"Figures 1 and 6",75
"Text p.1058",75
"Figures 2, 4, and 6",74
"Figures 3 and 7",73
"Table 3 and Supplementary Table S1",73
"Table 2, Supplementary Figure 4",73
"Figure 6, Supplemental Table 2",73
"Figures 1 and S2",73
"Figure 2, Figure 3A",72
"Supplementary Dataset 11b",72
"Figure 3b",72
"Figure 5, Supplemental Table 2",72
"Supplementary Figure 4E and Supplementary Table S5",72
"Text p146",72
"Figure 6F and Supplementary Table S5",72
"Table 1 and Figure 5",71
"Figure 2a",71
"Figure 4b",71
"Table 1 and figure 1",71
"Figure 6 and Supplementary Table 3",70
"Figure 2, 3, 4",70
"Figure 1, ESM Table 1",70
"Figure 4 and Table 3",70
"Figure S13",70
"Tables 2 and 3, Figure 4",70
"Supplementary material S1, Table 3",69
"Figure 1, Table 3",69
"Figures 1, 3, and 4",69
"Supplemental Table 1, Figure 1",69
"Figure 2d",68
"Supplementary Figure S7",68
"Figure EV2",68
"Tables I and II",68
"Figures 4 and 5, Table S1",68
"Figures 3, S1",67
"Figure 2 and Supplementary Figure 3",67
"Table II and Figure 1",67
"Figure 1, Tables 2 and 3",67
"Supplemental Table 1A",67
"Table S1 and Extended Data Figure 2",66
"Figure 4 and Supplemental Material Table S2",66
"Data not shown",66
"Data Files S1, S2",66
"Figure 6 and S1",66
"Figures 5 and 6, Supplemental Table 2",66
"Supplementary Figure S1",65
"Tables 1, 2, Figures 1, 2, 5 and 8",65
"Figures 5, 6 and 7 and Tables 3 and 4",65
"Additional File 2",65
"Figures 3, 4, 5",64
"Text page 8",64
"Text Page 3",64
"Table 4 and Figure 1",64
"Figures 1 and 2, Tables 2 and 3",64
"Figure 5, Supplemental Data Figure 5",64
"Tables 1 and S2",63
"Supplementary Table S2",63
"Figure 1, Table 5",63
"Table 2, Figure 7",62
"Table 5 and Supplemental Table 3",62
"Figure 3 and Table S2",62
"Table 1 and Figures 1, 2, and S2",62
"Figures 8 and 10",61
"Figure 2, S1 or Table S1",61
"Supplementary Figure S5",61
"Supplemental Figure 8",61
"Figure 3, 4, Table 1",60
"Table 1, Figures 1 and 2",60
"Table S1 and Figure 1",60
"Figure 3, 5, Table 1",60
"Figure 6 and Supplementary Table S5",60
"Figures 2, 5, S2 and Supplementary Table 1",60
"Figures 4, 5, and S1",60
"Figure 2 and table 2",60
"FIgure 1",60
"Figure 2 and Supplementary Figure 2",59
"Text p.4867",58
"Supplementary Table S1",58
"Text, page 3387.",58
"Figure 4, Table 3",58
"Supplementary Table S1, Figure S3",58
"Table SI and Figures 3 and 4",58
"Figures 3, 4 and 5.",58
"Tables 2, 3",57
"Table 2, Figure 4",57
"Figures 1, 3, and 5, Table 2",56
"Figure 11",56
"Table 4 and Figure 4",56
"Figures 2-5",56
"Figure 3a",56
"Figure 6C",56
"Tables 4 and 5",55
"Figures 2, 3, 4",55
"Tables 1, 2",55
"Figure 2 and Table 4",55
