as_location,occurrences
"Figure S4, Table S3 and PDB 7CHF",2
"Text p 1928",2
"Figures 2, 4, 6, S4, and S8",2
"Table 1, Figures 1, 2, 3",2
"Figure 2, Supplementary Table",2
"Figure 3, Extended Data Figure 8",2
"Figure 1 and Supplemental Figure S2",2
"Supplementary Figures 14, 16, 17, Supplementary Table 7 and PDB 8H07",2
"Figure 1, 2, Table 1 and PDB 8G4P",2
"Supplementary Figures 10, 11, Supplementary Table 2 and PDB 8DW2",2
"Supplemental Figure S9",2
"Figures 3, S3, Table S1 and PDB 6CE0",2
"Table S4 and Figures 1, S1",2
"Figure 1, Table 2A",2
"Figures 1, 2, and 4 and Tables 2 and 4.",2
"Figures 2, S4, Table S2, and PDB 8IV4",2
"Supplementary Figure 5 and Supplementary Data 1",2
"Figures 4B and 8",2
"Figure 1 and Supplementary Material Figure S2",2
"Figure 4, 6, 7",2
"Figure 2B, Figure 2A",2
"Tables I and III,  Figures 3, 4 and 5",2
"Figures 1, 2, 3, S2, S3 and Tables 1, S3",2
"Figures 2, 3, 6, 7, S3, S4, S6 and S7",2
"Figure 1 and Supplementary Figures 3, 10, and 12",2
"Figure 2B and Table S2",2
"Figure 1, Supplementary Figure 3, Table 1 and PDB 6CHB",2
"Figure 4 Figure 5, Supplemental Table S6",2
"Figures 2, 3, 8 and Supplementary figures 4, 5",2
"Figures 1, 6, 10",2
"Figure 5, Supplementary Figure S5, Supplementary Table S1, and PDB 8HQ7",2
"Figure 4 and text p.235",2
"Tables S2, S7 and Figure 6",2
"Figure 3, S3",2
"Figure 3 Figures 5 and 6",2
"Figures 1F and 3",2
"Text P. 545",2
"Table V and Figure 5",2
"Table 1 and Supplementary Figure 14",2
"Supplementary Table I",2
"Figures 1, 3, and 4 and Table 2",2
"Text p. 130",2
"Figures 2, 3 and table 2",2
"Text page 964",2
"Supplementary Figures 11, 13",2
"Figure 4, Text p. 534",2
"Figures 4, 5, S4",2
"Figures 2, 4 and 6.",2
"Table S1, Figure S2 and PDB 3HAE",2
"Figures 4, 7, and 9",2
"Table 3, Figure 3 and Table 2",2
"Figures 1, S1, S2, Table S1 and PDB 7BZ2",2
"Figures S5, 3, Table S2",2
"Figure 1, Supplementary Table S3 and PDB 8BH5",2
"Figures 5, 6, and 7 and Table 2",2
"Figure 2, 3 and 5",2
"Text page 1444, Figure 1",2
"FIgures 1, 3",2
"Figures 1, 4, 5, S1 and S5",2
"Figure 1, page 211",2
"Figure 5, Supplementary Figure S6, Supplementary Table S1, and PDB 8HPF",2
"Table 3 and Figures 1, 4",2
"Text p.303",2
"Text page 174 and Table 2",2
"Tables 6, 7 and 8",2
"Text page 828",2
"Figures 2, 5, Table 1 and Supplementary Table S2, S4",2
"Figures 4 and 5, Tables 2 and 3, PDB 3QWO",2
"Figures 2, 4, 5, S5, Tables 1, S2 and PDB 1OAZ",2
"Figure 5, S5 and Table S1",2
"Figures 6, 7, and 8 and Table 3",2
"Figure 2 and Tables 2A and 2C",2
"Figures 4, 7, S6, and S7",2
"Supplementary Figure 1, Supplementary Tables III, IV and PDB 3IXY",2
"Figures 1, S1, S6, Table S1 and PDB 7EZV",2
"Figures 5, S5 and Table S1",2
"Figure 2, Tables 1, 3",2
"Figure 3 and Supplemental Figure 2",2
"Figure 6, Tables 6 and 7",2
"Figure S2  and Table 1",2
"Table 4 and Figure 3 and Supplementary Figure 3",2
"Figure 1, Supplementary Figure 13, Supplementary Table 2 and PDB 6K41",2
"Supplemenntary Figure 3",2
"Figures 2 and 3, Tables 2 and 3",2
"Figures 1, 2, 6, S2, S3, Table S2 and PDB 6EDU (v1.1)",2
"Figures 2, 4, and S5",2
"Figures 1, 3 and Tables 1 and 3",2
"Figures 4, S13, S14 and S15",2
"Figures 2 and 4 and Supplementary Figure 4",2
"Results, page 13.",2
"Figure 3, Table 1 and PDB 6GJU",2
"Figure 5B, Supplemental Table 1",2
"Text page 390",2
"Figures 4, S4, Table S2 and PDB 6CK9",2
"Figures 3, 4, S2",2
"Figure 2A,D",2
"Figures 4, 5, S7",2
"Text P. 265",2
"Tables 2 and 3, Figures 1, 2, 4, 5, and 6",2
"Figure 1, 2, 3, 7, Table 2, 3",2
"Figures 2 and 3 and Supporting Information Figure S2",2
"TABLE 1",2
"Figures S7, S8, Tables S5, S6 and PDB 7XDK",2
"Text page 1730",2
"Figures 4, 6 Figure 3",2
"Figure 4, 5, Table 1, 2",2
"Figure 5, Text page 406",2
"Figure 2, Table 1, Supplementary Figures 2, 3, and 4, and Supplementary Table 1",2
"Figure 1 and Extended Data Figures 5 and 6",2
"Figures 1, S1, S2, S4, and S5, and Table 1",2
"Tables II and III, Figures 3 and 4",2
"Figures 1, 6, S1, S3 and Table S2",2
"Figures 1, 2, Supplementary Figures 1, 2, Supplementary Table 2 and PDB 5KEN",2
"Text p. 1162",2
"Table 2, Figures 1, 6 and PDB 6WTH",2
"Text p.1336",2
"Figures 5 and S18",2
"Figures 3, 4, Tables II and III",2
"Results page 122",2
"Figures 2, S3, S4, Table S2 and PDB 6UYF",2
"Figure 1, Supplementary Figure 2 and Table 1",2
"Text, page 656 and Figure 6.",2
"Text page 2010",2
"Table S3 and Supplementary Figure 2",2
"Tables 1, 2, Figures 4, 5, and 6 and PDB 4RGN",2
"Figure 3 and Data S1",2
"Figures 2, 3, S4, S5, S6, S7, S8, Table S1 and PDB 7WHZ",2
"Table I, Fig",2
"Figures 1 and 2 Figure 5",2
"Figures 2, S3, Table S3 and PDB 7SOB",2
"Figure 1, Supplementary Figure 12 and Supplementary Table 5",2
"Figures 3, 4, 7, and 8",2
"Figures 11, S7 and S8",2
"Figure 4 and Supplementary Figure 5",2
"Tables1,  2, and 3",2
"Figure 2 and text page 3704",2
"Text page 267",2
"Table 1 and Figure 3B",2
"Figure 4, Table S1 and PDB 7NX7",2
"Tables 2 and 3, figure 2",2
"Table 1, S4 Fig",2
"Figure 4, Supplementary Fig.3",2
"Table 3, 7, 9",2
"Figure 2 and text p.223",2
"Table II and Figures 2, 3, 4, 5, and 6",2
"Figures 3, 4, and 5 and Supplement Figure 5",2
"Figures 3, 4, 8 and Table II",2
"Figures 2, 3, and 5, text p.48",2
"Figures 6, S5, S6, Table S3 and PDB 7X3C",2
"Table 6, Table 7",2
"Figure 1, Tables 1, S1 and PDB 5OTJ (v1.0)",2
"Results page 173",2
"Figures 1, 2, and 3, Tables I, II, III, and IV",2
"Table 2 and text page 7381",2
"Text page 180 and 181",2
"Figure 4, Tables S4, S5 and PDB 7S5R",2
"Table 3, Text page 277",2
"Text p. 5875",2
"Figure S5, Table S2 and PDB 6XC3",2
"Fig.2A, 2B",2
"Tables 1, 4, figure 3",2
"Figures 5, S7, Tables S2, S3 and PDB 7K9Z",2
"Figures 1, S3, S4, S5, Tables S3 and S4",2
"Figures 2, 3, 8, Table S2",2
"Figures 1, 2, 3, 6, and S6",2
"Figures 3, 4, S1",2
"Figures 7 and 9",2
"Figure 5 Figure 3",2
"Figure S1, Table S1 and PDB 7ZXU",2
"Figures 6 and S2",2
"Figures 1, S1, Table S1 and PDB 5FHC",2
"Figure 4, Tables 1, 2, S2",2
"Figure 12A B, Table 1",2
"Figures 1 and 2, text p. 460",2
"Figure 6, Tables S1 and S2, and PDB 7T5F",2
"Figure S3 and S6",2
"Figures 1, 5, S1, and S12 and Table 1",2
"Figure 3 and Supplementary Figure S2 and S6",2
"Figures 1 and 2, Tables 2 and 4",2
"Figures 3, S2, Tables S4, S5 and PDB 7MZJ",2
"Figure 3 and S2 Fig.",2
"Figures 2, 5, S2",2
"Figure 2, 4, 5 Table 1",2
"Tables 3, 4, Figure 5",2
"Text page 3 and figure S8",2
"Figures 4, 5, S7, S8, S9, S10, Tables S4, S6 and PDB 6W51",2
"Figures 3, 4, Table S1",2
"Figures 4, 7, Table S2 and PDB 7PS6",2
"Figure 2 and Dataset S2",2
"Text P. 541 and Figure 3",2
"Figures 6 and 3",2
"Text p 234",2
"Figures 2, S1, S3, Tables S4, S5, S6, S10 and PDB 6D01",2
"Figures 2, 5 and S13",2
"Figure 7, Table S4 and PDB 4UTY",2
"Figure 3, Supplementary Figures 4, 5, Table 1, Supplementary Table 3 and PDB 6UJ9",2
"Figures 1, 3, and S4",2
"Figures 3, 4, 5, 6, 7 and Table II",2
"Figures 1 and 7 and Supplementary Figures 3 and 12",2
"Figures 2A, 3 and 4",2
"Figures 5, 6, S8, Table S1 and PDB 7TBF",2
"Figure 1, Table S1 and PDB 7BW0",2
"Figure 4 and Text page 3375",2
"Text p.215",2
"Figures 1, S1 and S6",2
"FIG. 2 B",2
"page 9",2
"Figure 2 and Table V",2
"Figure 7, Supplementary Table 6 and PDB 8Q95",2
"Figure 5, Supplementary Figure 7, Table 1, and PDB 8T5C",2
"Text p.1545",2
"Results page 41 Section 3.7, Figure 6",2
"Results page 238",2
"Figures 1, 2, Supplementary Figures 2, 4, 5, Table 1, Supplementary Tables 1, 2 and PDB 7STF",2
"Figure 2A, B",2
"Figures 3, S1, S2",2
"Text, page 828.",2
"Figure 2A, 3A",2
"Tables 1 to 5, Figures 2 to 4",2
"Figure S6 and Table S5",2
"Figures 2 to 8.",2
"Figures 2, 3 and Supplementary Figure 4",2
"Figure 1 and Supplementary Tables 1, 3, 5, 6, 8, 9 and 10",2
"Figures 3 and S1, Table S1",2
"Text P. 914",2
"Table I, II",2
"Tables 2, 3, 4 and Figure 3",2
"Figure 1, Supplementary Figure 1, and Supplementary Table 1",2
"Text P. 39",2
"Figures 1, 4, 5 and Table S2",2
"Table 1, Figures 2, 3 and 4",2
"Figure 4, S5, Table S4 and PDB 7N8H",2
"Table 1, Figure 1 and PDB 1XCT",2
"Tables 3, 4 and Figure 4",2
"Table 2 and Figures 3, 4, 5, 6, 7",2
"Figures 4, S6 and S7",2
"Table2 and Figure 5",2
"FIgures 3 and 5",2
"Figures 2, 6, S2, S3, S4 and S5",2
"Figure 5, Supplementary Table 4 and PDB 6MUF",2
"Figure S2, Table S1 and PDB 7X1U",2
"Figure 2, 4, 5",2
"Table II and Figures 2, 6",2
"Table 1, Figures 5, 6 and PDB 4TUL",2
"Text P. 39 and Figure 2",2
"Figures 3, S13, S15, Table S2 and PDB 8CYJ",2
"Figure 3 and Supplemental Figure S3",2
"Page 265",2
"Figure S6 and Table 1",2
"Text, Figures 3 and 4",2
"Tables 1 and S8",2
"Tables II and PDB 3PHQ",2
"Figures 4, S3 and Table S3",2
"Text P. 7801-7802",2
"Figure 3, 4, 5, 6",2
"Figure 4, Table 3, Supplementary Figure S2",2
"Text, page 2213",2
"Table 1 and Figrue 5",2
"S2 Data, Figure 6",2
"Table 3, Text page 855",2
"Table 2 and Supplemnetary Figure 1",2
"Figures 1, Figure supplement 1, 2, 3, 4, Supplementary Table 1 and PDB 6QNO",2
"Table S1 and PDB 8DF5",2
"Figures 1, 2, 4, and Supplementary Figure S1",2
"Supplementary Figures 3 and 6 and Supplementary Table 2",2
"Table II and Figures 3, 6",2
"Figure 3C, S5",2
"Figures 2 and 3B",2
"Figure 1, 7 and Table S1",2
"Figures 2, 3 and Supplementary Figures 2 and 3",2
"Figures 1, 2, 3, and 5, Table II",2
"Figures S5, 2, 3, 4, Table S2",2
"Online Supplement Table S2",2
"Figures 2, 5, 6, 7 and Supplementary Figures 3, 14 and 16",2
"Figure 4, Table S2, and PDB 8K3K",2
"Figure 8, Supplementary Table 28 and PDB 8VYF",2
"Figures 1, 2, 3, and 4 and Table 3",2
"Figure 2A, 5",2
"Figures 2, 6, S3 and S4",2
"Tables 1, 2 and 3, Figures 3, 4, 5, 6, S6, S8",2
"Figures 4, 5, and S3",2
"Figure 4 and Supplementary Figure 5 and 6",2
"Text, page 5496",2
"Text page 819 and Figure 6",2
"Figures 4, S1 and S7",2
"Tables 1, 2, 3, 4, 5, Figures 4, 5, 6, 7, 9, 10 and PDB 1MLC",2
"Text page 474",2
"Figures 1, 2, 3, 4, 5, 6, 8, S1, S2 and Table 1",2
"Figures 4 and S19",2
"Figures 3, 4 and Table S3 and S4",2
"Figure 4 and Table 1 Table 3",2
"Tables 3 and 4, Figure 1",2
"Table 1, Figure 1, and Supplementary Figures S1 and S2 and Tables S2 and S3",2
"Figures 1,2, Table 1",2
"Tables 1, 2, S2, S7 and Figures S3, S13, S25, S26",2
"Figure 2, 3 and Table III",2
"Figures 1, 2, S1 and S7",2
"Figures 2, 3, Supplementary Table 5",2
"Tables 1, S1 and Figures 1, 2 and 6",2
"Figure 3, Table S2 and Figure S2",2
"Figure 3, and Supplemental Figure 1",2
"Figures 1 and  2",2
"Figures 3, 8 and 9",2
"Figures 5, 8, and 9",2
"Figure 3 and Results page 5",2
"Figures 5, Supplementary Figure 4, and Table I",2
"Table IV and Figure 5A",2
"Figure 2A,D,E",2
"Figures 1, 2, 3, and 4 and Supplementary Figures 1, 2, 3, and 4",2
"Figure 2 and Extended Data Figures 3 and 6",2
"Figures 3 and 5, Tables I and II",2
"Text page 2467",2
"Figures 2, 3, 4, S3 and S4",2
"Figure S15 and Table S1",2
"Table 2 and Supplementary Figure S1",2
"Tables 1, 2, Figure 1",2
"Figures 6E, F and S12",2
"Figures 3, 4, Supplementary Figures S2, S3, S4, Table S3 and PDB 7WOV",2
"Text page 65",2
"Figure 1B,C,D,E,F",2
"Figurs 1, 2, 3 and Table 2",2
"Figure 5 and Table 6",2
"Figures S9 and S12 and Table S6",2
"Supplemental Figures 1 and 2",2
"Text page 706",2
"Text  p 188",2
"Figure 1, 5 and Table 1",2
"Figures 1 and 7 and Table 1",2
"Figures 2 and 4 and Table 3",2
"Figures 2, S3, S6",2
"Figure 3, Supplementary Figure S9",2
"Figure 2B Figure 2C",2
"Figure 1, Supplementary Table 2 and Supplementary Figure 2",2
"Figures 1, S4 and Table S2",2
"Figures 1, 3, 4, 6 and Table 1",2
"Table 1, Text (p. 268).",2
"Page 3",2
"Figures 2 and 3 and Tables 1a, 1b, and 1c.",2
"Figure 5, S1, Table S1 and PDB 8UT7",2
"Figure 5 and Extended Data Figure 7",2
"Figures 1, 2, 3, Supplementary Table 5",2
"Figure 3, S7, Table 1 and PDB 8Y0Y",2
"Table 1, Figures 1 and 4",2
"Table 1, Abstract",2
"Figure 5 and Supplementary Table 3",2
"Text page 264",2
"Text p. 908",2
"Tables 2, 3, and 5",2
"Results (page 301)",2
"Figure S4 and Table S2",2
"Figure 3, Table 1 and Text p. 319",2
"Table S.1, Figure 1, S.1 and PDB 5HVH",2
"Figure 5 Table 1",2
"Figures 4A and 4B",2
"Table 1, Text page 1247",2
"Tables 1, 2, 3, 4 and figure 2",2
"Figures 5 and 6, Table 2",2
"Extended Data Figure 3 and Supplementary Table 2",2
"Figures 1, S1 and S3",2
"Figure 4, Supplementary Figures 4 and 5",2
"Figure 1, 6, Supplementary Figure 3",2
"Tables V and VI, Figure 1",2
"Figure 5 and Supplemental Material Figure S4",2
"Figures 5 and E3",2
"Table 1, Supplemental Figures 5 and 6",2
"Figures 3, S4, Table S1 and PDB 7YOY",2
"Figures 1 and 4, Table 3",2
"Figures 7, S7 and S8",2
"Figures  2 and 4",2
"Table 1, Figures 4, 5 and PDB 4NC1",2
"Figure 1 and Table I, II and III",2
"Figure 3, Text p 3828",2
"Figure 3(b)",2
"Figures 3, S5 and Table S1",2
"Text p.71",2
"Table 2, Figure S7",2
"Figure 2 and Appendix Figure S1",2
"Tables S2, S4 and Figures 2, S2",2
"Figures 2, S2, Table S2 and PDB 7LXY",2
"Figures 2, S3, S4, Table S2, and PDB 8IV8",2
"Text P. 967",2
"Supplementary Figure 8 and 9",2
"Figures 6, 7 and Supplementary Figure 3",2
"Figures 1, 5 and supporting Figure 1",2
"Figures, 1, 2, 4, and 7",2
"Figure 2 and Extended Data Figure 4",2
"Table 1 and Figures 3, 6 and 9",2
"Figure 1 and P. 305",2
"Figures S1, S2, S5, Tables S2, S3",2
"Text p.1157",2
"Tables I, II, III, Figure 1",2
"Figures 3, 4 and Supplementary Figures 3, 4 and 5",2
"FIgures 7,9 and 10",2
"Figures  3 and 4",2
"Figure s1",2
"Figures 2, S2, Table S2 and PDB 7KN5",2
"Figure 3, S8, S9 and S10",2
"Table 1 and Figures 1, 3, 4, and 5",2
"Figure 1, tables II, III and V",2
"Figure 8 and Table 4",2
"Figure 6 and 8",2
"Table III Figure 1",2
"Figures 2, 4, Supplementary Tables 1, 3 and PDB 7ZWM",2
"Text page 2372",2
"Figures 5, S1, S2, Supplementary Table 2 and PDB 8ZHN",2
"Figure S1 and Table S9",2
"Table 1 and text page 637",2
"Text page 379",2
"Figures 3, 6, S7 and Table 3",2
"Text P. 2998",2
"Figures 2 and Table 1",2
"Figures 1, 5, S11 and Table S1",2
"Figures 1, 5, 6, Tables I and III",2
"Figures 7J and 7K",2
"Table III, Figures 4 and 5",2
"Figure 1, Tables I, II and III",2
"Figures 5 and 6 abd Table 2",2
"Figures 3, S11, S12 and S15",2
"Figure 2 Supplemental",2
"Text page 174",2
"Tables I and III, Figures 3, 4 and 5",2
"Table S2 and PDB 6CUE",2
"Figure 6, S7",2
"Figure 4, Supporting Information Figure S5 and Table S5",2
"Figures 2, 6, and 9",2
"Text p. 541",2
"Fgure 4",2
"Figure S6, Table S3E and PDB 6V6W",2
"Figure 2 and Supplemental Figure S1",2
"Figure 4 and supplementary figure 2",2
"Figure 10, Table 4.",2
"Figures 1, S2, S7, Table S1 and PDB 7EY5",2
"Tables 3, 4, Supplementary Tables 1, 2 and 3 Table 4",2
"Figures 1, 6, and S4",2
"Text page 53",2
"Supplementary Figure S2A",2
"Tables 4, 5 and Figure 3",2
"TABLE 4",2
"Supplementary Table 1 and Figures 4 and S1",2
"Tables 5, 6 and 7",2
"Tables 1, 2, 4, and Figure 2",2
"Table 1, Figure S5",2
"Tables 3 and 4, Figure 8",2
"Tables I and II, Figures 1-3",2
"Results page 240",2
"Text p.134",2
"Supplementary Material Table S5",2
"Table VI, VII, VIII",2
"Figures  4 and 5",2
"Figure 4 and Supplemenary file 3",2
"Supplementary Figure 3 and 4",2
"Figure 1, Text page 1524",2
"Figure 7, 8 and S21",2
"Text p 321, Table 1",2
"Figures 3, 4, 6",2
"Figures 3, EV2, S1, Table S2 and PDB 7P77",2
"Figures 1, S2, S5, Tables S3, S4, S5 and PDB 2XQY",2
"Table 1-3",2
"Figures 1 and 2b",2
"Figure 1 and Supplementary Figures 1 and 2",2
"Figure 4, Figure 3",2
"Figures S1, 6",2
"Table 1, Figures 2, 3 and PDB 2BMK",2
"Figures 5, 6 and Supplementary Figure 6",2
"Table 1, Supplementary figure 5",2
"Page 229",2
"Figures 1, 3, S1, S7, S8, Tables S1, S2 and PDB 6GFF (v1.0)",2
"Table S3 and PDB 7L0N",2
"Figures 2 and 3, Supplementary Figure 1",2
"Figures 1, 2, 3, 4, 5, 6, S1, S3, S4",2
"Table 2, Figures 2, 3, 4, 5 and 6",2
"Figures 4, 5 and 6, Table 2",2
"Supplementary Figure 5 and Supplementary Table 4",2
"Text P. 483",2
"Figures 1, 2, Supplemental Table 1",2
"Supplementary Figure 2b",2
"Table 1, Figure 2, Supplementary Figure 3 and PDB 5JSA",2
"Figure 1B,C,D",2
"Figure 2, 4 and 6",2
"Tables VII, XI",2
"Tables 1, 2 and Figure 5",2
"Figures 4, 5 and Supplemental Table 3",2
"Table 3 Table S2",2
"Figure 3, Supplementary Table 6 and PDB 8Q93",2
"Text, page 829.",2
"Text page 16296",2
"Figures 1 and 2 and Table 2, Supplementary Tables 1, 2, 3",2
"Figures 1, 2, 3, Table II",2
"Text page 1015",2
"Supplement 1",2
"Figures 3 and Extended Data Figure 5",2
"Supplemental Figure S10",2
"Supplementary Table 1 and PDB 6NNJ",2
"Text p.494",2
"Figures 1, 3, 4 and Table 1",2
"Figures 2 and 3; Tables 1 and 2",2
"Figures 3 and 6, Table 1",2
"Tables 5 and 6, Figure 1B",2
"Figure 1 and Supplementary Figure 2 and Table 3",2
"Figure 2D, 3",2
"Figure 4 and and Supplementary Figure 13",2
"Figures 2, S4 and Table S2",2
"Table S1 and PDB 2DTG",2
"Supplementary Figures 2, 4",2
"Figures 3-4",2
"Figure 1, Supplementary Figure 3 and 4",2
"Figure 5, Supplementary Figures 7, 8, Supplementary Table 4 and PDB 8V62",2
"Figures 2 and 3 Figure 3",2
"Figure 1D, 2A",2
"Table I, figures 4 and 5",2
"Figure 1, Supplementary Figure 1 and Supplementary Tables 1 and 4",2
"Supporting Information",2
"Figures 3, 4, S4 and Table S2",2
"Figure 4, Table S1 and PDB 7NXA",2
"Figures 3, 4, Supplementary Figure S1",2
"Figure 3, Text p 264",2
"Table 3, Figure 9",2
"Figure 4 and Figure 5",2
"Figure 2 and  Supplementary Figure 5",2
"Figure 5, Tables S1 and S4",2
"Table 1 and Figure 4a",2
"Figures 4, 7 and Table 1",2
"Figure 2, 3, 4, and Table 3",2
"Figures 2, 3, 4, Supplementary Figures 2, 3 and 5",2
"Figure 1E, F",2
"Webfigure 2",2
"Figure 2D and 3",2
"Table 2, Figure 4, Text page 1236",2
"Figure 1, Tables 3, 4 and 5",2
"Figures 4 and 5 and Supplement Figure 5",2
"Table 1 and Supplemental Figure 3",2
"Text page 558",2
"Text, page 39.",2
"Tables 2, 4 and Figure 9",2
"Figures 1, 3, S2, and S3, and Table S1",2
"Figures 1, 7, Table 3 and Table S1",2
"Text page 4727",2
"Figure S4 and PDB 7M42",2
"Figure 1 and Supplemental Table 1",2
"Figures 2, 3, 4, 5, Text page 276",2
"Figures 1, S2, S3, S4 and Table S1",2
"Tables I, III, IV, Figures 1, 7 and PDB 1NFD",2
"Figure S6, S11 and Table S8",2
"Supplemental Information Figure S3",2
"Table 3A and 3B",2
"Figure 1, Extended data Figure 1, Supplementary Table 2 and PDB 5VAI",2
"Tables 1, 2, 3, 4 and 6",2
"Figures 2, S5, and S6",2
"Table 2, Figures 2, 3, and 4",2
"Text p. 1188",2
"Figures 3, S6, Table S2 and PDB 7XDL",2
"Case report, page 682",2
"Figures 8 and S9",2
"Tables 2, 3 and Figure S6",2
"Figure 1, Tables S1 and S2, and PDB 7LZP",2
"Figures 5, 7, and 8 and Table 1",2
"Figure 1, Tables 4, 5, 6, and 7",2
"Text page 324",2
"Figures 1, 2, Table 1 and PDB 1DBK",2
"Figures  1, 4 and Table 1",2
"Figure 1 and Text P. 614",2
"Figures 2, 3, 7, and S3 and Table S3",2
"Figures 2, 3, 4 and PDB 6OGE",2
"Table II and Figure 7",2
"Figures 1 and 4, Table 1",2
"Figures 2, 4 and S4",2
"Tables 4 and 5, Figure 1",2
"Figures 1, 4, S6 and S7",2
"Text page 19764",2
"Table 1, Figures 5 and S1",2
"Figures 1, 2, and Supplementary Figure 2 and Table 1",2
"Figures 4, 5, S2",2
"Tables 1-2, text, page 747.",2
"Text P. 778 and Figure 2",2
"Table 1 and Figures 2 and 4",2
"Extended Data Figure 1, Extended Data Table 1 and PDB 7XW5",2
"Results page 642",2
"Figures 4, 5 and supplemental Table 1",2
"Figures 1, 5, S1, and S2",2
"Figures 6, 7 and S2",2
"Table 2, Figure 4, Supplementary Figure S3 and Supplementary Table S1",2
"Table 4 and figure 2",2
"Figure 5, Supplementary Figure S7, Supplementary Table S1, and PDB 8HPU",2
"Figure 2, S2 and Table II",2
"Figure 3, text.",2
"Figure 5 A",2
"Tables 2, 3 and figure 2",2
"Figures 1 and 3S",2
"Tables II, III, Figures 2 and 3",2
"Supplementary Table 11",2
"Table II, III, and IV and Figure 3",2
"Figure 5. A.",2
"Figure 4, Table S1 and PDB 7NX6",2
"Table 1, Figures 4, 5 and PDB 5TLK",2
"Figure 2A and Table S2",2
"Figure 2, 3 and Supplemental Figure S1, S2, S3",2
"Figures 1, 2, 1S and 3S",2
"Figure 4, 6, S7",2
"Figures 2, S2, S3 and Table S2",2
"Text p. 688",2
"Page 720 (text)",2
"Table 1, Figures 2, 4, Extended Data Figures 1, 2, 5, 6, 9 and PDB 6NI2",2
"Figures 5A and 6",2
"Figures  2, 3",2
"Previous reference",2
"Figures 5 and S2 and Table S5",2
"Figures 3, 4 and Table S3",2
"Figures 1, 5 and Table 1",2
"Table II and Supporting Information Fig. S4",2
"Table 2, Figures 3, 5",2
"Text p. 985",2
"Figures 3, 4, 5, Supplementary Figure S5 and S6",2
"Figures 1, 4, and 5, Supplementary Figures 1 and 4, and Supplementary Table 1",2
"Figures 4, S2, S4, S8, S9, Table S1 and PDB 7T4Q",2
"Figures 3, 5, S3 and Table S5",2
"Figures 3, E2 and Table 2",2
"Supplementary Fig. S1 Supplementary Fig. S2",2
"Figures 1, 2, 3, and 6",2
"Table I, Figures 6 and 7",2
"Figures 2, 5 and 9",2
"Table 2 and Figures 3, 4, 5, 6",2
"Figures 2, 4, Table S4 and PDB 6MPG",2
"Figures 2, 3, and S1",2
"Figure 3, Supplementary Table 4 and PDB 6MTJ",2
"Tables IA, 1C",2
"Table III and Figure 4",2
"Figure 2, Supplementary Figure 2, Table 1 and PDB 6GWP",2
"Figure 3A and Supplemental Figure 7",2
"Figure 2A, Table 1",2
"Figures 2, 6, 7 and Supplementary Figures 1, 3 and 16",2
"Figure 2, S5, S7 and Table S1",2
"Figure 1, Supplementary Figure S1 and Table 1",2
"Text page 90 and Figure 5A",2
"Figures 2, 4, 5, 6",2
"Text page 496",2
"Figures 2, 3, 4, Table 2",2
"Tables II, III IV and V, Figures 1, 2",2
"Figure 1, 4 and Table 3",2
"Figures 1, 2, 4 and 8",2
"Tables 1, 2, Results p 108",2
"Figure 3, S6 and Table S3",2
"Table S5 and Figure S3",2
"Figure 1E,F",2
"Figures 2 and S2 Figure S2",2
"Extended Data Figure 10 and Supplementary Figures 3 and 4",2
"Result and Figure 3",2
"Figures 6, S6, Tables S2, S3 and PDB 6RCV",2
"Figure 1 and Suppplementary Figure 7",2
"Text P. 381",2
"Tables 1 and 2 and Figures 4, 5, S8, and S9",2
"Figures 1, 3, 5, and 6",2
"Figures 1, S1, and S2, and Table 1",2
"Figures S4, 3, 4, Table S2",2
"Figure 4, Supplementary Figure 6, Supplementary Table 3 and PDB 7KZB",2
"Figure 1 A , B, figure 2 A",2
"Figures 5 and S6, Table S3, and PDB 8K46",2
"Figure 4, Table 4, Table S2",2
"Figures 1, 2, 3, and 4, Table 2",2
"Figures 2 and 3A, Figures 2 and 3B",2
"Text, page 178.",2
"Figures 2, S8 and Table S2",2
"Figure 7, S8 and Table S2",2
"Text page 177-178",2
"Figure 2 and Supplementary Figures 6, 11 and 12",2
"Figure 3, Table 1, Supplementary Table 2 and PDB 4NP4",2
"Figures 1, 2 and Supplementary Figure 2",2
"Figures 1, 2 and 3, Supplementary Figure 1",2
"Tables 3  and 4",2
"Figures 1, S4 and Tables S2 and S3",2
"Figures 1 and 3, Table 1",2
"Figures 2, S7 and Table S3",2
"Figures 1A, B, and 4C",2
"Figure 2 and Text page 256",2
"Figure 1D and text page 10,537",2
"Figure 2, Supplemental Table 5",2
"Text p. 1259",2
"Figure 1, 2, Table 1, 2",2
"Figure 2, Figure 2 supplement 2",2
"Table S3 and Figure 1",2
"Table 2, S3, Figure 2, 3",2
"page 7, Table 2",2
"Table S3, Figure 3 Table S4, Figure 2",2
"Figures 1, 2, 3, Tables I, II",2
"Figure 4, Table S2 and PDB 7ORA",2
"Text page 5532",2
"Figure 6. 1, 2, 3, Appendix Fig S1",2
"Figures 3,S3 and Table 2",2
"Figures 6, 7 and 8, Table 2",2
"Figure 4, Supplementary Table 4 and PDB 6MU7",2
"Table 3 and Figure S6",2
"Figure 1 and Figure 2",2
"Figures 1, S1, S2, S3, Table S1 and PDB 7CWS",2
"Figure 4, legend",2
"Figure 1 and Supplemental Figures 1 and 3",2
"Figure 5A, C",2
"Figures  2, S7 and Table 1",2
