as_location,occurrences
"Figure 4 and Table S2",134
"Table S3, Figure 3",133
"Figure 3.B, Table III",132
"Figure 2 and Supplementary Figure 5",131
"Figures 3 and S3",130
"Figure 1, Table 2",127
"Results Page 3",126
"Figure 2 and S2",126
"Figure 3 and Table S4",125
"Figure 2 and S2 Table",125
"Figures 4, 5",125
"Table 3 and Figure 3",124
"Table 1 and Figure 5",124
"Figure 3 and Table 3",122
"Figures 1, 2, 3",121
"Extended Data Figures 6 and 7",120
"Table 2 and Figure S2",120
"Figures 5 and S5",119
"Figure 9, Supplementary Figure 8",119
"Figure 1E",118
"Figures 1 and S2",118
"Figure 3, Table 2",116
"Table 1, Figure 3",115
"Supplementary Figure 5",114
"Figures 2, 3, and 5",113
"Figure 1 and Supplementary Table 1",112
"Figures 2 and S5",112
"Table S1 and Figure S2",111
"Supplemental Figure 5",110
"Figure 1 and Extended Data Figure 4",109
"Figure 4, 5",108
"Figures 1, 3, and 4",108
"Figure 3, also Figures 2 and 4",107
"Figures 3, 4, 7",107
"Figure 3 and Table S2A",106
"Supplementary Figure 6",106
"Table II and Figure 2",106
"Text p.252",105
"Suppl. Figure 2, Author communication",105
"Figures 2, 3, 4, 5, and 6, Supplementary Figure S4, and Supplementary Table 1",105
"Figures 4, 5 and Table 1",105
"Figures 2, S2 and S3",104
"Figures 2 and S2",104
"Supplementary Tables 1, 2, 3, Table 1, Figures 3, 4, 5, Supplementary Figure 3",103
"Page 204",102
"Figure 8, Supplementary Figure 7",101
"Figure S3 and Table S1",101
"Figures 3 and S5 and Table S4",100
"Table II and Figure 5",100
"Table S6",99
"Figure 2 and S6",99
"Text p. 9547 and Table 4",98
"Figures 1 and S3 and Data File S2",96
"Table 1 and Supplementary Figure 1",96
"Figure 6B",95
"S5 Figure",95
"Table 3 and Figure 2",95
"Figure 4, Table 1",95
"Figures 2 and S7",94
"Figures 2, 3, and Tables S1, S2",94
"Table  3",93
"Figure 3, Extended Data Figure 3 and Supplementary Table 4",93
"Tables 2, 3",93
"Figure 4 and Table S4",92
"Tables 4 and 5",92
"Figures 1 and S3",92
"Results (page 178)",92
"Figure 1 and 2",91
"Figure  1",91
"Figure 1, Table 3",89
"Table 3 and Figure 6",89
"Table 1 and Figure S3",88
"Figure 3 and Supplementary Table 4",88
"Figure 6A",86
"Figure 5, Figure S5, and Table S6",86
"Figure 1B and Table I",86
"Figures 3 and 5, Table II",86
"Table 2, Figure 4",85
"Extended Data Figure 4",85
"Figures 2, S3, and S4",85
"Figures 7 and 8",85
"Extended Data Figure 9",85
"Figure 4C",85
"Supplementary Data 4, Supplementary Tables 4, 7",84
"Figures 1, 2, 3, and 4",84
"Text page 407",84
"Supplementary Material Table S1",84
"Figure 6 and Author provided",83
"Figure 5 and Table 1",83
"Supplementary Figure 1 and Supplementary Table 1",83
"Figures 1 and 2 and Table 1",83
"Figures 1, 3",82
"Tables 1, 2",82
"Figure 2 and Extended Data Figure 6",82
"Figure 2.b.",82
"Results p. 2",82
"Figures 2, S1, S3",81
"Table II and Supplementary File 4",81
"Extended Data Figure 5",81
"Figure 2, Text page 873",81
"Supplementary Table S1",80
"Figures 1, 2, and S2",80
"Tables 1, 2 and 3",80
"Supplemental Tables S4, S5",80
"Figures 2 and S8",79
"Figure 3 and Table S1",79
"Figure 2, Text.",79
"Table VI",79
"Figure 1 and Supplementary Figure 2",79
"Tables 2 and 3, Figure 2",78
"Figures 1, S2",78
"Figures 2 and S3",78
"Figure S13",78
"Figure 2 and Table 4",77
"Table 3 and Figure 5",77
"Figure 4, Table 2",77
"Supplementary Figure 16",77
"Table 1b",77
"S3 Figure",76
"Figure S-1, S-3 and Table 1",76
"Figures 1, 3, S-2 and Table 1",76
"Figures 3 and S-2",76
"Supplemental Figure S2",76
"Table 7",76
"Figure 2 and Extended Data Figure 3",75
"Table 1, Figures 1 and 2",75
"Figures 6 and 9",75
"Figure 3 and Supplementary Figure 1",74
"Tables A1 and 2",74
"Figure 3-5",73
"Figure 1 and Table I",73
"Extended Data Figure 1",73
"Supplementary Figure 12",73
"Figures 1, S1 and S4, Dataset 1",72
"Table 3 and Figure 4",72
"Supplementary Figure SF7",72
"S4 Figure",71
"Tables 1, S2",71
"Figures 1, 2 and Table 1",71
"Figures 1, 2, S2 and Tables S1 and S2",70
"Figure 3 and Supplementary Table 6",70
"Figure 2, Tables 1 and 2",70
"Figures 3 and 6",70
"Supplementary Figure S10",70
"Table S2 and Figure 2",70
"Data File S6",70
"Figures 2, 3 and S4",69
"Table 2, Figures 2 and 3.",69
"Supplemental Figure 1",69
"S3 Table",69
"Table S-1",69
"Figures 3 and S5",69
"Figure 3, Table 3",69
"Tables 2 and 4",68
"Figure 1, Table 1, S2",68
"Figures 2, 6 and Table S2",68
"Figure 7A",68
"Figures 5 and S4",68
"Figures 2 and 6",68
"Figure 3D",68
"Figures 3, 5",68
"Figures 1C and 2B",67
"Supplementary Figure 17",67
"Figure 3, Figure 4",67
"Figure 6 and Table 2",66
"Figure 1A, Text",66
"Table 2 and Supplementary Figure 5",66
Table,65
"Figures 2, S3",65
"Figure S12",65
"Figure 2 and S5",65
"Text pages 266, 267",65
"Table 1, Figures 1, 2",64
"Table I and Figure 1",64
"Supplementary Figure 19",64
"Supplementary Figure 15",63
"Table S7",63
"Figures 2 and S4",63
"Table 3 and Supplemental Table 2",62
"Table 2 and Figure 4",62
"Table 1a",62
"Author provided data",62
"Figure 1, Supplementary Figure S2, and Supplementary Table S1",61
"Table 3 and figure 5",61
"Figure 4 and Table 3",61
"Table S5, S7",61
"Figures 3, 4, and 5",60
"Figure 1, Supplementary Figure 2 and 3",60
"Supplementary Figure S3 and S4",60
"Figure 5C",60
"Text p.792",60
"Figure 2, Supplementary Table S2, Supplementary Figure S2",60
"Figures 5, 6",60
"Figure 2, 4",60
"Supplementary Figure 14",59
"Table 1 and figure 2",59
"Results page 6",59
"Figures 7, S16",59
"Text pages 273-275",59
"Table 1 and Supplementary Figure S2",59
"Table 14.2",58
"Figures 1 and 6",58
"Text page 251",58
"Figure 6C",58
"Text P. 215",57
"Table 2, Figure 8, Supplementary Figures 6-9",57
"Table S6, Figure S2",57
"Table 1, Figures 2 and 3",57
"Table 2, Figure 7, Supplementary Figure 9",57
"Supplementary Figure 8",56
"Figure 2, Supplementary Table 2",56
"Figure 3 and text page 128",56
"Figures 2,3",56
"Figure 2 and Table S3",56
"Supplementary Figure S1",56
"Figure 1 and Supplementary Table 3",56
"Table 1, S2 Data",55
"S1 Figure",55
"Text P.164",55
"Supplementary Figure 20",55
"Table 2, Figures 5 and 6",55
"Figures 1, S1",55
"Figure 3F and Table S5",54
"Figures 1, 2, Table 1",54
"Table III and Supplementary File 4",54
"Table S8",54
"Figure 3B and Table S5",54
"Figures 4, 5 and 6",54
"Figure 5 and Table 3",54
"Figure 3D and Table S5",54
"Figure S12 and Table S5",54
"Text p 2256",53
"Figure 1 and Supplementary Figure 3",53
"Text page 275",53
"Figure 3 and Table 2 and Supplementary Material Table S1",53
"Table 1 and 2",52
"Figure 1.A.B and C",52
"Figures 1 and S6",52
"Figures 5",51
