h_age	h_organism_id	h_organism_name	age_normalized	age_specified	age_minimum	age_maximum	age_unit	age_comment	index
mean age 30 +/- 7 years	9606	Homo sapiens (human)	mean age 30 +/- 7 years						2780
56.6 ± 19.3 years	9606	Homo sapiens (human)	56.6 ± 19.3 years						2781
5 tp 7 weeks	10000262	Mus musculus B10.A-H2a H2-T18a/SgSnJ	5 tp 7 weeks						2788
37 ± 12 years	9606	Homo sapiens (human)	37 ± 12 years						2870
36 ± 13 years	9606	Homo sapiens (human)	36 ± 13 years						2871
52 and 70 years	9606	Homo sapiens (human)	52 and 70 years						2934
26.7 +/- 1.0 years	9606	Homo sapiens (human)	26.7 +/- 1.0 years						2950
2, 12, or 20 months	10000067	Mus musculus C57BL/6	2, 12, or 20 months						2964
6 and 8 weeks	10001438	Mus musculus BALB/cAnN	6 and 8 weeks						2985
mean = 32.17±13.32 years	9606	Homo sapiens (human)	mean = 32.17±13.32 years						2997
mean = 73±8.53 years	9606	Homo sapiens (human)	mean = 73±8.53 years						2998
38.1 ± 14.8 years	9606	Homo sapiens (human)	38.1 ± 14.8 years						3009
42.8±11.9 years	9606	Homo sapiens (human)	42.8±11.9 years						3040
48.1±12.7 years	9606	Homo sapiens (human)	48.1±12.7 years						3044
41 and 43 years	9606	Homo sapiens (human)	41 and 43 years						3123
6 months to 14 years	9606	Homo sapiens (human)	6 months to 14 years						3197
mean of 12.2 years	9606	Homo sapiens (human)	mean of 12.2 years						3216
mean of 37.0 years	9606	Homo sapiens (human)	mean of 37.0 years						3217
6 to 8 weeks or 20 to 22 months	10000067	Mus musculus C57BL/6	6 to 8 weeks or 20 to 22 months						3230
mean age of 49 years	9606	Homo sapiens (human)	mean age of 49 years						3262
mean age of 57 years	9606	Homo sapiens (human)	mean age of 57 years						3263
7 days or 8-10 weeks	10000216	Mus musculus C57BL/6 X BALB/c	7 days or 8-10 weeks						3276
Adult (6 weeks)	10000669	Cavia porcellus Hartley	adult (6 weeks)						3283
26 and 54 years	9606	Homo sapiens (human)	26 and 54 years						3357
15 or 24 weeks	10000576	Mus musculus HLA-A*02:01 Tg	15 or 24 weeks						3364
29 years ± 6.5	9606	Homo sapiens (human)	29 years ± 6.5						3372
30 years or younger	9606	Homo sapiens (human)	30 years or younger						3386
32-66 years (mean = 50.3 year)	9606	Homo sapiens (human)	32-66 years (mean = 50.3 year)						3394
8 to 10 weeks or 21 months	10000067	Mus musculus C57BL/6	8 to 10 weeks or 21 months						3397
6 weeks to 22 months	10000067	Mus musculus C57BL/6	6 weeks to 22 months						3412
2-3 months and 18-22 months	10000067	Mus musculus C57BL/6	2-3 months and 18-22 months						3420
4 days to 5 weeks	10000067	Mus musculus C57BL/6	4 days to 5 weeks						3433
2-3 months or 18-20 months	10001383	Mus musculus Clone 4 TCR Tg	2-3 months or 18-20 months						3457
