Metric	Value
Total Strings Percentage	370.0
Unique Strings Original Percentage	16.22
Unique Strings Phrase Normalized Percentage	8.11
Single Use Original Percentage	5.41
Single Use Phrase Normalized Percentage	62.16
High Frequency Original Percentage	0.0
High Frequency Phrase Normalized Percentage	5.41
Ultra High Frequency Original Percentage	0.0
Ultra High Frequency Phrase Normalized Percentage	0.0
