index	unknown_character	context	occurrences	replace_with	remove	invalidate	allow
29	'	'Aurhors' communication', 'Authors' communication', 'Author's communication', 'Author's personal communication', 'Authors' publication', 'authors' published sequence', 'Cited reference and author's communication', 'Enzo Manufacturer's Product Sheet', 'Figure 1, author's communication.', 'Figure 4, Author's communication'	13				
30	#	'Author cited (Immudex, cat# A2160-APC)', 'Author cited (Immudex, cat# WB2132-APC)', 'author cited (immudex, cat# a2160-apC)', 'author cited (immudex, cat# wb2132-apC)', 'author cited (immudex, cat# a2160-aPc)', 'author cited (immudex, cat# wb2132-aPc)', 'author cited (Immudex, cat# a2160-apc)', 'author cited (Immudex, cat# Wb2132-apc)'	2				
34	 	'Extended Data TableÂ 1 and Extended Data Figure 6', 'Extended Data TableÂ 1 and Extended Data Figures 3, 5, and 8', 'Figure 1, Extended Data TableÂ 1, Extended Data FigureÂ 3 and PDB 6W4S', 'Figure 1, Extended Data TableÂ 1, Extended Data FigureÂ 4 and PDB 6WBV', 'Figure 3 and Extended Data TableÂ 1'	8				
37	”	'Figure 1 and Figure 1â€”figure supplement 1 and PDB 6HD8', 'Figure 1 and Figure 1â€”figure supplement 1 and PDB 6HD9', 'Figure 1 and Figure 1â€”figure supplement 1 and PDB 6HDA', 'Figure 1 and Figure 1â€”figure supplement 1 and PDB 6HDB', 'Figure 1 and Figure 1â€”figure supplement 1 and PDB 6HDC', 'Figure 1 and Figure 1â€”figure supplement 1 and PDB 6SWR'	8				
38	^	'Figures 1, 2, Supplementary Figures 1, 2, Table 1, Supplementary Table 1 and PDB ^EAY (v1.0)', 'Figures 1, 2, Supplementary Figures 1, 2, table 1, Supplementary table 1 and PDb ^eAY (v1.0)', 'Figures 1, 2, Supplementary Figures 1, 2, Table 1, Supplementary Table 1 and PDB ^EaY (v1.0)', 'Figures 1, 2, supplementary Figures 1, 2, Table 1, supplementary Table 1 and PDB ^EAY (v1.0)'	1				
39	!	'Figures 1, 3, 4, 5, Sup. Tables 1, 2, Figures I, !!, III', 'figures 1, 3, 4, 5, Sup. tables 1, 2, figures i, !!, iii', 'figures 1, 3, 4, 5, sup. tables 1, 2, figures I, !!, III', 'figures 1, 3, 4, 5, sup. tables 1, 2, figures i, !!, iii', 'Figures 1, 3, 4, 5, sup. Tables 1, 2, Figures I, !!, III', 'Figures 1, 3, 4, 5, Sup. Tables 1, 2, Figures i, !!, iii'	1				
43	“	'Reference cited: J. Immunol. 177: 450â€“458.', 'reference cited: J. immunol. 177: 450â€“458.', 'reference cited: J. Immunol. 177: 450â€“458', 'Reference cited: J. immunol. 177: 450â€“458', 'reference cited: j. Immunol. 177: 450â€“458', 'Reference cited: j. immunol. 177: 450â€“458', 'reference cited: j. immunol. 177: 450â€“458'	1				
