Metric	Value
Total Strings	37
Unique Strings Original	6
Unique Strings Phrase Normalized	3
Single Use Original	2
Single Use Phrase Normalized	23
High Frequency Original	0
High Frequency Phrase Normalized	2
Ultra High Frequency Original	0
Ultra High Frequency Phrase Normalized	0
