phase	minimum	maximum	median	mean	standard_deviation	variance
character	0	35	12.0	12.444057027123625	5.29199208432585	28.00518022056745
word	0	21	0.0	0.15384615384615385	0.6976220053955692	0.4866764624121355
phrase	0	100	49.0	47.73421230292681	10.260370992445942	105.27521290262612
