location
3
149
484
7509375
 Figure 1B
 Figure 2B
 Table 1 and Figure 1
1MFD
1RZJ
1RZK
2022_MSresults_AUT1533.mzid (download from PRIDEdb: PXD035499)
"2022_MSresults_AUT1533.mzid (download from PRIDEdb: PXD035499), Table 2"
2022_MSresults_susscrofa.mzid (download from PRIDEdb: PXD035499)
2PCP
2VH5
3(I)
3210Figure 4
5OCY
5U1F
6CUF and 6CUE
6LPB
6MAM
6PDB FAX
7BEI
7BEL
7LAA
7LAB
7REW
7U8J
8AV9
8DF5
Abbreviation text page 875
Abbreviations
Abbreviations and Reference cited
Abbreviations page 43
Abbreviations used
Absract
Abstarct
Abstract
Abstract & p. 664
Abstract (page 1306)
Abstract (page 176)
Abstract (page 201)
Abstract (page 265)
Abstract and cited reference
Abstract and Materials and Methods
Abstract and PDB 3GJF and 3HAE
Abstract and Reference
Abstract and Results (pg. 3031)
Abstract and Table 2
Abstract and Table I
Abstract and Table II
Abstract and Text p. 52
Abstract figure
"Abstract, discussion page 1914"
"abstract, page 1558"
"Abstract, Scheme 1"
"Abstract, Table 1"
"Abstract, Table 2"
"Abstract, Table 2, Table 1"
"Abstract, Table 3"
"Abstract, Text page 379"
"Abstract, text page 4"
Accession 23508148
Accession no. P04403 cited
Accession no. P07130 cited
Accession number: M62321
Accession U17066
Accession U17066 and Table 3
Accession U17066 and Table 4
Accession: P26664
additional file 1
Additional file 2
Additional File 3
Additional file 4
"Additional File 4, Tables 1 and 2"
"Additional File 4, Tables 1 and 2 and Figure 3"
Additional file 4: Table S4
Additional file 5
Additional file 6
Additional file 9
Additional file Table S1
Additional Files 2 and 9
Additional Table 4
Additional Table 5
Aetiology text page 925
AMA1_007
Animals and Methods
another 10/1/23 test
Appendix 1
Appendix A
"Appendix A and Figure 4, Appendix A"
Appendix B
Appendix Figure S2
"Appendix Figure S2, Figure 5, 2, Table EV1"
Appendix Table S1
AQP4 (111-130)
AQP4 (121-140)
AQP4 (131-150)
AQP4 (141-160)
AQP4 (151-170)
AQP4 (161-180)
AQP4 (171-190)
AQP4 (181-200)
AQP4 (191-210)
AQP4 (201-220)
Argiro et al. (2000). Vaccine 18:2033-8 [PMID: 10706966]
Aurhors' communication
Author  provided
Author cited (Biozol)
"Author cited (Immudex, cat# A2160-APC)"
"Author cited (Immudex, cat# WB2132-APC)"
Author cited GenBank ID
Author cited UniProt ID
Author communcation
Author communication
Author communication.
Author Contact
Author corrected sequence
Author Correspondence
"Author Correspondence, Figure 3, 4"
Author designated Genebank accession number: NC_045512
Author e-mail
Author identifed Uniprot Q12955-3
Author provided
Author provided accession
Author provided accession No. X74735 and cited reference
Author provided accession number
Author provided accession number in cited reference
Author provided and Figure S5
Author provided and Supplemental Figures
Author provided data
"Author provided data, figure 1A"
Author provided GenBank accession GU372973
Author provided GenBank ID JX112656.1
Author provided ID
author provided identfier
Author provided identifier
Author provided identifier Materials and Methods
Author provided protein identifier
Author provided reference
Author provided sequence
"Author provided sequence, Figures 4, 6"
Author provided Uniprot ID P31948
"Author provided, Figure 1, Table 2"
"Author provided, Figure 3"
"Author provided, figures 1, 2, 3 and table 1"
"Author provided, Figures 2, 3, Tables 1, 2, Supplemental Tables 5, 6"
"Author provided, Figures 2, 3, Tables 1, 2, Supplemental Tables 5, 6, and 7"
"author provided, Tables 1 and 2, Figures 2 and 3"
Author provided.
Author published sequence
Author reference
Author specified Genbank ID
author submission
Author submitted
Author-provided
Authors communication
Authors' communication
Author's communication
Author's personal communication
Authors provided
Authors' publication
authors' published sequence
AY278488
Background
Baer et al. Nature 1984;310:207.
"Behar, et al., J. Immunol. 175: 3268-3272"
BMC Vet Res 2006;2:19.
Booth et al (1988)
Booth et al. J Immunol 1988;140:597-601.
Bundle et al (1989)
Bundle et al (1989) Figure 1
CALRLong36
"Cao et al, J Gen Virol 2002, 83, 3023."
Case report
Case Report p 191
"Case report, page 682"
Case Reports
Case reports and Methods
Cassatro et al. (2005) Infect Immun 73:8079
Chang et al. J Biochem 1995;117:863-868.
Charbit et al EMBO J (1986)
Charbit et al.  J Immunol 1987;139:1658.
Chart 1
Chart 1 and Experimental Procedures
Chart 3
CHEBI Directory
Chemicals
Ching et al (1992)
Chua et al 1990 PMID 2341191
"Chua-Intra, et al. Infect. Immun. 1998."
Citation
Cite reference
Cited accession
Cited accession P02789.2
Cited commercial product
Cited GenBank Accession
Cited GenBank accession number
Cited product
Cited refence
Cited referce
Cited referece
Cited referecne
Cited Referenc
Cited Reference
Cited reference [PMID: 16472860]
Cited reference [PMID: 17728232]
Cited reference [PMID: 24027321] and PDB 4M5Z
Cited reference [PMID: 25723165] and PDB 3X2D
Cited reference [PMID: 26311869]
Cited reference [PMID: 27066709]
Cited reference [PMID: 29736037]
Cited reference [PMID: 29938870]
Cited reference [PMID: 30029854]
Cited reference [PMID: 31100268] and PDB 6OC3
Cited reference [PMID: 32023489] and PDB 6OZ9
Cited reference [PMID: 32245784]
Cited reference [PMID: 32454512]
cited reference [PMID: 35080970]
Cited reference and Abstract
Cited reference and author's communication
"Cited reference and B. Kim, personal communication"
Cited Reference and Figure 1
Cited reference and Figure 2
Cited Reference and NCBI
Cited reference and PDB 3CSY
Cited reference and PDB 5FHC
Cited reference and PDB 5KEL
Cited reference and PDB 5KEN
Cited reference and PDB 6DZL
Cited reference and PDB 6EAY
Cited Reference and Results page 2760.
Cited reference and Supplemental Methods
Cited Reference and Supplemental Table S1
Cited reference and table 1
Cited reference and Table 2
Cited Reference and Table I
Cited Reference and Table II
Cited Reference and Table III
Cited reference and Table S3
Cited reference and text p. 11782
Cited reference text page 132
"Cited Reference, Figure 1"
"Cited reference, Supplemental Table 8"
"Cited Reference, Supplementary Fig. 2"
"Cited Reference, Table 1"
"Cited reference, Text page 208"
Cited reference.
Cited Reference:  https://www.immunitrack.com/free-coronavirus-report-for-download/
Cited reference1
Cited reference219
Cited reference2201
Cited referenceP
Cited References
Cited refernce
cited Swiss-Prot
Clin Exp Immunol 1995;102:53-57.
Clin Exp Immunol 1996;105:231-237.
Clinical case presentation
Clinical studies page 927
Clinical studies text page 927
commercial data sheet
Commercial Product Sheet
Commercial Source
Concise Methods
Consise Methods
Corespondency from authors
Counsell et al 1996 PMID 8939151
Dako Datasheet
Data File S1
Data File S1 and Table S3
"Data File S1, Figure 3"
"Data File S1, Figure 4"
"Data File S1, Figure 5"
"Data File S1, Figure 6"
"Data File S1, Figures 4 and 6"
"Data File S1, Supplemental Figure 2"
"Data File S1, Supplemental Figure 3"
"Data File S1, Supplemental Figure S5"
"Data File S1, Table 2"
"Data File S1, Table 2, Figure 3"
Data file S3
"Data file S3, Figure S3"
Data file S5
Data file S6
Data not shown
"Data not shown, Figure 3C"
"Data not shown, page 1278."
"Data not shown, page 293 and Figure 6."
"Data not shown, page 293."
"Data not shown, results page 2-3"
"Data not shown, Results page 52"
"Data not shown, text page 1060."
"Data not shown, text page 2562."
Data not shown; page 1387.
Data S1
"Data S1, Data S2"
"Data S1, Data S2, Data S3, Data S4"
"Data S1, Data S2, Data S3, Data S4, Data S5"
"Data S1, Data S2, Data S3, Data S4, Data S5, Data S6"
"Data S1, Data S2, Data S3, Data S4, Data S6"
"Data S1, Data S2, Data S3, Data S5, Data S6"
"Data S1, Data S2, Data S3, Data S6"
"Data S1, Data S2, Data S4, Data S5"
"Data S1, Data S2, Data S4, Data S5, Data S6"
"Data S1, Data S2, Data S4, Data S6"
"Data S1, Data S2, Data S5, Data S6"
"Data S1, Data S3"
"Data S1, Data S3, Data S4"
"Data S1, Data S3, Data S4, Data S5"
"Data S1, Data S3, Data S4, Data S5, Data S6"
"Data S1, Data S3, Data S4, Data S6"
"Data S1, Data S3, Data S5"
"Data S1, Data S3, Data S5, Data S6"
"Data S1, Data S3, Data S6"
"Data S1, Data S4"
"Data S1, Data S4, Data S5"
"Data S1, Data S4, Data S5, Data S6"
"Data S1, Data S4, Data S6"
"Data S1, Data S5"
"Data S1, Data S5, Data S6"
"Data S1, Data S6"
"Data S1, S2"
Data S2
"Data S2, Data S3"
"Data S2, Data S3, Data S4"
"Data S2, Data S3, Data S4, Data S5"
"Data S2, Data S3, Data S4, Data S5, Data S6"
"Data S2, Data S3, Data S4, Data S6"
"Data S2, Data S3, Data S5, Data S6"
"Data S2, Data S4"
"Data S2, Data S4, Data S5"
"Data S2, Data S4, Data S5, Data S6"
"Data S2, Data S4, Data S6"
"Data S2, Data S5"
"Data S2, Data S5, Data S6"
"Data S2, Data S6"
Data S3
"Data S3, Data S4"
"Data S3, Data S4, Data S5"
"Data S3, Data S4, Data S5, Data S6"
"Data S3, Data S4, Data S6"
"Data S3, Data S5"
"Data S3, Data S5, Data S6"
"Data S3, Data S6"
"Data S3, S4"
Data S4
"Data S4 and Figures 5, S10, S11"
"Data S4, Data S5"
"Data S4, Data S5, Data S6"
"Data S4, Data S6"
Data S5
"Data S5, Data S6"
"Data S5, Table 4 and PDB 7THT"
Data S6
Data S6 and Figure S8
Data S7 and Figure S8
Data set S1 and S11
Data set S1 and S11 and Figures 1 and 2
"Data set S1 and S11 and Figures 1, 2, 3, and 4"
Data Sheet 2
DataS3
DataS6
Dataset 1
Dataset 8
Dataset EV1
Dataset S01
Dataset S02
Dataset S03
Dataset S1
"DataSet S1, Figure 4"
"DataSet S1, Figures 2, S1"
"DataSet S1, Figures 3, 4, S2"
"DataSet S1, Figures S1"
"Dataset S1, S2"
"Dataset S1, S2 and Figures 1, S1"
Dataset S3
"Dataset S3, S4"
Dataset S4
"Dataset S5, Figure S1"
Dataset S8
DatasetS1
DatasetS2
"Davignon et al., J Virol (1996). 70:4"
Deduced from amino acid locations in abstract
Deduced from cited accession
Deduced from Table S2
del Portillo et al (1987)
Del Portillo et al (1991)
Demotz et al (1989)
Derived from author provided identifier
Derived from author-provided identifier
Derived from Figure 11 information
Derived from protein ID
Design and Methods
"Deubel et al, 1986 Virology 155, 365-377"
Dhillon et al. (1992) J Allergy Clin Immunol 90; 42-51. [PMID: 1378459]
Diagnostics and Clinical studies text page 927
Direct Communication
Direct Communication with author
Discussion
"Discussion p 17406, Figure 6"
Discussion p. 389
Discussion page 1914
Discussion page 357
Discussion Page 8
Discussion Text P. 228
"Discussion, page 809"
Documented reference
"Dolan et al. (1998) J Virol 72:2010, Figure 3"
"Dolan et al. (1998) J Virol 72:2010, Figure 4"
DVHDGKVVSTHEQ
Eisenberg et al. J Virol 1984;49:265-268.
Electronic supplementary material
EMBO Journal 1988;7:819 - 824.
EMS Fig. 1
Enzo Manufacturer's Product Sheet
Epitope of Fab R3P1-E4 on SARS-CoV2 RBD
Epitope of scFv P12 on HCMV gB
Epitope of scFv Q5 on HCMV gB
ESM Table 1
Estrada et at 1992
eTable 4
Etlingr et al. Science 1990;249:423-25.
Experimantal Procedures
Experimental
Experimental (page 92)
Experimental and Results p. 474
Experimental Methods
Experimental part
Experimental procedure
Experimental procedures
Experimental Procedures and Figure 1
Experimental procedures and PDB 3AQI9
Experimental Procedures and PDB 4XC1 and 4XC3
Experimental procedures and Standard referenced sequence
Experimental Procedures and Table S1
"Experimental Procedures, page 180"
Experimental section
Experimental Section and PDB 6MJ6
Experimental system and Table VI
Experimentals
Experrimental procedures
Extanded Table 1
Extanded Table 2
Extanded Table 3
Extanded Table 5
Extended Data 10
Extended Data 3
"Extended Data 3, Extended Data 7"
Extended Data 5
Extended Data 6
Extended Data 7
Extended Data 8
Extended Data Fig. 3
Extended Data Fig. 4
Extended Data Fig. 4b
"Extended Data Fig. 5b and Extended Data Tables 1, 2 and PDB 4Y7M"
Extended Data Figure
Extended Data Figure  2
Extended Data Figure 1
Extended Data Figure 1 and author provided
Extended Data Figure 1 and Supplementary Table 1
"Extended Data Figure 1, Extended Data Table 1 and PDB 4CAD"
"Extended Data Figure 1, Extended Data Table 1 and PDB 4TNV"
"Extended Data Figure 1, Extended Data Table 1 and PDB 4TNW"
"Extended Data Figure 1, Extended Data Table 1 and PDB 7XW5"
Extended Data Figure 10
Extended Data Figure 10 and PDB 7UNY
Extended Data Figure 10 and Supplementary Figures 3 and 4
Extended Data Figure 12
"Extended Data Figure 1a, d"
Extended Data Figure 2
Extended Data Figure 2 and 7
Extended Data Figure 2 and Supplementary Table 2
Extended Data Figure 2 and Table S3
"Extended Data Figure 2, Extended Data Table 1 and PDB 5I6X"
"Extended Data Figure 2, Extended Data Table 1 and PDB 5I6Z"
"Extended Data Figure 2, Extended Data Table 1 and PDB 5I73"
"Extended Data Figure 2, Extended Data Table 1 and PDB 6C5W"
"Extended Data Figure 2, Extended Data Table 1 and PDB 6OS9"
"Extended Data Figure 2, Extended Data Table 2 and PDB 5I74"
"Extended Data Figure 2, Extended Data Table 2 and PDB 5I75"
Extended Data Figure 3
Extended Data Figure 3 and  Supplementary Figure 2
Extended Data Figure 3 and 4
Extended Data Figure 3 and Extended Data Table 4
Extended Data Figure 3 and Figure 2
Extended Data Figure 3 and Supplementary Table 2
"Extended Data Figure 3, Exteneded Data Table 1 and PDB 6X3S"
"Extended Data Figure 3, Exteneded Data Table 1 and PDB 6X3T"
"Extended Data Figure 3, Exteneded Data Table 1 and PDB 6X3V"
"Extended Data Figure 3, Exteneded Data Table 1 and PDB 6X3W"
"Extended Data Figure 3, Exteneded Data Table 2 and PDB 6X3X"
"Extended Data Figure 3, Exteneded Data Table 2 and PDB 6X3Z"
"Extended Data Figure 3, Exteneded Data Table 2 and PDB 6X40"
"Extended Data Figure 3, Supplementary Figure 7, Supplementary Table 2 and PBD 7RRG"
Extended Data Figure 4
Extended Data Figure 4 and Table S3
"Extended Data Figure 4, Extended Data Table 1 and PDB 4NQD"
"Extended Data Figure 4, Extended Data Table 1 and PDB 6QPG"
Extended Data Figure 5
Extended Data Figure 5 and Extended Data Table 2
Extended Data Figure 5 and Extended Data Table 4
Extended Data Figure 5 and Supplementary Table 3
Extended Data Figure 5d
Extended Data Figure 6
Extended Data Figure 6 and Table S3
"Extended Data Figure 6, Supplementary Table 2, Extended Data Table 1 and PDB 7K8V"
Extended Data Figure 7
Extended Data Figure 7 and Supplementary Figure 9
Extended Data Figure 7 and Supplementary Table 5
Extended Data Figure 7 and Supplementary Tables 4 and 5
"Extended Data Figure 7, Extended Data Table 1 and PDB 7WSI"
Extended Data Figure 8
Extended Data Figure 8 and Supplementary Table 5
Extended Data Figure 8 and Supplementary Table 8 and 10
"Extended Data Figure 8,  supplementary table 4."
"Extended Data Figure 8, Extended Data Table 1 and PDB 6RNK"
Extended Data Figure 8c
Extended Data Figure 9
"Extended Data Figures 1 , 2, Supplementary Table 1 and PDB 7K8M"
Extended Data Figures 1 and 2
Extended Data Figures 1 and 2 and Supplementary Table 2
"Extended data Figures 1, 2, Extended data Table 1 and PDB 6U1N"
Extended Data Figures 2 and 3
Extended Data Figures 2 and 5
Extended Data Figures 2 and 6
"Extended Data Figures 2, 3"
"Extended Data Figures 2, 3, 6, Extended Data Table 1 and PDB 6UKJ"
"Extended Data Figures 2, 3, Exteneded Data Table 2 and PDB 6X3U"
"Extended Data Figures 2, 3, Supplemental Figure 3, Extended Data Table 1 and PDB 6DDE"
"Extended Data Figures 2, 8"
Extended Data Figures 3 and 5
Extended Data Figures 3 and 7
"Extended Data Figures 3, 4, 5"
"Extended Data Figures 3, 5, and 6"
"Extended Data Figures 3, 5, Supplementary Figure 7, Supplementary Table 2 and PDB 7RRG"
"Extended Data Figures 4, 5, Supplementary Table 2, Extended Data Table 1 and PDB 7K8U"
"Extended Data Figures 4, 5, Supplementary Table 2, Extended Data Table 1 and PDB 7K8W"
Extended data Figures 5 and 6
Extended Data Figures 6
"Extended Data Figures 6 and 10, and Table S3"
"Extended Data Figures 6, 7, 8, Supplementary Figure 1, Table 2 and PDB 6ZDG"
"Extended Data Figures 6, 7, 8, Supplementary Figure 1, Table 2 and PDB 6ZFO"
"Extended Data Figures 6, 8"
Extended Data Figures 7 and 8
"Extended Data Figures 7, 8 and Supplementary Table 8 and 10"
Extended Data Table 1
"Extended Data Table 1, Extended Data Figure 2 and PDB 5B3J"
"Extended Data Table 1, Extended Data Figure 5, 6 and PDB 4MQT"
"Extended Data Table 1, Extended Data Figures 1, 2 and PDB 6DZW"
Extended Data Table 2
Extended Data Table 2 and PDB 4U0R
Extended Data Table 2 and PDB 4U1G
Extended Data Table 2 and PDB 4Y7M
"Extended Data Table 2, Extended Data Figure 6"
Extended Data Table 3
Extended Data Table 4
Extended Data TableåÊ1 and Extended Data Figure 6
"Extended Data TableåÊ1 and Extended Data Figures 3, 5, and 8"
"Extended Data Tables 2, 4"
"Extended Data Tables 2, 4, Extended Data Figure 6"
Extended Data Tables 4 and 5
Extended experimental procedures
"Extended Figure 3, Extended Table 1 and PDB 4YBQ"
fake
Fgiure 4A
Fgiure 9
"Fgiures 1, 2, 3A and Table 2"
"Fgiures 1, 2, 3A, and Table 2"
"Fgiures 1, 2, and 3A"
Fgure 1
Fgure 3
Fgure 4
Fig 1
Fig 1 and 2
Fig 1 and GenBank record
"Fig 1, Authors communication"
"Fig 1, Fig 2"
"Fig 1, M&M"
"Fig 1, Received from author"
"Fig 1, ref 21 (PMID: 6088507)"
"Fig 1,Fig 3B, Fig 3C"
Fig 1-3
Fig 1a
"Fig 1A,B"
Fig 1B
Fig 2
Fig 2 A
Fig 2 B
"Fig 2 B, Fig 3 A, Fig 4 A"
"Fig 2 B, Fig 3 B, Fig 4 B"
"Fig 2 B, Fig 4 A"
"Fig 2, Fig 7A"
"Fig 2, Fig S1"
"Fig 2, Page 5304."
Fig 2A
"Fig 2A,B,C, Fig 6."
Fig 2B
"Fig 2D, S4 Fig"
Fig 3
Fig 3 A
Fig 3 B
"Fig 3, 4"
"Fig 3, Extended Data 6"
"Fig 3, Extended Data 8"
"Fig 3, Swiss Prot database"
Fig 3-5
Fig 3A
Fig 3B
"Fig 3C, Fig 3D"
Fig 4
Fig 4 A
Fig 4 B
"Fig 4, Extended Data 10"
Fig 4a
Fig 4B
Fig 4D
Fig 5
Fig 6
Fig 6 A
"Fig 6 A, Fig 6 B"
"Fig 6, Pubmed entry."
"Fig 6, Table 6"
Fig 6c
Fig 7
Fig 7B
Fig 8
Fig 8B
Fig 8C
Fig 8C and 6
Fig 8D
Fig S1 and PDB 3SOB
Fig. 1
Fig. 1 B
"FIG. 1 B, FIG. 3 B"
Fig. 1 C
"Fig. 1 C, Fig. 2 B"
"Fig. 1, Fig. 3"
"FIG. 1, TABLE 2"
Fig. 2
"Fig. 2 A, Fig. 2 B"
FIG. 2 B
"Fig. 2, Fig. 4"
"FIG. 2, FIG. 5"
"Fig. 2a, Extended Data Fig. 6a and Supplementary Data 1"
Fig. 3
"Fig. 3, Fig. 4"
"Fig. 3, Fig. 5 A, Fig. 8 A"
Fig. 3a-c
Fig. 3d
Fig. 4
"Fig. 4, Fig. 5B"
"Fig. 4, Fig. 6"
"Fig. 4, Fig. 8B, C"
"Fig. 4, Table 2"
Fig. 4A
Fig. 4B
Fig. 5
Fig. 5 B
"Fig. 5, Fig. 7"
Fig. 5. Fig. 6
"Fig. 5A,B,D"
Fig. 5B
Fig. 5C
Fig. 6
Fig. 6 A
Fig. 6 B
Fig. 6 C
Fig. 6a
Fig. 6b
Fig. 6c
Fig. 7
Fig. 8
Fig. 8 A
Fig. 8 B
Fig. 8 C
Fig. S1
Fig.1
"Fig.1, 2, 3, 4"
"Fig.1, 2, 3, 4, 8"
"Fig.1, Fig. 2"
"Fig.1, Fig.2"
"Fig.1, Fig.2 a"
Fig.10
"Fig.1-4,Fig. 7"
Fig.2 b
"Fig.2, Fig.3B, Table 2"
"Fig.2, Fig.3B, Table 2, Fig.4B"
"Fig.2,Fig.4, TABLE IV, TABLE VI, TABLE VII"
"Fig.2A, 2B"
"Fig.2A,Fig1"
Fig.2B
Fig.3
"Fig.3, Fig.5, Fig.6,TABLE IV, TABLE VI, TABLE VII"
Fig.3.
"Fig.3A, 3B"
Fig.3B
"Fig.3B, Fig.4C, Table2"
"Fig.3B, Table 2"
"Fig.4A,4B"
Fig.5
Fig.7 a
Fig.7 b
Fig.8
Fig.9a
Fig.9b
Fig1
"Figees 1, 2, 3; Table 1"
FigFigure
Figire 1
"Figire 1, Extended Data Figures 2 and 5"
"Figires 1, 2, 3, S2, Table 1 and PDB 5JWE"
Figrue 2
Figrue 2A
Figrue 3
"Figrue 3, Tables 3 and 4"
Figrue 3B
Figrue 4
Figrue 7
"Figrues 2 and 3, Table 1"
Figrues 2A and 3A
Figrues 2A and 3B
"Figrues 4 and 5, Table 2"
Figrure 2
Figue 1
Figue 2
"Figue 2, Supplementary Figures 1 and 2 and Supplementary Table 1"
Figue 3
Figuer 1C
Figuer 2
Figuer 3
"Figues 2, S1"
Figues 5 and S5
Figues 6 and S9
"Figues S4, S5, Table S2 and PDB 6N4Q"
Figuire 4
Figur 7B
Figur S5
Figure
Figure  1
Figure  1 and Table 1
Figure  1 and Table S2
Figure  1 and Text P. 241
"Figure  1, 4 and Table 1"
"Figure  1, Table 1 and PDB 1QO3"
"Figure  1, Tables 1 and 4"
"Figure  1, Tables 2, 3, and 4"
Figure  2
Figure  2 and Table 2
Figure  2 and Text p. 2293
Figure  2 and text page 12124
"Figure  2, 4 and 5"
"Figure  2, 4, and 5"
"Figure  2, Supplementary Figure 2, Supplementary Table 1 and PDB 7D4B"
"Figure  2, Table 1, Supplementary Data 4 and 6 and Text page 6"
Figure  2A
Figure  3
Figure  3 and 6
Figure  3 and Text p. 2296
Figure  3A
Figure  3B
Figure  4
Figure  4- Figure Supplement 1
"Figure  4, Figure 5"
Figure  4D
Figure  5
Figure  5 and Supplementary Figure 7
Figure  5D
Figure  6
Figure  6 and Table S3
Figure  7
Figure  7H
Figure  8
Figure  and Table 1
Figure  S1
Figure  S1F
Figure  S2
Figure  S7
Figure  S9
"Figure , Tables 2 and 3"
Figure 0
Figure 1
Figure 1  and Supplementary Table 5
Figure 1 - figure supplement 1
Figure 1 (references)
Figure 1- 6
"Figure 1 A , B, figure 2 A"
Figure 1 a B and Figure 2C
"Figure 1 A, B"
"Figure 1 A, C"
"Figure 1 a-d, Tables 1 and 2"
Figure 1 an Text P. 901
Figure 1 and  File S2
Figure 1 and  Supplementary Figure 2
Figure 1 and  Supplementary Figure 2 and 3
Figure 1 and  Supplementary Figure S3
Figure 1 and  text
Figure 1 and 10
Figure 1 and 1R5W
Figure 1 and 1RZJ
Figure 1 and 1RZK
Figure 1 and 2
Figure 1 and 2 and Table 1
Figure 1 and 2A
Figure 1 and 3
Figure 1 and 4
Figure 1 and 4 and 5
Figure 1 and 5
Figure 1 and 5 and Tables 1 and 2
Figure 1 and 6
Figure 1 and 7
Figure 1 and AAD46493
Figure 1 and accession code provided
Figure 1 and Appendix Figure S1
Figure 1 and Author Correspondance
Figure 1 and author correspondence
Figure 1 and author corresponding
Figure 1 and Author provided
Figure 1 and Cited Accession
Figure 1 and cited reference
Figure 1 and Data File S2
Figure 1 and data not shown
Figure 1 and Data S2
Figure 1 and Dataset EV1
Figure 1 and EV 1
Figure 1 and EV1
Figure 1 and Experimental Procedures
Figure 1 and Extended Data Figure 1
Figure 1 and Extended Data Figure 2
Figure 1 and Extended Data Figure 3
Figure 1 and Extended Data Figure 4
Figure 1 and Extended Data Figure 6
Figure 1 and Extended Data Figure 7
Figure 1 and Extended Data Figures 1 and 2
"Figure 1 and Extended Data Figures 1, 2, 5, and 7"
"Figure 1 and Extended Data Figures 1, 2, and 7"
Figure 1 and Extended Data Figures 5 and 6
Figure 1 and Extended Data Table 1
Figure 1 and Extended Data Table 2
Figure 1 and Extended Figure 1
Figure 1 and Figure 1 supplements 1 and 2
Figure 1 and Figure 1‰ÛÓfigure supplement 1 and PDB 6HD8
Figure 1 and Figure 1‰ÛÓfigure supplement 1 and PDB 6HD9
Figure 1 and Figure 1‰ÛÓfigure supplement 1 and PDB 6HDA
Figure 1 and Figure 1‰ÛÓfigure supplement 1 and PDB 6HDB
Figure 1 and Figure 1‰ÛÓfigure supplement 1 and PDB 6HDC
Figure 1 and Figure 1‰ÛÓfigure supplement 1 and PDB 6SWR
Figure 1 and Figure 1-figure supplement 1
Figure 1 and Figure 2
Figure 1 and figure 3
Figure 1 and Figure S4
Figure 1 and Figure supplement 1
"Figure 1 and figure supplements 1, 2, 3, 4, Figure 4-supplement 1, Supplementary File 1 and PDB 7YZK"
Figure 1 and Materials and Methods
Figure 1 and Meyers et al (1991) Figure 5
Figure 1 and P. 305
Figure 1 and P. 69
Figure 1 and Page 27
Figure 1 and Page 45
Figure 1 and page 8186
Figure 1 and PDB 1A8J
Figure 1 and PDB 1EAP
Figure 1 and PDB 1KEN
Figure 1 and PDB 1LO0
Figure 1 and PDB 1LO2
Figure 1 and PDB 1LO3
Figure 1 and PDB 1NGP
Figure 1 and PDB 1R0A
Figure 1 and PDB 1R5V
Figure 1 and PDB 1WCB
Figure 1 and PDB 1XZ0
Figure 1 and PDB 2BMK
Figure 1 and PDB 2E27
Figure 1 and PDB 2OK0
Figure 1 and PDB 2R4R and 2R4S
Figure 1 and PDB 2Z92
Figure 1 and PDB 2Z93
Figure 1 and PDB 2ZJS
Figure 1 and PDB 3AOY
Figure 1 and PDB 3CPL
"Figure 1 and PDB 3FO0, 3FO1, 3FO2"
Figure 1 and PDB 3GML
Figure 1 and PDB 3GMM
Figure 1 and PDB 3GMN
Figure 1 and PDB 3GMO
Figure 1 and PDB 3GMP
Figure 1 and PDB 3K7U
Figure 1 and PDB 3K80
Figure 1 and PDB 3K81
Figure 1 and PDB 3N85
Figure 1 and PDB 3O8X
Figure 1 and PDB 3O9W
Figure 1 and PDB 3OGO
Figure 1 and PDB 3TA3
Figure 1 and PDB 3VI3 and 3VI4
Figure 1 and PDB 4DTG
Figure 1 and PDB 4F7C
Figure 1 and PDB 4F7E
Figure 1 and PDB 4FAB
Figure 1 and PDB 4H1L
Figure 1 and PDB 4H26
Figure 1 and PDB 4I9W
Figure 1 and PDB 4JO1
Figure 1 and PDB 5U98
Figure 1 and PDB 5WKE
Figure 1 and PDB 5WKG
Figure 1 and PDB 5WKO
Figure 1 and PDB 5WL1
Figure 1 and PDB 5ZV3
Figure 1 and PDB 6CXL
Figure 1 and PDB 6DCW
Figure 1 and PDB 6E3Y (v1.2)
Figure 1 and PDB 6GK7
Figure 1 and PDB 6GK8
Figure 1 and PDB 6MZJ (v1.1)
Figure 1 and PDB 6NIY
Figure 1 and PDB 6Y54
Figure 1 and PDB 7OW1
Figure 1 and PDB 7OXN
Figure 1 and PDB 8DS5
Figure 1 and PDB 8IL3
Figure 1 and PDB 8IVW
Figure 1 and PDB 8IVX
Figure 1 and PDB ID 4XNM
Figure 1 and Reference
Figure 1 and Reference cited
Figure 1 and Results (page 4186)
Figure 1 and Results (page 910)
Figure 1 and Results page 160
Figure 1 and results page 183
Figure 1 and results page 213
Figure 1 and Results page 552
Figure 1 and Results page 918
Figure 1 and S1
Figure 1 and S1 Figure
Figure 1 and S1 Figure and Table 2
Figure 1 and S1 File
Figure 1 and S1 source raw
Figure 1 and S1 Text
Figure 1 and S10
Figure 1 and S2
Figure 1 and S2 Table
Figure 1 and S3
Figure 1 and S4
Figure 1 and S5
Figure 1 and S6
Figure 1 and S7
Figure 1 and S9
Figure 1 and Supllementary Figure S1
Figure 1 and supplemental Figure 1
