Text p.494
"Figures 4, S12, S13, Table, S2, S3, S5 and PDB 7YVE"
Table 1 and Text p.393
Figures 1 and 5
"Figures 1, S3, S4,Table S2 and PDB 6NBF"
Figure 5 and S1 Fig.
"Figure 3, Supplementary Figures 4, 5, Supplementary Table 1 and PDB 4MVB (v1.0)"
"Figures 2, S3, S6, S7, S8, Table S1, S2 and PDB 7NS6"
PDB 4FTV
"Figures 4, 5, 7 and table 1"
