h_age	h_organism_id	h_organism_name	age_specified	age_minimum	age_maximum	age_unit	age_comment	index
6 to 8 weeks or 18 to 24 months	10000000	Mus musculus BALB/c						3560
at least 7 weeks	10000576	Mus musculus HLA-A*02:01 Tg						3586
at least 7 weeks	10000615	Mus musculus HLA-DRB1*01:01 Tg						3587
6 motnhs to 15 years	9606	Homo sapiens (human)						3600
27 +/- 6 years	9606	Homo sapiens (human)						3617
17 +/- 6 years	9606	Homo sapiens (human)						3626
55.2 +/- 20.1 years	9606	Homo sapiens (human)						3629
46.1 +/- 14.8 years	9606	Homo sapiens (human)						3631
2 years 8 months to 3 years 9 months	9544	Macaca mulatta (rhesus macaque)						3671
58.5 +/- 18.2 years	9606	Homo sapiens (human)						3673
4 and 12 weeks	10002071	Mus musculus LLO56 TCR Tg						3753
4 and 12 weeks	10002072	Mus musculus LLO118 TCR Tg						3754
10 weeks or 23 weeks	10000067	Mus musculus C57BL/6						3777
8-10 weeks or 18-22 months	10000067	Mus musculus C57BL/6						3784
embryonic day 15	10000067	Mus musculus C57BL/6						3797
18-40 years, 65 years and over.	9606	Homo sapiens (human)						3805
1 day, 7-8 days or adult	10000067	Mus musculus C57BL/6						3821
6 months to 18 years	9606	Homo sapiens (human)						3833
13 and 21 years	9606	Homo sapiens (human)						3834
22 and 68 years	9606	Homo sapiens (human)						3841
mean age 35 +/- 11 years	9606	Homo sapiens (human)						3847
41 +/- 11 years	9606	Homo sapiens (human)						3868
9 months to 81 years	9606	Homo sapiens (human)						3894
18+ years	9606	Homo sapiens (human)						3910
26.2 +/- 4.8 years	9606	Homo sapiens (human)						3916
12 +/- 2 weeks	9913	Bos taurus (bovine)						3935
6 and 12 weeks	10000632	Mus musculus NOD						3969
≥ 18 years	9606	Homo sapiens (human)						3987
neonates (3 or 7 days)	10000067	Mus musculus C57BL/6						4077
neonates (3 days)	10000067	Mus musculus C57BL/6						4083
29 and 53 years	9606	Homo sapiens (human)						4094
6 yo 8 weeks	10000000	Mus musculus BALB/c						4107
6 yo 8 weeks	10000067	Mus musculus C57BL/6						4108
22 to >60 years	9606	Homo sapiens (human)						4135
12-16 weeks or 18-22 months	10000067	Mus musculus C57BL/6						4150
18 years or older	9606	Homo sapiens (human)						4165
42 and 43 years	9606	Homo sapiens (human)						4188
12 weeks - 22 months	10000067	Mus musculus C57BL/6						4197
32 or 34 years	9606	Homo sapiens (human)						4218
12 weeks to 20 months	10000067	Mus musculus C57BL/6						4225
6 weeks to 20 months	10000067	Mus musculus C57BL/6						4226
58.8 (average)	9606	Homo sapiens (human)						4252
10 weeks or older	10000632	Mus musculus NOD						4273
6 ± 2 weeks	10000067	Mus musculus C57BL/6						4318
over 5 weeks	10000067	Mus musculus C57BL/6						4332
21, 25 and 44 years	9606	Homo sapiens (human)						4339
21 and 44 years	9606	Homo sapiens (human)						4349
16 and 44 years	9606	Homo sapiens (human)						4351
38 and 48 years	9606	Homo sapiens (human)						4353
38 and 44 years	9606	Homo sapiens (human)						4354
mean age of 32.2 years with a range from 18 to 49 years	9606	Homo sapiens (human)						4408
58.8 ± 17.4	9606	Homo sapiens (human)						4439
3 months- 17 years	9606	Homo sapiens (human)						4452
1 day to 40 years	9606	Homo sapiens (human)						4528
over 12 weeks	10000632	Mus musculus NOD						4652
60+ years	9606	Homo sapiens (human)						4660
7 months to 44 years	9606	Homo sapiens (human)						4668
4-18+ years	9606	Homo sapiens (human)						4773
55 years (mean)	9606	Homo sapiens (human)						4777
14 and younger	9606	Homo sapiens (human)						4833
more than 15 years	9606	Homo sapiens (human)						4850
2-day to 6-week old	10000000	Mus musculus BALB/c						4864
6-24 mo of age	9606	Homo sapiens (human)						4870
56.3 +/- 12.8 years	9606	Homo sapiens (human)						4888
2 to >20 years	9606	Homo sapiens (human)						4895
3 months to 7 years	9606	Homo sapiens (human)						4959
up to 12 weeks old	10000047	Mus musculus C57BL/10						4965
younger than 35 years	9606	Homo sapiens (human)						4969
children <5 years old	9606	Homo sapiens (human)						4988
8 weeks or 12 months	10000000	Mus musculus BALB/c						5005
2 and 64 years	9606	Homo sapiens (human)						5027
16 weeks-40 years	9606	Homo sapiens (human)						5034
35.5 +/- 12.8 years	9606	Homo sapiens (human)						5085
65 and 74 years old	9606	Homo sapiens (human)						5105
up to 12 weeks old	10000263	Mus musculus B10.BR						5120
up to 12 weeks old	10090	Mus musculus (mouse)						5125
2 months to 14 years	9606	Homo sapiens (human)						5141
adult (pregnant)	9606	Homo sapiens (human)						5200
6 months to 3 years	9606	Homo sapiens (human)						5214
birth - 5 years	9606	Homo sapiens (human)						5223
neonates (infected mothers or pm)	9606	Homo sapiens (human)						5228
adult (18-49)	9606	Homo sapiens (human)						5260
39 +/- 2.4 years	9606	Homo sapiens (human)						5316
child (5-11)	9606	Homo sapiens (human)						5318
6 months to 53 years	9606	Homo sapiens (human)						5320
average age of 37 years	9606	Homo sapiens (human)						5321
40.0±13.7 years	9606	Homo sapiens (human)						5365
14.4±3.8  years	9606	Homo sapiens (human)						5366
39.88 ± 10.13	9606	Homo sapiens (human)						5372
39.18 ± 6.77	9606	Homo sapiens (human)						5377
27.4 ± 16.2 years	9606	Homo sapiens (human)						5392
8 mo to 35 years	9606	Homo sapiens (human)						5421
7 months to 14 years	9606	Homo sapiens (human)						5425
14 +/- 3 years	10000195	Capra hircus Saanen						5446
>/= 18 years	9606	Homo sapiens (human)						5448
62.8 ± 10 years	9606	Homo sapiens (human)						5452
2 months-12 years	9606	Homo sapiens (human)						5453
69 ± 15 years	9606	Homo sapiens (human)						5464
60 ± 15 years	9606	Homo sapiens (human)						5465
37 ± 14 years	9606	Homo sapiens (human)						5466
35 years mean age	9606	Homo sapiens (human)						5468
62 ± 12 years	9606	Homo sapiens (human)						5475
55 ± 12 years	9606	Homo sapiens (human)						5479
38.15 ± 6.5	9606	Homo sapiens (human)						5483
14.4±3.8 years	9606	Homo sapiens (human)						5485
39 ± 15	9606	Homo sapiens (human)						5499
mean age = 41.7 ± 15.1 years	9606	Homo sapiens (human)						5504
mean age = 39.8 ± 13.3 years	9606	Homo sapiens (human)						5511
33.7±4.6 years	9606	Homo sapiens (human)						5513
42.3 ± 16.4 years	9606	Homo sapiens (human)						5519
33.4±6 years	9606	Homo sapiens (human)						5521
6 months - 47 years	9606	Homo sapiens (human)						5522
35.5±8.1 years	9606	Homo sapiens (human)						5527
mean age of 39.9 years	9606	Homo sapiens (human)						5543
8.5 +/- 3.3 years	9606	Homo sapiens (human)						5556
18 +/- 11 years	9606	Homo sapiens (human)						5563
mean age = 58±12 years	9606	Homo sapiens (human)						5606
balb/c	10000000	Mus musculus BALB/c						5624
newborns - 29 years	9606	Homo sapiens (human)						5630
1 year 5 months to 15 years 8 months	9606	Homo sapiens (human)						5632
6 days to 7  months	10000639	Mus musculus NZB						5647
3 weeks - 6 months	9796	Equus caballus (domestic horse)						5664
3 months to 11 years	9606	Homo sapiens (human)						5672
adult, >32 years	9606	Homo sapiens (human)						5697
48.6 +/- 13.5 years	9606	Homo sapiens (human)						5719
3 weeks-15 years	9606	Homo sapiens (human)						5748
mean=8.4 ± 4.3	9606	Homo sapiens (human)						5751
6 months - 9 years	9606	Homo sapiens (human)						5766
adults, >32 years	9606	Homo sapiens (human)						5784
elderly > 70 years	9606	Homo sapiens (human)						5787
3 months to 64 years	9606	Homo sapiens (human)						5790
7 months - 9 years	9606	Homo sapiens (human)						5797
3 months to 2 years	9606	Homo sapiens (human)						5799
4 months-30 years	9606	Homo sapiens (human)						5829
4 months-15 years	9606	Homo sapiens (human)						5833
21, 27 and 36 weeks	10001405	Mus musculus NZB X NZW						5914
within 1 week after birth	9606	Homo sapiens (human)						5926
40.6 +/- 11.4 years	9606	Homo sapiens (human)						5963
under 7 years	9606	Homo sapiens (human)						5967
75.9 +/- 7.5 years	9606	Homo sapiens (human)						6007
31and 73 years	9606	Homo sapiens (human)						6020
less than 20 years	9606	Homo sapiens (human)						6040
2 and 6 years	9615	Canis lupus familiaris (dogs)						6050
21 months-45 years	9606	Homo sapiens (human)						6058
52.7 +/- 10 years	9606	Homo sapiens (human)						6090
48 +/- 12 years	9606	Homo sapiens (human)						6092
66.6 +/- 7.4 years	9606	Homo sapiens (human)						6099
