as_location,occurrences
"Table V, Figure 4 and PDB 3SPV",1
"Table V, Figure 4 and PDB 5WMQ",1
"Table V, Figure 4 and PDB 5WMR",1
"Table 1, Figure 1, S1 and PDB 3H7B",1
"Table 1, Figure S6 and PDB 3IXA",1
"Table 1, figure S6 and PDB 3H9H",1
"Figures 2, 3, S2, S3 and PDB 3H9S",1
"Figure 8, Table S1 and PDB 6OJP",1
"Figures 6, 7, Table S1 and PDB 6CX5",1
"Figures 6, 7, Table S1 and PDB 6CW9",1
"Figures 4, 5, Table S1 and PDB 6C69",1
"Figures 4, 5, Table S1 and PDB 6C6A",1
"Figures 4, 5, Table S1 and PDB 6C6C",1
"Figures 4, 5, Table S1 and PDB 6C6E",1
"Figures 4, 5, Table S1 and PDB 6C5M",1
"Figures 6, 7, Table S1 and PDB 6CWB",1
"Figures 4, 5, Table S1 and PDB 6C6F",1
"Figures 4, 5, Table S1 and PDB 6C6J",1
"Figures 4, 5, Table S1 and PDB 6C6H",1
"Figures 6, 7, Table S1 and PDB 6CWE",1
"Figures 6, 7, Table S1 and PDB 6CX7",1
"Figures 6, 7, Table S1 and PDB 6CX9",1
"Figures 6, 7, Table S1 and PDB 6CXA",1
"Figures 6, 7, Table S1 and PDB 6CXE",1
"Figures 6, 7, Table S1 and PDB 6CXF",1
"Table 1, Figures 1, 3, 4, 5 and PDB 3JTS (v1.1)",1
"Table 1, Figures 1, 3, 4, 5 and PDB 3JTT (v1.1)",1
"Table 1, Figures 1, 2, 3, 4, 5, 6 and PDB 1MHE",1
"Table 1, Figures 1, 2 and PDB 3BZE",1
"Table 1, Figures 1, 2 and PDB 3BZF",1
"Figure 3, 4, 6, S2, Table III and PDB  8XES",1
"Figure 3, 4, 6, S2, S3, S5, Table III and PDB  8XFZ",1
"Figure 3, 4, 5, 6, S2, S3, S5, Table III and PDB  8XG2",1
"Figure 3, 4, 6, S2, Table III and PDB  8XKC",1
"Figure 5, S2, Table III and PDB  8XKE",1
"Figure 1, Supplementary Table 1 and PDB 6PBH",1
"Figures 5 and S4, Table S3",1
"Tables 1, 2, Figures 2, 3 and 6",1
"Tables 1, 2, Figures 2, 3, 4 and 6",1
"Tables 1, 2, Figures 2, 3, 4, 5 and 6",1
"Tables 1, 2, Figures 2, and 3",1
"Figure 2, Supplementary Figure 4, Supplementary Table 2 and PDB 3VXN",1
"Figure 2, Supplementary Figure 4, Supplementary Table 2 and PDB 3VXO",1
"Figure 2, Supplementary Figure 4, Supplementary Table 2 and PDB 3VXP",1
"Figure 2, Supplementary Figure 3, Supplementary Table 2 and PDB 3W0W (v1.2)",1
"Figure 2, Supplementary Figure 3, Supplementary Table 2 and PDB 3VXR (v1.1)",1
"Figure 2, Supplementary Figure 3, Supplementary Table 2 and PDB 3VXM (v1.1)",1
"Figure 2, Supplementary Figure 3, Supplementary Table 2 and PDB 3VXU (v1.1)",1
"Figure 2, Supplementary Figure 3, Supplementary Table 2 and PDB 3VXS (V1.1)",1
"Figure 3, Table S1 and PDB 6Q3S",1
"Figure 3, Table IV and Figure 6",1
"Figure 2, Table S1 and PDB 4HUU",1
"Figure 3, Table S1 and PDB 4HV8",1
"Figures 5, 6, S3, Tables S1, S2 and PDB 2ZSV",1
"Figures 5, 6, S3, Tables S1, S2 and PDB 2ZSW",1
"Table 1, Figures 5, S4 and PDB 4G9D",1
"Table 1 and PDB 4G8I",1
"Table 1 and PDB 4G9F (v1.2)",1
"Tables 1, S2, Figures 5, S4, S5 and PDB 4G8G (v1.4)",1
"Tables 1, 2, Figures 1, 2, 3, 4, 5, 6, 7 and PDB 2F74",1
"Tables II, III, Figures 2, 4, and PDB 1B0R",1
"Figure 5, Supplementary Table 2 and PDB 6V2O",1
"Figure 3, S3, Table S1 and PDB 5DMK",1
"Figure 2, Table S1 and PDB 7RM4",1
"Figures 7, 8, Supplementary Table S3 and PDB 6O4Y",1
"Figure 7, Supplementary Table S3 and PDB 6O51",1
"Figure 7, Supplementary Table S3 and PDB 6O4Z",1
"Tables S1, S2, Figures 5, 6, 7, S5 and PDB 3QUZ",1
"Tables S1, S2, Figures 5, 6, 7, S5 and PDB 3QUY",1
"Tables S1, S2, Figures 5, 6, 7, S5 and PDB 3QUX",1
"PDB 3MRP (v1.1)",1
"PDB 3MRJ (v1.1)",1
"PDB 3MRB (V1.1)",1
"PDB 3MRM (v1.1)",1
"PDB 3MRN (v1.1)",1
"Figure 1, Table 1 and PDB 6RPB",1
"Figure 1, Table 1 and PDB 6RPA",1
"Figure 3, Table 1 and PDB 6RP9",1
"Table 3, Figures 2 and S5, and PDB 7OW3",1
"Table 3, Figures 2, 3, and S3, and PDB 7OW6",1
"Table 3, Figures 2, 3, and S3, and PDB 7OW5",1
"Table 3, Figure S4, and PDB 7PB2",1
"Table 3, Figures 2 and S5, and PDB 7OW4",1
"Table 1, Figures 1, 2, 3, Supplementary Table S4, Figure S1 S2, and PDB 3LN4",1
"Table 1, Figures 1, 2, 3, Supplementary Table S4, Figure S1 S2, and PDB 3LN5",1
"Figures 3 nad 6",1
"Figure 3, Supplementary Table 1 and PDB 4IHO",1
"Table S1, Figures 1, 2 and PDB 3HE6",1
"Table S1, Figures 3, S4 and PDB 3HUJ",1
"Table S1, Figures 5A and S6, Figures S3, S10, S11, S13",1
"Table 2, Figures 2 and 3",1
"Figure 10 and text page 24686, Figures 5, 6 and 8",1
"Figure II",1
"Figures 4, S2, Table S1 and PDB 3MV7",1
"Figures 4, S2, Table S1 and PDB 3MV8",1
"Figures 4, S2, Table S1 and PDB 3MV9",1
"Figure 1B, 2",1
"Figures 2, 4, 7, and 8, Figure 1, Figure 2",1
"Table 2, Figure 4 and PDB 2UWE",1
"Table 2, Figure 4 and PDB 2JCC",1
"Table I, Figures 1, 2 and PDB 1LEG",1
"Table I, Figures 1, 2 and PDB 1LEK",1
"Table I, Figures 1, 2, and PDB 1MWA",1
"Table I, Figure 1 and PDB 2BNR",1
"Table I, Figure 1 and PDB 2BNQ",1
"Table 2, Figure 4 and PDB 2J8U",1
"Figure 1, Table 1 and PDB 6RSY",1
"Table 1 and PDB 6R2L",1
"Figure 6, 7, Table 1 and PDB 8I5C",1
"Figure 6, 7, Table 1 and PDB 8I5D",1
"Figure 7, Table 1 and PDB 8I5E",1
"Figures 3, 4, 5, and Supplementary Figure 1, Table 1, Supplementary Tables S3 and S5, and PDB 7Z50",1
"Figures 2 and Supplementary Figure 1, Table 1, Supplementary Tables S1 and S2, and PDB 7QHP",1
"Figures 2, 3, 4, 7",1
"Figure 6, 7",1
"Figure 6, Figure 6—figure supplement 1",1
"Figures 1, 2 and PDB 1HSB",1
"Table 1, Figures 1, 2, S2 and PDB 5E9D",1
"Table 1, Figures 1, 2, 3, 4 and PDB 4E5X",1
"Figures 2, 3, 4, and Table 1, Supplementary Materials and PDB 1ES0",1
"Tables 2, 3, Figures 3, 4 and PDB 1W0V",1
"Tables 2, 3, Figures 3, 4 and PDB 1W0W",1
"Tables 1, 2, Figures 1, 2, 3, 4 and 2BCK",1
"Figure 3, Figures 2, 3, and 6",1
"Figure 3, Figures 2 and 3",1
"Figure 7, Table II and PDB 5EO0",1
"Figure 7, Table II and PDB 5EO1",1
"Tables I, II, Figures 4, 8 and PDB 3WS6",1
"Figures 3, 4, 5 and 6",1
"Figires 1, 2, 3, S2, Table 1 and PDB 5JWE",1
"Figures 1, 2, 3, S2, Table 1 and PDB 5JWD",1
"Figures 6 and 8",1
"Figures 8 and 10",1
"Figures 3, 5, and 6 and table I",1
"Figures 3, 5, and 6 and tables I and II",1
"Figure 3 and Supplementaary Table 2",1
"Figure S5, Table S1 and PDB 3GSQ",1
"Figures 2 and 7, Table II",1
"Figures 2, 5 and 6 Table II",1
"Figures 2, 3, and 6, Table II",1
"Figures 2, 3, 4, 5 and PDB 1A1N",1
"Table 1, Figures 2, 3 and PDB 1AGE",1
"Table 1, Figures 2, 3 and PDB 1AGC",1
"Table 1, Figures 2, 3 and PDB 1AGF",1
"Table S3 and PDB 3KWW",1
"Tables S3, S4, Figure 3 and PDB 3KXF",1
"Table S2, Figure 2 and PDB 3REW",1
"Figure 2, Supplementary Figure 1, Supplementary Table I and PDB 3SKM",1
"Figure 2, Supplementary Figure 1, Supplementary Table I and PDB 3SJV",1
"Supplementary Figure 1, Supplementary Table I and PDB 3SKO",1
"Figures 2, 3, Supplementary Figures 2, 3, Table 1 and PDB 8ES8",1
"Figures 2, 3, Supplementary Figure 4, Table 1 and PDB 8ES9",1
"Figure 4, Supplementary Table 2, and PDB 8TBP",1
"Figures 3, 5, 6, Table 1, Supplementary Figure 5 and PDB 5ISZ",1
"Figures 3, 4, 6, Table 1, Supplementary Figure 5 and PDB 5JHD",1
"Figures 1, 2, 3, 5, Tables 2, 3 and PDB 1IM9",1
"Table 2, Figure 2, 3, 4, 5 and PDB 1G7Q",1
"Figures 6, S2, S3, Table S6 and PDB 7S8R",1
"Supplementary Figure 5 , Table S3 and PDB 7T2A",1
"Figure 4, Table S3 and PDB 7T2B",1
"Figure 4, Table S3 and PDB 7T2C",1
"Figure 4, Table S3 and PDB 7T2D",1
"Tables 1, 2 and Figures 1, 2, 3, 4.",1
"Figure 1, Supplementary Table S1 and PDB 6GB6 (v1.2)",1
"Figures 1, 2 and PDB 1VAC",1
"PDB 1VAD",1
"Figures 1, 2, 3 and PDB 1TMC",1
"Figures 1, 2, 3 and PDB 2CLR",1
"Figure 1, Supplemental Table 1 and PDB 2DYP",1
"Table I, Figure 6, Supplemental Figure 1 and PDB 5KD7",1
"Table I, Figure 6, Supplemental Figure 1 and PDB 5KD4",1
"Table I, Figure 6, Supplemental Figure 1 and PDB 5T7G",1
"Table 3, Figure 1 and PDB 4K7F",1
"Table 2, Figure 4 and PDB 6BIY",1
"Table 2, Figure 4 and PDB 6BIL",1
"Table 2, Figure 4 and PDB 6BIJ",1
"Figure 1, Table 3 and PDB 5EU6",1
"Figures 1, 5, Table 3 and PDB 5EU3",1
"Figures 1, 5, Table 3 and PDB 5EU4",1
"Figures 1, 5, Table 3 and PDB 5EU5",1
"Figure 1A, Table 1",1
"Figures 2, S1, S2, Tables S1, S2 and PDB 3PGD",1
"Figures 1, 2, S2, Tables S1, S2 and PDB 3PGC",1
"Figure 1, Table S1 and PDB 3PDO",1
"Figure 1B, Figure S2",1
"Figures 4, 5, and 6, Table S1, Dataset S2, and PDB 6L9L",1
"Figures 3, S1, and S2, Table S1, and PDB 6L9M",1
"Figures 3, S1, and S2, Table S1, and PDB 6L9N",1
"Figure 3, Table S1, and PDB 6L9K",1
"Figures 1, 2, 4, 5 and 6, Figure 3, Figures 7 and 8",1
"Text pp. 2044, 2046, and Figure 5A",1
"Figure 3, Supplemental Table S1, PDB 1R5V",1
"Figure 3, Supplemental Table S1, PDB 1R5W",1
"Table 1, Figures 1, 2, 3, 4, 5, 6, and PDB 1D9K",1
"Table S1 and PDB 3DX8",1
"Table S1 and PDB 3DX6",1
"Table S1 and PDB 3DX7",1
"Table 1, Figures 1, 3, 4 and PDB 1E27",1
"Tables I, II, Figures 1, 3, 4, 7 and PDB 1E28",1
"Figures 5, 6, S5 and PDB 5HGH",1
"Figures 5, 6, S5 and PDB 5HGB",1
"Figures 5, 6, S5, Table S2 and PDB 5HGD",1
"Figures 5, 6, S5, Table S2 and PDB 5HGA",1
"Figures 1, 2 , 3 and 4",1
"Figures 1, 2, 3, Table 1 and PDB 3C5J",1
"Table 1 and Figures 1, 2, 3 and PDB 1AO7",1
"Figure 4, Table S3 and PDB 3CPL",1
"Table 1, Figures 2, 3, 4 and PDB 2QRS",1
"Table 1, Figures 1, 2, 3, 4 and PDB 2QRI",1
"Table 1, Figures 1, 2, 3, 4 and PDB 2QRT",1
"Table 1, Figures 1, 2, 3 and PDB 3WEX",1
"Figure 1 and 2",1
"Text p 5262",1
"Figures 5, 6, and 7, and Tables 2 and 3",1
"Figure 5 and Table 2",1
"Table 2, Figures 5 and 6",1
"Supplementary Tables 4 and 5 and Figure S1",1
"Supplementary Tables 1, 2, Figure 1 and PDB 2CLV",1
"Table 1, Figures 1, 2, 3, 4 and PDB 1A9E",1
"Table 1, Figures 1, 2, 3, 4 and PDB 1A9B",1
"Figure 6 and Supplementary Figures 6 and 8, Supplementary Table 3, and PDB 8DNT",1
"Figure 3, Table S1 and PDB 4P57",1
"Figure 3, Table S1 and PDB 4P4K",1
"Figure 1, S1, Table S1 and PDB 4P5M",1
"Figure 1, S1, Table S1 and PDB 4P5K",1
"Figure 3, Table S1 and PDB 4P4R",1
"Figures 5, S5, Table S6 and PDB 7LGD",1
"Figures 5, S5, Table S6 and PDB 7LGT",1
"Table 2, Figure 6 and PDB 3ERY",1
"Figures 1A and 3",1
"Figures 1D, 3 and Table 2",1
"Figures 1E and 3",1
"Figure 1, Table S1 and PDB 6DFS",1
"Tables 2 and 3, Figure 2",1
"Figure 2, Supplementary Figures S2, S4",1
"Tables 2 and 3, figures 2  and 3",1
"Tables I, II, Figures 1, 2, 3, 4, 5, 6 and PDB 1BZ9",1
"Tables I, II, Figures 1, 2, 4, 5, 6 and PDB 1B0G",1
"Tables 1, 2, Figures 1, 2, 3, 4 and  PDB 1KJV",1
"Tables 1, 2, Figures 1, 2, 3, 4 and PDB 1KJM",1
"Tables 1, S2, Figures 4, 5, 6, Supplemental Figures S2, S3, S4 and PDB 2D31",1
"Figure 1, Table 1 and PDB 4LNR (v1.0)",1
"Figure 10 and text page 24686, Figures 2, 3, 5, 6 and 7",1
"Figure 10 and text page 24686, Figures 5, 6 and 7",1
"Figure 1, Table S1 and PDB 5IM7",1
"Figure 1, Table S1 and PDB 5IND",1
"Figure 1, Table S1 and PDB 5INC",1
"PDB 1JL4",1
"Figures 1, 3, 4, 5, Tables 2, 3, 4 and PDB 1DDH",1
"Figure S5, Tables S5 and PDB 6QZC",1
"Figure S5, Tables S5 and PDB 6QZD",1
"Figure S5, Tables S5 and PDB 6QZA",1
"Figures 5, S5, Tables S5 and PDB 6R0E",1
"Figures 6, S2, S3, Table S6 and PDB 7S8S",1
"Table 1, Supplementary Figure S1 and 6TRN",1
"Figure 1, Supplementary Figure S1, Table 1 and 6TRO",1
"Figures 6, S2, S3, Table S6 and PDB 7S8Q",1
"Table 1, Figure 1 and PDB 1W72 (v1.1)",1
"Figure 6, Text page 4531",1
"Table 2 (DR1301)",1
"Figure 2, Table S1 and PDB 6BJ2",1
"Figure 2, Table S1 and PDB 6BJ3",1
"Figure 6, Table S1 and PDB 6BJ8",1
"Tables 1, 2, Figure 1 and PDB 1AKJ",1
"Figures 1, 2, Supplementary Figure 2, Supplementary Table 2 and PDB 3VH8",1
"Figure 6, Table 3 and PDB 4F7M",1
"Figure 6, Table 3 and PDB 4F7P",1
"Figure 6, Table 3 and PDB 4F7T",1
"Figures 2, 4 and 5",1
"Figures 1, 2, 3, 4, 5, 6, 7 and 8",1
"Table 1, Figures 2, 3 and PDB 1AGB",1
"Table 1, Figures 2, 3 and PDB 1AGD",1
"Figures 1, 2, 3, 4, Tables 1, 2 and PDB 1BII",1
"Table I, Figures 1, 4 and PDB 1I1Y",1
"Table I, Figures 1, 4 and PDB 1I1F",1
"Tables I, II, III, Figures 1, 2, 3 and PDB 2BVP",1
"Tables I, II, III, Figures 1, 2, 3 and PDB 2BVO",1
"Tables I, II, III, Figures 1, 2, 3 and PDB 2BVQ",1
"Table III, Figure 6 and PDB 2HJK",1
"Table III, Figure 6 and PDB 2HJL",1
"Tables I, II, III, Figures 3, 4, 5, 6 and PDB 1ZVS",1
"Tables I, II, III, Figures 1, 3, 4 and 6",1
"Figure 4, Table 1, Supplementary Figure 1 and PDB 2P24",1
"Table 1, Figure 5 and PDB 5T70",1
"Table 1 and PDB 5T6X",1
"Table 1 and PDB 5T6W",1
"Figures 4, S1, Table S3 and PDB 3LKN",1
"Figures 2, 3, 4, 7, 8, Table 1 and PDB 5KSU",1
"Figures 2, 3, Table 1 and PDB 5KSV",1
"Figures 4, S1, Table S3 and PDB 3LKO",1
"Figures 4, S1, Table S3 and PDB 3LKP",1
"Figures 4, S1, Table S3 and PDB 3LKQ",1
"Figure 1, Table S1 and PDB 5V5L",1
"Figure 1, Table S1 and PDB 5V5M",1
"Figures 4, S1, Table S3 and PDB 3LKS",1
"Figures 4, S1, Table S3 and PDB 3LKR",1
"Supplementary Figure 11",1
"Figures 1, S4, S5, S6, Table S4 and PDB 4UQ2",1
"Tables S5, S6, Figures S8, S9 and PDB 4UQ3",1
"Figures 1, S3 and S7",1
"Figure S2 and S12",1
"Figure 3 and S10",1
"Figure S12",1
"Figure 6, Extended Data Table 3, and PDB 7TR4",1
"Table 1, Table 3",1
"Figure 4, Supplementary Figure 6, Table 2 and PDB 8DVG",1
"Figures 1, 3, Supplementary Figures 4, 5, Table 1, Supplementary Tables 1, 2 and PDB 7STF",1
"Supplemental Table 1S, Figures 3, 4 and PDB 1S8D",1
"Supplemental Table 1S, Figures 3, 4 and PDB 1T21",1
"Supplemental Table 1S, Figures 3, 4 and PDB 1T22",1
"Supplemental Table 1S, Figure 4 and PDB 1T20",1
"Supplemental Table 1S, Figure 4 and PDB 1T1X",1
"Supplemental Table 1S, Figure 4 and PDB 1T1Y",1
"Supplemental Table 1S, Figure 4 and PDB 1T1Z",1
"Supplemental Table 1S, Figure 4 and PDB 1T1W",1
"Table I, Figure 4 and PDB 3ECB",1
"Tables I, II, III, Figures 1, 2, 3 and PDB 3DMM",1
"Figure 2, Table S7 and PDB 3CUP",1
"Figures 4, 5, Table S8 and PDB 3MBE",1
"Figure 3, Table S1 and PDB 3D25",1
"Text p. 3891",1
"Figures 1, 3, 4, Table 1 and PDB 3BO8",1
"Figure 1, Table S1 and PDB 3P4M",1
"Figure 1, Table S1 and PDB 3P4N",1
"Figure 5, Supplemental Figure 3, Supplemental Table 1 and PDB 6Z9V",1
"Figure 5, Supplemental Figure 3,Supplemental Table 1 and PDB 6Z9X",1
"Figure 5, Supplemental Figure 3, Supplemental Table 1 and PDB 6Z9W",1
"Figures 1, 2, 3, 4, 5,Tables I, II, III and PDB 1K5N",1
"Figures 6, S3, Table SII and PDB 3E6H",1
"Tables 1 and 2, Figures 1, 2, 3, 4 and PDB 3B3I",1
"Tables 1 and 2, Figures 1, 2, 3, 4 and PDB 3B6S",1
"PDB 3HCV (v1.3)",1
"PDB 3DTX (v1.2)",1
"Figures 2, 3, 6 and 7",1
"Figure 3, Tables S1 and S3, and PDB 7JWI",1
"Figure 3, Tables S1 and S2, and PDB 7JWJ",1
"Figure 4, Supplementary Figures 5, 6, Supplementary Table 5 and PDB 7JYW",1
"Supplementary Figures 5, 6, Supplementary Table 5 and PDB 7JYX",1
"Supplementary Figures 5, 7, Supplementary Table 5 and PDB 7JYX",1
"Supplementary Figures 5, 7, Supplementary Table 5 and PDB 7JYV",1
"Figure 4, Supplementary Figures 5, 6, Supplementary Table 5 and PDB 6XQA",1
"Figure 6, Table 2 and PDB 6G3J",1
"Figure 1, Table S1 and PDB 6DFW",1
"Figure 1, Table S1 and PDB 6DFX",1
"Figure 4 and PDB 5N6B",1
"Supplementary Table 1 and PDB 4N5E (v1.0)",1
"Supplementary Table 1 and PDB 4MVB (v1.0)",1
"Supplementary Table 1 and PDB 4MS8 (v1.0)",1
"Supplementary Table 1 and PDB 4MXQ (v1.0)",1
"Supplementary Table 1 and PDB 4N0C (v1.0)",1
"Text, Supplementary Figure 2",1
"Figure 1A, Figures 2, 3, 4, 5, 6, 7, 8 and 9, Figure 10",1
"PDB 1HSA",1
"Table 2, Figures 1 and 5",1
"Tables 1, 4, Figures 1, 3",1
"Table 1 and Figures 1, 2, 3, 4 and PDB 1INQ",1
"Table 1 and Figures 1, 2, 3, 4 and PDB 1JUF",1
"Figures 4, S4, Table 5 and PDB 6MFG",1
"Table 1, Figures 2, 4 and PDB 5IB2",1
"Table 1, Figure 2 and PDB 5IB1",1
"Table 1, Figures 2, 3, 5 and PDB 5IB3",1
"Table 1, Figures 2, 3 and PDB 5IB4",1
"Table 1, Figure 2 and PDB 5IB5",1
"Figures 1, 3, 4",1
"Table 1, Supplementary Table 1 and PDB 2IAN",1
"Table 1, Supplementary Table 1, Figure 3 and PDB 2IAM",1
"Figure 1, Supplementary Table 2 and Supplementary Figure 2",1
"Figures  2, 3, 4, 5,Tables I, II, III and PDB 1JGE",1
"Figure 4 and Supplemental Table 1, Table 1",1
"Figures 4, 6 and Supplemental Table 1, Table 1, Figures 4, 6 and 7",1
"Tables 1, 2, Figures 1, 2, 3,4 and PDB 2CKB",1
"Figures 1, 2, Table 1, S3 and PDB 1KJ3",1
"Figures 1, 2, 3, Tables 1, S1, S2, S3 and PDB 1KJ2",1
"Tables 1, 3, Figure 1 and PDB 1LP9",1
"Figures 2, 3, 4, Table 3A,B and PDB 2F53",1
"Table II, Figure 2 and PDB 5GSV",1
"Table II, Figure 2 and PDB 5GSB",1
"Table II, Figures 2, 3 and PDB 5GSX",1
"Table II, Figures 2, 3, 5 and PDB 5GR7",1
"Table II, Figure 5 and PDB 5GSR",1
"Figures 1, 2 and 5",1
"Figure 2, Table S2 and PDB 5WLI",1
"Figure 3, Table S2 and PDB 5WLG",1
"Table 2, Figure 4 and PDB 5NME",1
"PDB 3TBT (v1.0)",1
"PDB 3TBV (v1.0)",1
"Table 2, Figure 4, Supplementary Figures 3, 4 and PDB 3QUK",1
"Table 2, Figure 4, Supplementary Figures 3, 4 and PDB 3QUL",1
"PDB 3TBS (v1.0)",1
"PDB 3TBW (v1.0)",1
"PDB 3TBY (v1.0)",1
"PDB 4NSK (v1.0)",1
"Figures 1 to 5, Table 2",1
"Figures 2, 3 and 5, Table 2",1
"Figure 5, Table 2",1
"Figures 1A and 3A",1
"PDB 5AD0 (v1.0)",1
"PDB 4D0C (v1.0)",1
"PDB 4D0B (v1.0)",1
"PDB 5ACZ (v1.0)",1
"Table 1 and Figure 8",1
"Figures 1, 2, 3, 4, 5, 6, S1, S2, S3, S4, S6, Tables S1, S2 and PDB 4FQX",1
"Figures 2, 5, Table 2 and PDB 5KSB",1
"Figures 2, 3, Table 2 and PDB 5KS9",1
"Figure 2, 4, Table 2 and PDB 5KSA",1
"Figures 1, 2, 3 and Table 1",1
"Table II, Figure 6 and PDB 3RWH (v1.0)",1
"Table II, Figures 1, 3 and PDB 3RWI (v1.0)",1
"Table II, Figures 3, 4, 5, 6, 7 and PDB 3RWJ (v1.0)",1
"Table II, Figures 5, 7 and PDB 3RWE (v1.0)",1
"Table II, Figures 3, 5, 6, 7 and PDB 3RWC (v1.0)",1
"Table II, Figures 3, 6 and PDB 3RWD (v1.0)",1
"Table II, Figures 5, 6, 7 and PDB 3RWF (v1.0)",1
"Table 2, Figures 4, 5, 6, 8 and PDB 3PWV",1
"Table II, Figures 5, 6 and PDB 3RWG (v1.0)",1
"Table 2, Figures 4, 5, 6, 8 and PDB 3PWU",1
"Figure S2 and text page 2327",1
"Table 1, Figures 1, 2, 3 and PDB 3RL1",1
"Table 1, Figues 1, 2, 3 and PDB 3RL2",1
"Figure 3 and PDB 3NFN (v1.1)",1
"Tables 1, 2, Figures 1, 2, 3 and PDB 3QZW (v1.2)",1
"Figures 1, 3 and Table 2",1
"Figures 1, 3, 4, 5, Supplementary Tables 1, 3 and PDB 4FTV",1
"Figures 3, S2, S3, Tables S1, S2 and PDB 8CMB",1
"Figures 3, S2, S3, Tables S1, S2 and PDB 8CMC",1
"Figures 3, S2, S3, Tables S1, S2 and PDB 8CMD",1
"Figures 3, S2, S3, Tables S1, S2 and PDB 8CME",1
"Figures 3, S2, S3, Tables S1, S2 and PDB 8CMF",1
"Figures 3, S2, S3, Tables S1, S2 and PDB 8CMG",1
"Figures 5, S5, Tables S1, S2 and PDB 8CMH",1
"Figures 5, S5, Tables S1, S2 and PDB 8CMI",1
"Figures 1, 2, 4, Supplementary Tables 1, 2  and PDB 4NO2",1
"Figures 1, 2, 4, 6, Supplementary Tables 1, 2 and PDB 4NO0",1
"Figures 1, 2, 5, Supplementary Table 1 and PDB 4NO3",1
"Figures 1, 2, 5, 6, Supplementary Table 1 and PDB 4NO5",1
"Figures 1, 2, 3, 6, Supplementary Table 1 and PDB 4NNX",1
"Figures 1, 2, 3, 6, Supplementary Table 1 and PDB 4NNY",1
"Figure 6, Supplemental Table 1 and PDB 3W39",1
"Tables 4, Figures 6, S1 and PDB 3D39",1
"Tables 4, Figures 6, S1 and PDB 3D3V",1
"Figures 2H and 3",1
"Figures 2G and S2",1
"Figures 5, 8 and 9",1
"Figures 2, 3 and Supplementary Figure 2",1
"Figure 4 and Supplementary Figure 3A",1
"Figure 4, Supplementary Table S5 and PDB 4L8D",1
"Figure 4, Supplementary Table S5 and PDB 4L8C",1
"Supplementary Table S5 and PDB 4L8B",1
"Figures 2, 3, 4 and 5",1
"3210Figure 4",1
"Table II, Figure 1 and PDB 2PYE",1
"Table II, Figure 1 and PDB 2P5E",1
"Table II, Figure 1 and PDB 2P5W",1
"Tables I, II, S1, Figure 5 and PDB 1SYV",1
"Tables I, II, Figure 5 and PDB 1SYS",1
"Table 1, Figure 1, 2, 3, 4, 5, 6 and PDB 2Q6W",1
"Figures 3, 4, 5, 6, supplementary Figure 1, supplementary Tables 3, 4, 5, 6 and PDB 3BGM",1
"Figures 3, 4, 5, 6, supplementary Figure 1, supplementary Tables 3, 4, 5, 6 and PDB 3BH8",1
"Figures 2, 3, 4, supplementary Tables 3, 4, 5, 6 and PDB 3BH9",1
"Figures 3, 4, supplementary Figure 1, supplementary Tables 3, 4, 5, 6 and PDB 3BHB",1
"Figure 2 and Tables 2 and 3",1
"Figure 2  Tables 2 and 3",1
"Figure 5, Table S3 and PDB 4MJ5",1
"Figure 5, Table S3 and PDB 4MJ6",1
"Tables 1 and 2, Figures 2 and 3",1
"Figure 2, Table 1, Supplementary Tables 1, 2 and PDB 8Y74",1
"Table 1 and Figure 2a, Figures 1a and 1b",1
"Table 1, Figures 2b, 2c, and 3, Figures 1e and 1f",1
"Table 1 and Figure 2a, Figures 1c and 1d",1
"Table 1, Figures 2b and 2c",1
"Table II, Figure 6 and PDB 3TIE",1
"Table II, Figure 6 and PDB 3TID",1
"Figures 1, S1, S2, Table 1 and PDB 4N8V",1
"Figure 3, Table II and PDB 4L29",1
"Figure 3, Table II and PDB 4L3C",1
"Figures 1, 2c, 2d, and Table 2",1
"Figures 2, 3, 4, Table 1 and PDB 3BEV (v1.2)",1
"Figures 2, 3, 4, Table 1 and PDB 3BEW (v1.1)",1
"Table 2, S3, Figure 3, 4, S2, S3, S4 and PDB 4GG6",1
"Table I, Figure 7 and PDB 4G43",1
"Table I, Figure 7 and PDB 4G42",1
"Table I, Figures 1, 2 and PDB 4E0R",1
"Tables I, II, Figures 2, 3, 4, 5, 6 and PDB 1Q94",1
"Tables I, II, Figures 2, 3, 4, 6 and PDB 1QVO",1
"Table I, III, Figure 5 and PDB 1LK2",1
"Table I, Figure 1 and PDB 1S7V",1
"Table I, Figure 1 and PDB 1S7R",1
"Table I, Figure 1 and PDB 1S7W",1
"Table I, Figure 1 and PDB 1S7T",1
"Table I, Figure 1 and PDB 1S7S",1
"Table I, Figure 1 and PDB 1S7Q",1
"Table I, Figure 1 and PDB 1S7U",1
"Table I, Figure 1 and PDB 1S7X",1
"Table II, Figure 3 and PDB 1I7R",1
"Table II, Figure 3 and PDB 1I7U",1
"Table II, Figure 3 and PDB 1I7T",1
"Figure 2, Table I and Figure 2",1
"Figure 2, Table 1 and  Figure 2",1
"Figures 5, 6, Tables S6, S7, S8, S9, S10 and PDB 5EUO",1
"Figures 5, 6, Table S6 and PDB 5E6I",1
"Figures 7 and S7, Table S2, and PDB 7P3D",1
"Figures 7 and S7, Table S2, and PDB 7P3E",1
