normalization_stage	strings_altered	strings_unaltered
en-dash	31	7120
em-dash	0	7151
plus-minus	44	7107
strip_whitespace	0	7151
remove_multi_whitespace	12	7139
convert_to_ascii	1	7150
lowercase	698	6453
