word_normalized_h_age
5- to 8- week 
mean 35.1
null
29-51 year
18-56 year
20-67 year
23-42 year
null
mean = 30.7 year
38-56 year
null
20-37 year
35-55 year
null
7-10 week
6-9 month
null
12-16 week
5 month-3 year
15-74 year
22-65 year
8-10 week
34-44 year
6-8 week
null
young adult
6-10 week
12 week
8-12 week
6-9 month
6-10 week
null
null
8-12 week
null
28-60 year
6-10 week
14-48 year
5-7 week
34-45 year
4-6 week
null
6-10 week
2-4 month
12 month
40 year
10-28 week
8-10 week
8-10 week
7-9 week
5-6 week
50
2-35 year
7-37 year
5-8 week
41 year
52 year
4-6 week
28-79 year
8-10 week
41-55
8-20 week
null
25-50 year
8-14 week
8-14 week
6-10 week
8-10 week
6-10 week
4-5 week
29 year
7-8 week
4-8 week
20-65
29-55 year
6-8 week
! Invalid words: ['available', 'not'] !
6-10 week
null
16-84 year
50-64 year
28 year
29-37 year
18-48 year
4-8 week
27 year
6 month to 2 year
4 week
8 week
5-8 week
null
null
32 year
18-33 month
6-10 week
8-year
14 year
10 to 17 day
null
8-10 week
8 week
6-10 week
6-16 week
1 month
23-52 year
! Invalid words: ['sucking'] !
mean 48 year
4-6 week
6 year
27-67 year
8-10 week
6-8 week
null
8 to 10 week
12-15 month
10 day
32 year
6 to 10 week
null
null
8-12 week
8-12 week
6 to 8 week
4 week
null
4-6 month
3-4 month
! Invalid words: ['older'] !
null
1 year
10 week
20-50 year
null
36 year
null
12-18 year
6-10 week
6-18 week
null
21-39 year
8 to 10 week
6-10 week
8-10 week
8 to 12 week
null
4 week
6-12 week
28-58 year
4-8 week
null
40-73 year
5-6 week
47 year
6-10 week
6-10 week
! Invalid words: ['older'] !
62-74 year
4-12 week
8-12 week
6 week
null
6-7 week
37 year mean
4-5 week
6-8 week
3-6 week
5 to 19 week
6-week
22-108 month
6-10 week
null
null
23-54 year
20-23 year
8 to 10 week
21
8-10 week
child
null
null
6-10 week
46-74 year
16 year
10 day
6-8 week
4-8 week
14-24 week
6-18 week
10-17 day
null
22 to 80 year
null
8-10 week
7-10 week
20-65 year
5 to 8 week
37 year. mean
8 week
19-29 year
8-12 week
1-13 year
36-47 year
4 week
4 to 6 week
null
6-8 week
1 year
47.6
8-12 week
6-10 week
6-8-week
8 week
35-65 year
null
22 to 64 year
6-16 week
9 to 12 week
24-45 year
8-10 week
mean 54 year
50-76
3 month
