phase	minimum	maximum	median	mean	standard_deviation	variance
character	0	4	0.0	0.3630261501887848	1.1116892118147095	1.2358529036652102
word	0	9	1.0	0.891204027408754	0.5104634066916552	0.26057288957125024
phrase	0	10	0.0	1.1602573066703958	1.8781339399595212	3.5273870964278746
