unit	median_age	h_age	h_organism_id	h_organism_name	index	normalized_h_age	normalized_h_age_style=age	exact_age	minimum_age	maximum_age	mean_age	age_list	age_description	age_data_type
year		11 months - 55 years	9606	Homo sapiens (human)	6741	11 month - 55 year	11 month - 55 year		0.917	55				manual
month		at least 2 months	10000206	Oryctolagus cuniculus New Zealand White	6772	at least 2 month	at least 2 month		2					manual
year		18-38 years, with an average of 22 years	9606	Homo sapiens (human)	6774	18-38 year, with an average of 22 year	18-38 year, with an average of 22 year		18	38	22			manual
year		51 and 66 years	9606	Homo sapiens (human)	6827	51 and 66 year	51 and 66 year		51	66				manual
		born before 1968	9606	Homo sapiens (human)	6848	born before 1968	born before 1968						born before 1968	manual
week		7-9weeks	10000067	Mus musculus C57BL/6	6896	7-9weeks	7-9weeks		7	9				manual
year		Over 50 years	9606	Homo sapiens (human)	6905	over 50 year	over 50 year		50					manual
year		1.5 months to 40 years	9606	Homo sapiens (human)	6907	1.5 month to 40 year	1.5 month to 40 year		0.125	40				manual
year		17 months - 4 years	9606	Homo sapiens (human)	6910	17 month - 4 year	17 month - 4 year		1.417	4				manual
year		3 months to 15 years	9606	Homo sapiens (human)	6929	3 month to 15 year	3 month to 15 year		0.25	15				manual
year		7 months to 10 years	9606	Homo sapiens (human)	6931	7 month to 10 year	7 month to 10 year		0.583	10				manual
year		mean 13. 8 years	9606	Homo sapiens (human)	6956	mean 13. 8 year	mean 13. 8 year				13.8			manual
year		1 month - 4 years	9606	Homo sapiens (human)	7002	1 month - 4 year	1 month - 4 year		0.083	4				manual
year	54	median 54 years	9606	Homo sapiens (human)	7005	median 54 year	median 54 year							manual
year	55	median 55 years	9606	Homo sapiens (human)	7006	median 55 year	median 55 year							manual
year		3 months to 25 years	9606	Homo sapiens (human)	7015	3 month to 25 year	3 month to 25 year		0.25	25				manual
year		>/= 15 years	9606	Homo sapiens (human)	7016	>/= 15 year	>/= 15 year		15					manual
year	48	median 48 years	9606	Homo sapiens (human)	7022	median 48 year	median 48 year							manual
year	50	median 50 years	9606	Homo sapiens (human)	7023	median 50 year	median 50 year							manual
month		4 days - 9 months	9606	Homo sapiens (human)	7084	4 day - 9 month	4 day - 9 month		0.132	9				manual
year		6 months to 5 years	9606	Homo sapiens (human)	7094	6 month to 5 year	6 month to 5 year		0.5	5				manual
year		5 months to 5 years	9606	Homo sapiens (human)	7098	5 month to 5 year	5 month to 5 year		0.417	5				manual
year		6 months to 15 years	9606	Homo sapiens (human)	7099	6 month to 15 year	6 month to 15 year		0.5	15				manual
