before_char_normalization	en-dash	em-dash	plus-minus	strip_whitespace	remove_multi_whitespace	convert_to_ascii	lowercase	after_char_normalization	index
6 weeks-old	N	N	N	N	N	N	N	6 weeks-old	108
6-8 weeks old	N	N	N	N	N	N	N	6-8 weeks old	109
14-65 years old	N	N	N	N	N	N	N	14-65 years old	110
7-8 weeks	N	N	N	N	N	N	N	7-8 weeks	111
31-58 years	N	N	N	N	N	N	N	31-58 years	112
6-10 wk	N	N	N	N	N	N	N	6-10 wk	113
6-9 weeks	N	N	N	N	N	N	N	6-9 weeks	114
36-70 years-old	N	N	N	N	N	N	N	36-70 years-old	115
18-45 years	N	N	N	N	N	N	N	18-45 years	116
6-10 weeks-old	N	N	N	N	N	N	N	6-10 weeks-old	117
8-11 wk	N	N	N	N	N	N	N	8-11 wk	118
24-75 years old	N	N	N	N	N	N	N	24-75 years old	119
6-10 wk	N	N	N	N	N	N	N	6-10 wk	120
6-8 weeks old	N	N	N	N	N	N	N	6-8 weeks old	121
2-8 months	N	N	N	N	N	N	N	2-8 months	122
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	123
5 weeks	N	N	N	N	N	N	N	5 weeks	124
Adult	N	N	N	N	N	N	Y	adult	125
9-86 years	N	N	N	N	N	N	N	9-86 years	126
19-74 years-old	N	N	N	N	N	N	N	19-74 years-old	127
18-30 years old	N	N	N	N	N	N	N	18-30 years old	128
NULL	N	N	N	N	N	N	Y	null	129
5-6 weeks	N	N	N	N	N	N	N	5-6 weeks	130
12-16 weeks	N	N	N	N	N	N	N	12-16 weeks	131
12-16 weeks	N	N	N	N	N	N	N	12-16 weeks	132
5-7 weeks	N	N	N	N	N	N	N	5-7 weeks	133
73	N	N	N	N	N	N	N	73	134
6-8 wk	N	N	N	N	N	N	N	6-8 wk	135
NULL	N	N	N	N	N	N	Y	null	136
7-10 weeks-old	N	N	N	N	N	N	N	7-10 weeks-old	137
1-9 years-old	N	N	N	N	N	N	N	1-9 years-old	138
18-75 years	N	N	N	N	N	N	N	18-75 years	139
4-16 weeks	N	N	N	N	N	N	N	4-16 weeks	140
11 or 18 weeks	N	N	N	N	N	N	N	11 or 18 weeks	141
15-73 years-old	N	N	N	N	N	N	N	15-73 years-old	142
8-16 wk	N	N	N	N	N	N	N	8-16 wk	143
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	144
NULL	N	N	N	N	N	N	Y	null	145
NULL	N	N	N	N	N	N	Y	null	146
7-79	N	N	N	N	N	N	N	7-79	147
20-29 years	N	N	N	N	N	N	N	20-29 years	148
Adult	N	N	N	N	N	N	Y	adult	149
NULL	N	N	N	N	N	N	Y	null	150
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	151
5, 11 or 18 weeks	N	N	N	N	N	N	N	5, 11 or 18 weeks	152
35 to 40 days	N	N	N	N	N	N	N	35 to 40 days	153
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	154
6-10 weeks-old	N	N	N	N	N	N	N	6-10 weeks-old	155
4-24 months	N	N	N	N	N	N	N	4-24 months	156
NULL	N	N	N	N	N	N	Y	null	157
NULL	N	N	N	N	N	N	Y	null	158
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	159
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	160
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	161
18 years	N	N	N	N	N	N	N	18 years	162
61 years	N	N	N	N	N	N	N	61 years	163
NULL	N	N	N	N	N	N	Y	null	164
18 to 65 years	N	N	N	N	N	N	N	18 to 65 years	165
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	166
18-59 years	N	N	N	N	N	N	N	18-59 years	167
6-10 weeks	N	N	N	N	N	N	N	6-10 weeks	168
8-14 weeks	N	N	N	N	N	N	N	8-14 weeks	169
4-6 weeks-old	N	N	N	N	N	N	N	4-6 weeks-old	170
> 18 years	N	N	N	N	N	N	N	> 18 years	171
30-60 years	N	N	N	N	N	N	N	30-60 years	172
6-12 weeks	N	N	N	N	N	N	N	6-12 weeks	173
6 months	N	N	N	N	N	N	N	6 months	174
6-8 wk old	N	N	N	N	N	N	N	6-8 wk old	175
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	176
mean 54 years (range 19-68)	N	N	N	N	N	N	N	mean 54 years (range 19-68)	177
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	178
37 years old	N	N	N	N	N	N	N	37 years old	179
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	180
NULL	N	N	N	N	N	N	Y	null	181
NULL	N	N	N	N	N	N	Y	null	182
5-14 years	N	N	N	N	N	N	N	5-14 years	183
Children	N	N	N	N	N	N	Y	children	184
6-8 weeks old	N	N	N	N	N	N	N	6-8 weeks old	185
NULL	N	N	N	N	N	N	Y	null	186
NULL	N	N	N	N	N	N	Y	null	187
6-8 weeks old	N	N	N	N	N	N	N	6-8 weeks old	188
NULL	N	N	N	N	N	N	Y	null	189
10 months	N	N	N	N	N	N	N	10 months	190
4-16 weeks	N	N	N	N	N	N	N	4-16 weeks	191
6-8 weeks-old	N	N	N	N	N	N	N	6-8 weeks-old	192
4 weeks	N	N	N	N	N	N	N	4 weeks	193
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	194
NULL	N	N	N	N	N	N	Y	null	195
NULL	N	N	N	N	N	N	Y	null	196
8-12 weeks-old	N	N	N	N	N	N	N	8-12 weeks-old	197
5-6 weeks	N	N	N	N	N	N	N	5-6 weeks	198
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	199
42-64 years	N	N	N	N	N	N	N	42-64 years	200
46-53 years	N	N	N	N	N	N	N	46-53 years	201
6-12 weeks	N	N	N	N	N	N	N	6-12 weeks	202
average age 29.8	N	N	N	N	N	N	N	average age 29.8	203
6-8 weeks old	N	N	N	N	N	N	N	6-8 weeks old	204
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	205
1.5 - 10 years	N	N	N	N	N	N	N	1.5 - 10 years	206
8-12 weeks old	N	N	N	N	N	N	N	8-12 weeks old	207
11 or 18 weeks	N	N	N	N	N	N	N	11 or 18 weeks	208
21-34 years	N	N	N	N	N	N	N	21-34 years	209
8 weeks	N	N	N	N	N	N	N	8 weeks	210
33 years	N	N	N	N	N	N	N	33 years	211
NULL	N	N	N	N	N	N	Y	null	212
8-10 weeks old	N	N	N	N	N	N	N	8-10 weeks old	213
8-10 weeks old	N	N	N	N	N	N	N	8-10 weeks old	214
4-6 weeks	N	N	N	N	N	N	N	4-6 weeks	215
NULL	N	N	N	N	N	N	Y	null	216
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	217
NULL	N	N	N	N	N	N	Y	null	218
6-12 weeks	N	N	N	N	N	N	N	6-12 weeks	219
10-12 weeks	N	N	N	N	N	N	N	10-12 weeks	220
2-18 mo	N	N	N	N	N	N	N	2-18 mo	221
NULL	N	N	N	N	N	N	Y	null	222
8-11 weeks	N	N	N	N	N	N	N	8-11 weeks	223
37-61 years old	N	N	N	N	N	N	N	37-61 years old	224
Mean: 29 years	N	N	N	N	N	N	Y	mean: 29 years	225
4-6 weeks	N	N	N	N	N	N	N	4-6 weeks	226
NULL	N	N	N	N	N	N	Y	null	227
4-6 wk	N	N	N	N	N	N	N	4-6 wk	228
8 weeks	N	N	N	N	N	N	N	8 weeks	229
8-10 weeks-old	N	N	N	N	N	N	N	8-10 weeks-old	230
6-10 weeks-old	N	N	N	N	N	N	N	6-10 weeks-old	231
8 weeks	N	N	N	N	N	N	N	8 weeks	232
6 weeks old	N	N	N	N	N	N	N	6 weeks old	233
28-55 years	N	N	N	N	N	N	N	28-55 years	234
22-52 years	N	N	N	N	N	N	N	22-52 years	235
NULL	N	N	N	N	N	N	Y	null	236
6-12 months	N	N	N	N	N	N	N	6-12 months	237
32	N	N	N	N	N	N	N	32	238
32-42	N	N	N	N	N	N	N	32-42	239
NULL	N	N	N	N	N	N	Y	null	240
