before_char_normalization	en-dash	em-dash	plus-minus	strip_whitespace	remove_multi_whitespace	convert_to_ascii	lowercase	after_char_normalization	index
8 to 10 weeks	N	N	N	N	N	N	N	8 to 10 weeks	1145
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	1146
4 weeks	N	N	N	N	N	N	N	4 weeks	1147
11 weeks	N	N	N	N	N	N	N	11 weeks	1148
46 to 92 years	N	N	N	N	N	N	N	46 to 92 years	1149
8 weeks	N	N	N	N	N	N	N	8 weeks	1150
14 week old	N	N	N	N	N	N	N	14 week old	1151
3-4 weeks	N	N	N	N	N	N	N	3-4 weeks	1152
NULL	N	N	N	N	N	N	Y	null	1153
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	1154
23-48 years	N	N	N	N	N	N	N	23-48 years	1155
NULL	N	N	N	N	N	N	Y	null	1156
6 to 12 weeks old	N	N	N	N	N	N	N	6 to 12 weeks old	1157
7-10 weeks	N	N	N	N	N	N	N	7-10 weeks	1158
4-6 weeks	N	N	N	N	N	N	N	4-6 weeks	1159
NULL	N	N	N	N	N	N	Y	null	1160
1-16 years	N	N	N	N	N	N	N	1-16 years	1161
10-16 weeks	N	N	N	N	N	N	N	10-16 weeks	1162
8 to 12 weeks	N	N	N	N	N	N	N	8 to 12 weeks	1163
22-35 years	N	N	N	N	N	N	N	22-35 years	1164
16-43 years	N	N	N	N	N	N	N	16-43 years	1165
4 weeks	N	N	N	N	N	N	N	4 weeks	1166
4 to 6 weeks old	N	N	N	N	N	N	N	4 to 6 weeks old	1167
4-6 weeks	N	N	N	N	N	N	N	4-6 weeks	1168
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	1169
4 weeks	N	N	N	N	N	N	N	4 weeks	1170
10-12 weeks	N	N	N	N	N	N	N	10-12 weeks	1171
1 month	N	N	N	N	N	N	N	1 month	1172
6-41 years	N	N	N	N	N	N	N	6-41 years	1173
8 to 10 weeks	N	N	N	N	N	N	N	8 to 10 weeks	1174
6-64 years	N	N	N	N	N	N	N	6-64 years	1175
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	1176
4 to 5 weeks	N	N	N	N	N	N	N	4 to 5 weeks	1177
2–25 years	Y	N	N	N	N	N	N	2-25 years	1178
7 days	N	N	N	N	N	N	N	7 days	1179
25	N	N	N	N	N	N	N	25	1180
49	N	N	N	N	N	N	N	49	1181
6-12 weeks	N	N	N	N	N	N	N	6-12 weeks	1182
9-20 weeks	N	N	N	N	N	N	N	9-20 weeks	1183
20-40 years	N	N	N	N	N	N	N	20-40 years	1184
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	1185
5 weeks	N	N	N	N	N	N	N	5 weeks	1186
66-86 years	N	N	N	N	N	N	N	66-86 years	1187
18-65 years	N	N	N	N	N	N	N	18-65 years	1188
6-10 weeks	N	N	N	N	N	N	N	6-10 weeks	1189
17	N	N	N	N	N	N	N	17	1190
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	1191
4-20 weeks	N	N	N	N	N	N	N	4-20 weeks	1192
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	1193
6 weeks	N	N	N	N	N	N	N	6 weeks	1194
13-31 years	N	N	N	N	N	N	N	13-31 years	1195
4-12 weeks	N	N	N	N	N	N	N	4-12 weeks	1196
9 or 20 weeks	N	N	N	N	N	N	N	9 or 20 weeks	1197
12 weeks	N	N	N	N	N	N	N	12 weeks	1198
4 weeks	N	N	N	N	N	N	N	4 weeks	1199
NULL	N	N	N	N	N	N	Y	null	1200
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	1201
NULL	N	N	N	N	N	N	Y	null	1202
9-25 years	N	N	N	N	N	N	N	9-25 years	1203
adult	N	N	N	N	N	N	N	adult	1204
NULL	N	N	N	N	N	N	Y	null	1205
63-82 years	N	N	N	N	N	N	N	63-82 years	1206
16-36 years	N	N	N	N	N	N	N	16-36 years	1207
7-11 weeks	N	N	N	N	N	N	N	7-11 weeks	1208
8-11 weeks old	N	N	N	N	N	N	N	8-11 weeks old	1209
20 weeks	N	N	N	N	N	N	N	20 weeks	1210
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	1211
12 weeks	N	N	N	N	N	N	N	12 weeks	1212
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	1213
20-27 weeks	N	N	N	N	N	N	N	20-27 weeks	1214
1-32	N	N	N	N	N	N	N	1-32	1215
5-10 weeks	N	N	N	N	N	N	N	5-10 weeks	1216
25-80 years	N	N	N	N	N	N	N	25-80 years	1217
6-18 weeks	N	N	N	N	N	N	N	6-18 weeks	1218
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	1219
2-15 years	N	N	N	N	N	N	N	2-15 years	1220
2-16 years	N	N	N	N	N	N	N	2-16 years	1221
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	1222
21-52 years	N	N	N	N	N	N	N	21-52 years	1223
6-16 weeks	N	N	N	N	N	N	N	6-16 weeks	1224
3-34 years	N	N	N	N	N	N	N	3-34 years	1225
2-3 months	N	N	N	N	N	N	N	2-3 months	1226
6 weeks	N	N	N	N	N	N	N	6 weeks	1227
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	1228
10-14 weeks	N	N	N	N	N	N	N	10-14 weeks	1229
8-14 weeks	N	N	N	N	N	N	N	8-14 weeks	1230
NULL	N	N	N	N	N	N	Y	null	1231
Mean=28.5 ± 15.0	N	N	Y	N	N	N	Y	mean=28.5 +/- 15.0	1232
35-45 years	N	N	N	N	N	N	N	35-45 years	1233
21-59 years	N	N	N	N	N	N	N	21-59 years	1234
13-56 years	N	N	N	N	N	N	N	13-56 years	1235
>16 weeks	N	N	N	N	N	N	N	>16 weeks	1236
2-3 months	N	N	N	N	N	N	N	2-3 months	1237
2-3 months	N	N	N	N	N	N	N	2-3 months	1238
7-9 weeks	N	N	N	N	N	N	N	7-9 weeks	1239
5-7 weeks	N	N	N	N	N	N	N	5-7 weeks	1240
3-22 years	N	N	N	N	N	N	N	3-22 years	1241
>16 years	N	N	N	N	N	N	N	>16 years	1242
4 to 16 years	N	N	N	N	N	N	N	4 to 16 years	1243
14 to 51 years	N	N	N	N	N	N	N	14 to 51 years	1244
> 6 months	N	N	N	N	N	N	N	> 6 months	1245
NULL	N	N	N	N	N	N	Y	null	1246
18-43 years	N	N	N	N	N	N	N	18-43 years	1247
20-26 years	N	N	N	N	N	N	N	20-26 years	1248
2-3 months	N	N	N	N	N	N	N	2-3 months	1249
27-41 years	N	N	N	N	N	N	N	27-41 years	1250
14 to 24 years	N	N	N	N	N	N	N	14 to 24 years	1251
24-66 years	N	N	N	N	N	N	N	24-66 years	1252
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	1253
NULL	N	N	N	N	N	N	Y	null	1254
10-14 weeks	N	N	N	N	N	N	N	10-14 weeks	1255
12 weeks	N	N	N	N	N	N	N	12 weeks	1256
5-38 years	N	N	N	N	N	N	N	5-38 years	1257
3 months	N	N	N	N	N	N	N	3 months	1258
2, 3, or 4 months	N	N	N	N	N	N	N	2, 3, or 4 months	1259
12-13 weeks	N	N	N	N	N	N	N	12-13 weeks	1260
10.1 ± 3.6 yr	N	N	Y	N	N	N	N	10.1 +/- 3.6 yr	1261
9 weeks	N	N	N	N	N	N	N	9 weeks	1262
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	1263
6-15 weeks	N	N	N	N	N	N	N	6-15 weeks	1264
41-73	N	N	N	N	N	N	N	41-73	1265
8 to 12 weeks	N	N	N	N	N	N	N	8 to 12 weeks	1266
NULL	N	N	N	N	N	N	Y	null	1267
2-12 months	N	N	N	N	N	N	N	2-12 months	1268
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	1269
34 to 66 years	N	N	N	N	N	N	N	34 to 66 years	1270
25 to 67 years	N	N	N	N	N	N	N	25 to 67 years	1271
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	1272
32-58	N	N	N	N	N	N	N	32-58	1273
28 to 64 years	N	N	N	N	N	N	N	28 to 64 years	1274
28 to 61 years	N	N	N	N	N	N	N	28 to 61 years	1275
Newborn	N	N	N	N	N	N	Y	newborn	1276
33-77 years	N	N	N	N	N	N	N	33-77 years	1277
6 to 7 weeks	N	N	N	N	N	N	N	6 to 7 weeks	1278
2-3 months	N	N	N	N	N	N	N	2-3 months	1279
14-20 weeks	N	N	N	N	N	N	N	14-20 weeks	1280
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	1281
6 weeks	N	N	N	N	N	N	N	6 weeks	1282
5 to 6 weeks	N	N	N	N	N	N	N	5 to 6 weeks	1283
7-8 weeks	N	N	N	N	N	N	N	7-8 weeks	1284
7-9 weeks old	N	N	N	N	N	N	N	7-9 weeks old	1285
16-73 years	N	N	N	N	N	N	N	16-73 years	1286
6 to 10 weeks	N	N	N	N	N	N	N	6 to 10 weeks	1287
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	1288
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	1289
mean age 26.5 years	N	N	N	N	N	N	N	mean age 26.5 years	1290
5 to 8 weeks	N	N	N	N	N	N	N	5 to 8 weeks	1291
4 to 8 weeks	N	N	N	N	N	N	N	4 to 8 weeks	1292
4 to 6 weeks	N	N	N	N	N	N	N	4 to 6 weeks	1293
NULL	N	N	N	N	N	N	Y	null	1294
3 to 4 months	N	N	N	N	N	N	N	3 to 4 months	1295
21-91 years	N	N	N	N	N	N	N	21-91 years	1296
18-85 years	N	N	N	N	N	N	N	18-85 years	1297
NULL	N	N	N	N	N	N	Y	null	1298
NULL	N	N	N	N	N	N	Y	null	1299
8 to 12 weeks	N	N	N	N	N	N	N	8 to 12 weeks	1300
33 to 57 years	N	N	N	N	N	N	N	33 to 57 years	1301
5 to 7 weeks	N	N	N	N	N	N	N	5 to 7 weeks	1302
NULL	N	N	N	N	N	N	Y	null	1303
6 weeks	N	N	N	N	N	N	N	6 weeks	1304
12- 14 weeks	N	N	N	N	N	N	N	12- 14 weeks	1305
NULL	N	N	N	N	N	N	Y	null	1306
8 to 13 weeks	N	N	N	N	N	N	N	8 to 13 weeks	1307
18-82 years	N	N	N	N	N	N	N	18-82 years	1308
2 to 3 months	N	N	N	N	N	N	N	2 to 3 months	1309
51 years	N	N	N	N	N	N	N	51 years	1310
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	1311
64-86 years	N	N	N	N	N	N	N	64-86 years	1312
8 -12 weeks old	N	N	N	N	N	N	N	8 -12 weeks old	1313
6 to 10 weeks	N	N	N	N	N	N	N	6 to 10 weeks	1314
10 to 12 weeks	N	N	N	N	N	N	N	10 to 12 weeks	1315
9-11 weeks old	N	N	N	N	N	N	N	9-11 weeks old	1316
22 to 56 years	N	N	N	N	N	N	N	22 to 56 years	1317
4 to 6 weeks	N	N	N	N	N	N	N	4 to 6 weeks	1318
29 to 54 years	N	N	N	N	N	N	N	29 to 54 years	1319
4-6 weeks	N	N	N	N	N	N	N	4-6 weeks	1320
6 to 10 weeks	N	N	N	N	N	N	N	6 to 10 weeks	1321
NULL	N	N	N	N	N	N	Y	null	1322
2 months	N	N	N	N	N	N	N	2 months	1323
Young adults	N	N	N	N	N	N	Y	young adults	1324
5 to 8 weeks	N	N	N	N	N	N	N	5 to 8 weeks	1325
5 to 8 weeks	N	N	N	N	N	N	N	5 to 8 weeks	1326
Young adult	N	N	N	N	N	N	Y	young adult	1327
NULL	N	N	N	N	N	N	Y	null	1328
Adult	N	N	N	N	N	N	Y	adult	1329
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	1330
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	1331
8 to 10 weeks	N	N	N	N	N	N	N	8 to 10 weeks	1332
8 to 12 weeks	N	N	N	N	N	N	N	8 to 12 weeks	1333
18-51 years	N	N	N	N	N	N	N	18-51 years	1334
13-31 weeks	N	N	N	N	N	N	N	13-31 weeks	1335
38.6 years (mean age)	N	N	N	N	N	N	N	38.6 years (mean age)	1336
6 to 8 weeks old	N	N	N	N	N	N	N	6 to 8 weeks old	1337
5-7 weeks	N	N	N	N	N	N	N	5-7 weeks	1338
8 to 10 weeks	N	N	N	N	N	N	N	8 to 10 weeks	1339
8 to 12 weeks	N	N	N	N	N	N	N	8 to 12 weeks	1340
8 weeks	N	N	N	N	N	N	N	8 weeks	1341
36-55 years	N	N	N	N	N	N	N	36-55 years	1342
2-12 months	N	N	N	N	N	N	N	2-12 months	1343
8 to 12 weeks	N	N	N	N	N	N	N	8 to 12 weeks	1344
2 months or 2-10 months	N	N	N	N	N	N	N	2 months or 2-10 months	1345
22-77 years	N	N	N	N	N	N	N	22-77 years	1346
27-58 years	N	N	N	N	N	N	N	27-58 years	1347
7 months	N	N	N	N	N	N	N	7 months	1348
10-13 weeks	N	N	N	N	N	N	N	10-13 weeks	1349
10-13 weeks	N	N	N	N	N	N	N	10-13 weeks	1350
NULL	N	N	N	N	N	N	Y	null	1351
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	1352
5 months	N	N	N	N	N	N	N	5 months	1353
8 to 12 weeks	N	N	N	N	N	N	N	8 to 12 weeks	1354
26-42 years	N	N	N	N	N	N	N	26-42 years	1355
6-10 weeks	N	N	N	N	N	N	N	6-10 weeks	1356
36-43 years	N	N	N	N	N	N	N	36-43 years	1357
33-56 years	N	N	N	N	N	N	N	33-56 years	1358
2.5-4 months	N	N	N	N	N	N	N	2.5-4 months	1359
23 to 52 years	N	N	N	N	N	N	N	23 to 52 years	1360
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	1361
14-60 years	N	N	N	N	N	N	N	14-60 years	1362
89.7 years	N	N	N	N	N	N	N	89.7 years	1363
14-20 weeks	N	N	N	N	N	N	N	14-20 weeks	1364
6-10 weeks	N	N	N	N	N	N	N	6-10 weeks	1365
14-20 weeks	N	N	N	N	N	N	N	14-20 weeks	1366
6 weeks	N	N	N	N	N	N	N	6 weeks	1367
14-20 weeks	N	N	N	N	N	N	N	14-20 weeks	1368
8 weeks	N	N	N	N	N	N	N	8 weeks	1369
7-9 weeks old	N	N	N	N	N	N	N	7-9 weeks old	1370
7-9 weeks old	N	N	N	N	N	N	N	7-9 weeks old	1371
7-9 weeks old	N	N	N	N	N	N	N	7-9 weeks old	1372
7 weeks	N	N	N	N	N	N	N	7 weeks	1373
average age = 19.2 years	N	N	N	N	N	N	N	average age = 19.2 years	1374
51	N	N	N	N	N	N	N	51	1375
8 to 10 weeks old	N	N	N	N	N	N	N	8 to 10 weeks old	1376
50-58	N	N	N	N	N	N	N	50-58	1377
30-45	N	N	N	N	N	N	N	30-45	1378
20-63 years	N	N	N	N	N	N	N	20-63 years	1379
40-69 years	N	N	N	N	N	N	N	40-69 years	1380
4-17 years	N	N	N	N	N	N	N	4-17 years	1381
7-15 years	N	N	N	N	N	N	N	7-15 years	1382
28-44	N	N	N	N	N	N	N	28-44	1383
1-2 months	N	N	N	N	N	N	N	1-2 months	1384
24-50 years	N	N	N	N	N	N	N	24-50 years	1385
28-53 years	N	N	N	N	N	N	N	28-53 years	1386
24-53 years	N	N	N	N	N	N	N	24-53 years	1387
2-4 months	N	N	N	N	N	N	N	2-4 months	1388
24-44 years	N	N	N	N	N	N	N	24-44 years	1389
2-4 months	N	N	N	N	N	N	N	2-4 months	1390
24-42 years	N	N	N	N	N	N	N	24-42 years	1391
25-57 years	N	N	N	N	N	N	N	25-57 years	1392
22-44 years	N	N	N	N	N	N	N	22-44 years	1393
14-59 years	N	N	N	N	N	N	N	14-59 years	1394
10 to 12 weeks	N	N	N	N	N	N	N	10 to 12 weeks	1395
2-4 months	N	N	N	N	N	N	N	2-4 months	1396
54	N	N	N	N	N	N	N	54	1397
30-56 years	N	N	N	N	N	N	N	30-56 years	1398
41-69 years	N	N	N	N	N	N	N	41-69 years	1399
3-45 years	N	N	N	N	N	N	N	3-45 years	1400
13-46 years	N	N	N	N	N	N	N	13-46 years	1401
6 to 8 week	N	N	N	N	N	N	N	6 to 8 week	1402
within 12 hours of birth	N	N	N	N	N	N	N	within 12 hours of birth	1403
13 days	N	N	N	N	N	N	N	13 days	1404
10 to 12 weeks	N	N	N	N	N	N	N	10 to 12 weeks	1405
2-6 months	N	N	N	N	N	N	N	2-6 months	1406
17-36 years	N	N	N	N	N	N	N	17-36 years	1407
8 to 14 weeks	N	N	N	N	N	N	N	8 to 14 weeks	1408
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	1409
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	1410
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	1411
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	1412
older than 8 weeks	N	N	N	N	N	N	N	older than 8 weeks	1413
36 to 79 years	N	N	N	N	N	N	N	36 to 79 years	1414
18-60 years-old	N	N	N	N	N	N	N	18-60 years-old	1415
6 to 14 weeks	N	N	N	N	N	N	N	6 to 14 weeks	1416
27-54 years	N	N	N	N	N	N	N	27-54 years	1417
50 days	N	N	N	N	N	N	N	50 days	1418
27-79 years	N	N	N	N	N	N	N	27-79 years	1419
25-44 years	N	N	N	N	N	N	N	25-44 years	1420
Neonatal	N	N	N	N	N	N	Y	neonatal	1421
27 weeks	N	N	N	N	N	N	N	27 weeks	1422
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	1423
26 years	N	N	N	N	N	N	N	26 years	1424
36	N	N	N	N	N	N	N	36	1425
NULL	N	N	N	N	N	N	Y	null	1426
33-64 years	N	N	N	N	N	N	N	33-64 years	1427
13-20 years	N	N	N	N	N	N	N	13-20 years	1428
43	N	N	N	N	N	N	N	43	1429
48	N	N	N	N	N	N	N	48	1430
29	N	N	N	N	N	N	N	29	1431
3 months	N	N	N	N	N	N	N	3 months	1432
3-6 months	N	N	N	N	N	N	N	3-6 months	1433
43 years	N	N	N	N	N	N	N	43 years	1434
2-3 months	N	N	N	N	N	N	N	2-3 months	1435
6 to 10 weeks	N	N	N	N	N	N	N	6 to 10 weeks	1436
10-12 weeks	N	N	N	N	N	N	N	10-12 weeks	1437
27	N	N	N	N	N	N	N	27	1438
NULL	N	N	N	N	N	N	Y	null	1439
21-83 years old	N	N	N	N	N	N	N	21-83 years old	1440
4 to 8 weeks old	N	N	N	N	N	N	N	4 to 8 weeks old	1441
38	N	N	N	N	N	N	N	38	1442
24 to 32 years	N	N	N	N	N	N	N	24 to 32 years	1443
12-14 weeks	N	N	N	N	N	N	N	12-14 weeks	1444
12-14 weeks	N	N	N	N	N	N	N	12-14 weeks	1445
2 to 3 months	N	N	N	N	N	N	N	2 to 3 months	1446
19-32 years	N	N	N	N	N	N	N	19-32 years	1447
8 months	N	N	N	N	N	N	N	8 months	1448
31-88 years	N	N	N	N	N	N	N	31-88 years	1449
3 weeks	N	N	N	N	N	N	N	3 weeks	1450
15-20 weeks	N	N	N	N	N	N	N	15-20 weeks	1451
5-9 weeks	N	N	N	N	N	N	N	5-9 weeks	1452
8 week old	N	N	N	N	N	N	N	8 week old	1453
10 weeks	N	N	N	N	N	N	N	10 weeks	1454
adult	N	N	N	N	N	N	N	adult	1455
NULL	N	N	N	N	N	N	Y	null	1456
10-15 weeks	N	N	N	N	N	N	N	10-15 weeks	1457
4-8 weeks	N	N	N	N	N	N	N	4-8 weeks	1458
39-46 years old	N	N	N	N	N	N	N	39-46 years old	1459
45 years old	N	N	N	N	N	N	N	45 years old	1460
8 to 10 weeks	N	N	N	N	N	N	N	8 to 10 weeks	1461
6-12 weeks	N	N	N	N	N	N	N	6-12 weeks	1462
4-8 weeks	N	N	N	N	N	N	N	4-8 weeks	1463
39 years old	N	N	N	N	N	N	N	39 years old	1464
2 months	N	N	N	N	N	N	N	2 months	1465
4 to 5 weeks	N	N	N	N	N	N	N	4 to 5 weeks	1466
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	1467
45-52	N	N	N	N	N	N	N	45-52	1468
6 to 8 weeks old	N	N	N	N	N	N	N	6 to 8 weeks old	1469
6 -10 weeks old	N	N	N	N	N	N	N	6 -10 weeks old	1470
5 to 6 weeks	N	N	N	N	N	N	N	5 to 6 weeks	1471
10-14 weeks old	N	N	N	N	N	N	N	10-14 weeks old	1472
4-8 weeks	N	N	N	N	N	N	N	4-8 weeks	1473
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	1474
37–62 years	Y	N	N	N	N	N	N	37-62 years	1475
1-18 years old	N	N	N	N	N	N	N	1-18 years old	1476
1-55 years old	N	N	N	N	N	N	N	1-55 years old	1477
12-20	N	N	N	N	N	N	N	12-20	1478
10-14 weeks old	N	N	N	N	N	N	N	10-14 weeks old	1479
41–64 years	Y	N	N	N	N	N	N	41-64 years	1480
30-78 years old	N	N	N	N	N	N	N	30-78 years old	1481
7-10 weeks	N	N	N	N	N	N	N	7-10 weeks	1482
NULL	N	N	N	N	N	N	Y	null	1483
5 weeks	N	N	N	N	N	N	N	5 weeks	1484
48 years old	N	N	N	N	N	N	N	48 years old	1485
12-14 weeks	N	N	N	N	N	N	N	12-14 weeks	1486
24-39 years	N	N	N	N	N	N	N	24-39 years	1487
4 to 6 months	N	N	N	N	N	N	N	4 to 6 months	1488
12-23 weeks	N	N	N	N	N	N	N	12-23 weeks	1489
2-6 months	N	N	N	N	N	N	N	2-6 months	1490
4-8 weeks	N	N	N	N	N	N	N	4-8 weeks	1491
17-66 years old	N	N	N	N	N	N	N	17-66 years old	1492
NULL	N	N	N	N	N	N	Y	null	1493
NULL	N	N	N	N	N	N	Y	null	1494
Adult (avg. age = 30.8 years)	N	N	N	N	N	N	Y	adult (avg. age = 30.8 years)	1495
27-66 years	N	N	N	N	N	N	N	27-66 years	1496
21-56 years	N	N	N	N	N	N	N	21-56 years	1497
8 to 12 weeks	N	N	N	N	N	N	N	8 to 12 weeks	1498
29-76 years old	N	N	N	N	N	N	N	29-76 years old	1499
20-55 years old	N	N	N	N	N	N	N	20-55 years old	1500
28-35 years	N	N	N	N	N	N	N	28-35 years	1501
<18 hours	N	N	N	N	N	N	N	<18 hours	1502
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	1503
5 - 8 weeks	N	N	N	N	N	N	N	5 - 8 weeks	1504
NULL	N	N	N	N	N	N	Y	null	1505
49 years	N	N	N	N	N	N	N	49 years	1506
4-6 weeks	N	N	N	N	N	N	N	4-6 weeks	1507
10 - 15 years	N	N	N	N	N	N	N	10 - 15 years	1508
4 weeks old	N	N	N	N	N	N	N	4 weeks old	1509
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	1510
25-68 years old	N	N	N	N	N	N	N	25-68 years old	1511
NULL	N	N	N	N	N	N	Y	null	1512
26-60 years	N	N	N	N	N	N	N	26-60 years	1513
8 to 10 weeks	N	N	N	N	N	N	N	8 to 10 weeks	1514
7 to 15 weeks	N	N	N	N	N	N	N	7 to 15 weeks	1515
7 to 15 weeks	N	N	N	N	N	N	N	7 to 15 weeks	1516
NULL	N	N	N	N	N	N	Y	null	1517
6-35 weeks	N	N	N	N	N	N	N	6-35 weeks	1518
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	1519
5-10 weeks	N	N	N	N	N	N	N	5-10 weeks	1520
37-74 years	N	N	N	N	N	N	N	37-74 years	1521
7-10 weeks	N	N	N	N	N	N	N	7-10 weeks	1522
5-8 weeks old	N	N	N	N	N	N	N	5-8 weeks old	1523
24 hours after birth	N	N	N	N	N	N	N	24 hours after birth	1524
38-57 years	N	N	N	N	N	N	N	38-57 years	1525
27-44 years	N	N	N	N	N	N	N	27-44 years	1526
6-12 weeks	N	N	N	N	N	N	N	6-12 weeks	1527
60 years	N	N	N	N	N	N	N	60 years	1528
3 weeks	N	N	N	N	N	N	N	3 weeks	1529
NULL	N	N	N	N	N	N	Y	null	1530
7-11 weeks	N	N	N	N	N	N	N	7-11 weeks	1531
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	1532
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	1533
NULL	N	N	N	N	N	N	Y	null	1534
NULL	N	N	N	N	N	N	Y	null	1535
8 weeks	N	N	N	N	N	N	N	8 weeks	1536
39-47 years old	N	N	N	N	N	N	N	39-47 years old	1537
5 to 7 weeks	N	N	N	N	N	N	N	5 to 7 weeks	1538
19-25	N	N	N	N	N	N	N	19-25	1539
19-26	N	N	N	N	N	N	N	19-26	1540
NULL	N	N	N	N	N	N	Y	null	1541
37-53 years old	N	N	N	N	N	N	N	37-53 years old	1542
Children (avg. age = 9.5 years)	N	N	N	N	N	N	Y	children (avg. age = 9.5 years)	1543
>27 weeks	N	N	N	N	N	N	N	>27 weeks	1544
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	1545
6 weeks	N	N	N	N	N	N	N	6 weeks	1546
31-57 years	N	N	N	N	N	N	N	31-57 years	1547
3 to 5 months	N	N	N	N	N	N	N	3 to 5 months	1548
NULL	N	N	N	N	N	N	Y	null	1549
14-49 years	N	N	N	N	N	N	N	14-49 years	1550
NULL	N	N	N	N	N	N	Y	null	1551
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	1552
31-76 years	N	N	N	N	N	N	N	31-76 years	1553
21-31 years	N	N	N	N	N	N	N	21-31 years	1554
6-10 weeks	N	N	N	N	N	N	N	6-10 weeks	1555
6-12 weeks	N	N	N	N	N	N	N	6-12 weeks	1556
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	1557
39	N	N	N	N	N	N	N	39	1558
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	1559
53 to 71 years	N	N	N	N	N	N	N	53 to 71 years	1560
4-5 weeks	N	N	N	N	N	N	N	4-5 weeks	1561
4 months	N	N	N	N	N	N	N	4 months	1562
31 years old	N	N	N	N	N	N	N	31 years old	1563
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	1564
21-27 years	N	N	N	N	N	N	N	21-27 years	1565
NULL	N	N	N	N	N	N	Y	null	1566
14-46 years	N	N	N	N	N	N	N	14-46 years	1567
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	1568
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	1569
8 to 12 week	N	N	N	N	N	N	N	8 to 12 week	1570
18 to 70 years	N	N	N	N	N	N	N	18 to 70 years	1571
20-78 years	N	N	N	N	N	N	N	20-78 years	1572
18-71 years	N	N	N	N	N	N	N	18-71 years	1573
22-76 years	N	N	N	N	N	N	N	22-76 years	1574
30-72 years	N	N	N	N	N	N	N	30-72 years	1575
NULL	N	N	N	N	N	N	Y	null	1576
NULL	N	N	N	N	N	N	Y	null	1577
4-12 weeks	N	N	N	N	N	N	N	4-12 weeks	1578
57.1-70.1 years	N	N	N	N	N	N	N	57.1-70.1 years	1579
6-12 weeks	N	N	N	N	N	N	N	6-12 weeks	1580
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	1581
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	1582
NULL	N	N	N	N	N	N	Y	null	1583
6 weeks	N	N	N	N	N	N	N	6 weeks	1584
14-86 years	N	N	N	N	N	N	N	14-86 years	1585
30-74 years	N	N	N	N	N	N	N	30-74 years	1586
18-49 years	N	N	N	N	N	N	N	18-49 years	1587
31 years	N	N	N	N	N	N	N	31 years	1588
NULL	N	N	N	N	N	N	Y	null	1589
30-83 years	N	N	N	N	N	N	N	30-83 years	1590
19-95 years	N	N	N	N	N	N	N	19-95 years	1591
neonates	N	N	N	N	N	N	N	neonates	1592
mean age 31 years	N	N	N	N	N	N	N	mean age 31 years	1593
8 weeks or older	N	N	N	N	N	N	N	8 weeks or older	1594
26-34 years	N	N	N	N	N	N	N	26-34 years	1595
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	1596
26 to 53 years	N	N	N	N	N	N	N	26 to 53 years	1597
