index	input_data_loc	output_data_loc
48981	Figures 3, 5, 6 and Table 1	['figure 3', 'figure 5', 'figure 6', 'table 1']
49383	Figures 3, 5, Table 1 and Supplementary figure S1	['figure 3', 'figure 5', 'table 1', 'figure s1']
49605	Figures 3, 6, and Supplementary Figure 1	['figure 3', 'figure 6', 'figure 1']
49695	Figures 3, 6, Table 2, Supplementary Table S1 and PDB 5C07	['figure 3', 'figure 6', 'table 2', 'table s1', 'pdb 5c07']
49784	Figures 3, 7, Supplementary Figures 2, 3 and 2	['iguref 3', 'iguref 7', 'iguref 2', 'iguref 3', 'iguref 2']
49924	Figures 3, S1, S2, Table S2 and PDB 7KXJ	['figure 3', 'figure s1', 'figure s2', 'table s2', 'pdb 7kxj']
50786	Figures 3,4,6	['figure 3', 'figure 4', 'figure 6']
50886	Figures 3A&B, S1, S2	['figure 3a', 'figure 3b', 'figure s1', 'figure s2']
52299	Figures 4, 5, 7, S6, Table S3	['figure 4', 'figure 5', 'figure 7', 'figure s6', 'table s3']
52960	Figures 4, 5, Table 4 and PDB 6VRL	['figure 4', 'figure 5', 'table 4', 'pdb 6vrl']
53111	Figures 4, 6	['figure 4', 'figure 6']
53526	Figures 4, 8, S2	['figure 4', 'figure 8', 'figure s2']
54346	Figures 4B  and 5B	['figure 4b', 'figure 5b']
54654	Figures 5 and 7A	['figure 5', 'figure 7a']
54660	Figures 5 and 9	['figure 24', 'figure 82']
54683	Figures 5 and S4 and Table S4 and PDB 7LUC	['figure 5', 'figure s4', 'table s4', 'pdb 7luc']
55139	Figures 5, 6, and 8, table 3	['figure 5', 'figure 6', 'figure 8', 'table 3']
55442	Figures 5, 6, Supplemental Figure S2	['figure 5', 'figure 6', 'supplemental figure s2']
57467	Figures 7 and 8 and Table 6	['figure 7', 'figure 8', 'table 6']
57508	Figures 7 and S2	['figure 7', 'figure s2']
58071	Figures S1 and S9	['figure s2', 'figure s51']
58429	Figures S6, Table S2	['figure s6', 'table s2']
280395	Methods (page 175)	['page 175']
280396	Methods (page 282)	['page 282']
281642	Page 240	['page 240']
281909	PDB  5JA8	['pdb 5ja8']
281985	PDB 1YNT	['pdb 1ynt']
282471	PDB 4U1S	['pdb 4u1s']
282581	PDB 5C0E and 5C07	['pdb 5c0e', 'pdb 5c07']
282637	PDB 5E8E	['pdb 5e8e']
282839	PDB 5UG0	['pdb 5ug0']
282869	PDB 5VGJ	['pdb 5vgj']
282885	PDB 5VPG	['pdb 5vpg']
283173	PDB 6ITC	['pdb 6itc']
283461	PDB 6RCV	['pdb 6rcv']
284292	PDB 7PQZ	['pdb 7pqz']
284298	PDB 7PS0	['pdb 7ps0']
284354	PDB 7RXI	['pdb 7rxi']
284384	PDB 7SHT	['pdb 7sht']
284386	PDB 7SHY	['pdb 7shy']
284638	PDB 7X90	['pdb 7x90']
284754	PDB 8CYA	['pdb 8cya']
284784	PDB 8DI5	['pdb 8di5']
285269	Results page 366	['page 366']
285333	Results page 7027	['page 7027']
286621	Supplemental Tables S5 and S6	['supplemental table s5', 'supplemental table s6']
286859	Supplementary Figure 16, Supplementary Table 5, Figure 7	['figure 16', 'table 5', 'figure 7']
287358	Supplementary Figures 6 and 7	['figure 6', 'figure 7']
287388	Supplementary Figures S1, S2, S3, S9 and Supplementary Tables 2 and 3	['figure s1', 'figure s2', 'figure s3', 'figure s9', 'table 2', 'table 3']
287690	Supplementary Table 1.1, Supplementary Table 1.2	['table 1', 'table 1', 'table 1', 'table 2']
287745	Supplementary Table 1-2 and PDB 4XPT	['table 1', 'table 2', 'pdb 4xpt']
287855	Supplementary Table 2b	['table 2b']
289004	Table 1 and Figure 6B	['table 1', 'figure 6b']
289381	Table 1 and Figures 2-4	['table 1', 'figure 2', 'figure 4']
289399	Table 1 and Figures 3, 4 and 5A,B	['table 1', 'figure 3', 'figure 4', 'figure 5a', 'figure 5b']
290115	Table 1, Fig 2A, Fig 3A	['table 1', 'figure 2a', 'figure 3a']
290296	Table 1, Figure 1, Supplementary figure 1	['table 1', 'figure 1', 'figure 1']
290513	Table 1, Figure 2, Supplementary Figures 2, 7 and PDB 5OJM	['table 1', 'figure 2', 'figure 2', 'figure 7', 'pdb 5ojm']
290776	Table 1, Figure 4 and Supplemental Figures S1, S2	['table 1', 'figure 4', 'supplemental figure s1', 'supplemental figure s2']
291616	Table 1, Figures 1, 2, S1 and PDB 5B8C	['table 1', 'figure 1', 'figure 2', 'figure s1', 'pdb 5b8c']
291667	Table 1, Figures 1, 2, Supplementary Figure 2 and PDB 3S36	['table 1', 'figure 1', 'figure 2', 'figure 2', 'pdb 3s36']
292161	Table 1, Figures 2, 3, 4, 5 and 7	['table 1', 'figure 2', 'figure 3', 'figure 4', 'figure 5', 'figure 7']
292782	Table 1, Figures 3, 5 and PDB 4AG4	['table 1', 'figure 3', 'figure 5', 'pdb 4ag4']
292926	Table 1, Figures 4, 5 Supplementary Figure 5 and PDB 3P30	['table 1', 'figure 4', 'figure 5 supplementary figure', 'figure 5', 'pdb 3p30']
293102	Table 1, Figures 5, 6 and PDB 4TUL	['table 1', 'figure 5', 'figure 6', 'pdb 4tul']
294045	Table 2 and figures 1 and 2	['table 2', 'figure 1', 'figure 2']
294243	Table 2 and Figures 6, 7, and 8	['table 2', 'figure 6', 'figure 7', 'figure 8']
294334	Table 2 and PDB 5E8D	['table 2', 'pdb 5e8d']
294350	Table 2 and PDB 5W1V	['table 2', 'pdb 5w1v']
294561	Table 2, 5, and Figure 4	['table 2', 'table 5', 'figure 4']
295909	Table 2, Table 4	['table 2', 'table 4']
295976	Table 3 and  5	['table 3', 'table 5']
296505	Table 3, Figures 2 and S3	['table 3', 'figure 2', 'figure s3']
296580	Table 3, figures 3 and 6	['table 3', 'figure 3', 'figure 6']
296831	Table 4  and Figure 2	['table 4', 'figure 2']
297079	Table 5 and Figure 3	['table 5', 'figure 3']
297609	Table I, figures 1, 2, 3 and 4	['table 1', 'figure 1', 'figure 2', 'figure 3', 'figure 4']
297786	Table I, Figures 2,4	['table 1', 'figure 2', 'figure 4']
298248	Table II, Figure 4 and PDB 6HF1	['table 2', 'figure 4', 'pdb 6hf1']
298835	Table IV and Figure S1	['table 4', 'figure s1']
299041	Table S1 and PDB 3DX7	['table s1', 'pdb 3dx7']
299660	Table S3 and PDB 6CQR	['table s3', 'pdb 6cqr']
300013	Table S6 and PDB 5VIG	['table s6', 'pdb 5vig']
300700	Tables 1 and S1 and Figures 1, 2, S2, S4, and S5	['table 1', 'table s1', 'figure 1', 'figure 2', 'figure s2', 'figure s4', 'figure s5']
300930	Tables 1, 2 and Supplementary Figure 2	['table 1', 'table 2', 'figure 2']
301308	Tables 1, 2, 3, 5, 6, 8	['table 1', 'table 2', 'table 3', 'table 5', 'table 6', 'table 8']
301407	Tables 1, 2, 3, Figure 7 and PDB 4NC2	['table 1', 'table 2', 'table 3', 'figure 7', 'pdb 4nc2']
301600	Tables 1, 2, 3, S5, S6, Figures 2, 3, 4 and PDB 6NFN	['table 1', 'table 2', 'table 3', 'table s5', 'table s6', 'figure 2', 'figure 3', 'figure 4', 'pdb 6nfn']
302449	Tables 1, 2, Figures 2, 4	['table 1', 'table 2', 'figure 2', 'figure 4']
303734	Tables 1-4, Figures 2-6	['table 1', 'table 4', 'figure 2', 'figure 6']
304505	Tables 2, 3, Figure 3	['table 2', 'table 3', 'figure 3']
304595	Tables 2, 3, Figures 3, 4 and PDB 1W0V	['table 2', 'table 3', 'figure 3', 'figure 4', 'pdb 1w0v']
305117	Tables 3 and 4, Figure 3	['table 3', 'table 4', 'figure 3']
305946	Tables I and II, Figure 5	['table 1', 'table 2', 'figure 5']
306587	Tables I, II, VI and figure 2	['table 1', 'table 2', 'table 6', 'figure 2']
306613	Tables I, III and Figures 3-5	['table 1', 'table 3', 'figure 3', 'figure 5']
306870	Tables II, III IV and V, Figures 1, 2	['table 11', 'table 19', 'table 4', 'table 4', 'figure 1', 'figure 11']
307315	Tables S1, S10	['table s1', 'table s10']
307436	Tables S2 and S3	['table s2', 'table s3']
307517	Tables S4 and S5	['table s4', 'table s5']
307672	Text  P. 2434	['page 2434']
307829	Text p 219	['page 219']
307866	Text p 302	['page 302']
308031	Text p. 1214	['page 1214']
308072	Text p. 1500	['page 1500']
308097	Text P. 16212	['page 16212']
308271	Text p. 2901 and Table 1	['page 2901', 'table 1']
308293	Text P. 3058 and reference cited	['page 3058', 'reference cited']
308501	Text p. 690	['page 690']
308550	Text p. 823	['page 823']
308561	Text P. 86	['page 86']
308695	Text p.2192	['page 2192']
308761	Text p.376	['page 376']
308844	Text p.753	['page 753']
308947	Text page 11336	['page 11336']
309093	Text page 165	['page 165']
309436	Text page 3730	['page 3730']
309531	Text page 46	['page 46']
